"ID","Genotype.ID","rep","Seed.wt...g.","Seed.ProjArea.cm2.","Time.to.emergence..d.","Plant.ht..21d..cm.","Plant.ht..35d..cm.","Leaf.no..21d","Leaf.no..35d","Tiller.no..35d","Shoot.dry.wt...g.","Shoot.leaf.area..cm2.","Root.dry.wt..g.","Root.Length..cm.","Root.ProjArea.cm2.","Root.SurfArea..cm2.","Root.AvgDiam..mm.","Root.vol...cm3.","Root.no..tips","Root.no..forks","Root.no..crossings","Root.length..cm..by.diam.class..mm...0..L...0.5","Root.length..cm..by.diam.class..mm...0.5..L...1.0","Root.length..cm..by.diam.class..mm...1.0..L...1.5","Root.length..cm..by.diam.class..mm...1.5..L...2.0","Root.length..cm..by.diam.class..mm...2.0..L...2.5","Root.length..cm..by.diam.class..mm...2.5..L...3.0","Root.length..cm..by.diam.class..mm...3.0..L...3.5","Root.length..cm..by.diam.class..mm...3.5..L...4.0","Root.length..cm..by.diam.class..mm...4.0..L...4.5","Root.length..cm..by.diam.class..mm...L..4.5"
482,51,5,0.0032,"0.0684","4","5.5","10.1","2","10","3","0.0438","10.5119","0.0221","494.5854","15.4238","48.4553","0.3119","0.378","1320","3338","304","431.6883","58.073","4.263","0.4002","0.05","0","0","0","0","0"
483,96,5,0.0027,"0.1054","7","4.8","7.1","3","6","1","0.0223","4.7848","0.0146","447.1497","11.6114","36.4781","0.2597","0.237","1123","2425","284","422.0268","23.8182","0.9915","0.0711","0","0","0.1772","0","0.0386","0"
484,29,7,0.0017,"0.0692","7","4.8","6.1","4","11","2","0.0238","5.1556","0.026","512.6857","15.7816","49.5794","0.3078","0.382","1562","2729","287","448.4283","58.682","3.2066","0.6932","0.5252","0.305","0.3376","0.1954","0.1021","0"
485,97,2,0.0021,"0.0773","7","5.2","12.7","3","11","3","0.0459","11.7061","0.0152","310.8752","10.2248","32.1222","0.3289","0.264","979","1588","151","259.5982","48.7016","2.2504","0.2848","0.0357","0","0","0","0","0"
486,42,1,0.0031,"0.0922","9","5.9","12","3","11","3","0.0738","15.8456","0.0388","646.2191","22.0704","69.3363","0.3415","0.592","2708","3627","241","550.4102","86.7777","6.9733","1.8496","0.1301","0.0169","0","0","0","0"
487,61,4,0.0014,"0.0575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,11,10,0.0024,"0.0849","7","5.8","9.1","3","9","3","0.0501","9.9756","0.0243","480.1218","13.6738","42.9576","0.2848","0.306","1382","3004","319","436.1242","40.4928","2.3996","0.1669","0.2281","0.3084","0","0.0288","0.2537","0.0177"
489,49,7,0.0017,"0.0842","7","7","10.4","3","9","3","0.0632","12.4561","0.0425","574.1784","20.3316","63.8735","0.3541","0.565","1811","4079","305","483.8836","76.913","8.8607","2.0541","0.5773","0.9276","0.1904","0.2259","0.1573","0.3487"
490,14,1,0.0014,"0.0874","7","4","5.4","2","4","1","0.0092","2.4298","0.0061","160.5666","4.3567","13.6871","0.2713","0.093","669","559","39","148.9438","11.5171","0.0915","0","0","0","0","0","0","0"
491,14,3,0.0029,"0.0959","6","5.2","8.4","3","5","1","0.0223","5.6911","0.0142","328.9645","9.0074","28.2974","0.2738","0.194","1032","1670","182","296.8632","29.4968","1.9082","0.3328","0","0.1118","0.0756","0","0","0"
492,32,6,0.0026,"0.1213","6","5","8","3","8","2","0.0325","8.3585","0.023","675.1718","17.7934","55.8997","0.2635","0.368","1628","2431","308","631.886","41.789","1.2187","0.1964","0.0299","0","0","0","0","0"
493,97,9,0.0013,"0.0659","8","5","10","3","6","2","0.0264","7.1574","0.0155","339.3071","9.3401","29.3427","0.2753","0.202","881","1623","215","306.0508","31.7908","1.1837","0.2558","0","0","0","0","0","0"
494,75,5,0.001,"0.0527","6","5","5.7","3","4","1","0.0123","2.7364","0.0074","190.7484","4.9201","15.4569","0.2579","0.1","598","703","60","182.347","8.0247","0.2942","0.0825","0","0","0","0","0","0"
495,28,6,0.0019,"0.0602","6","4.4","9.9","3","9","3","0.0456","10.0945","0.0241","577.3865","16.8072","52.8013","0.2911","0.384","1949","3719","373","511.2436","61.6854","3.9972","0.1824","0.2206","0.0159","0","0","0","0"
496,71,1,0.0016,"0.0672","6","4.5","10","3","14","3","0.0705","13.4272","0.029","488.1672","15.0071","47.1461","0.3074","0.362","1674","2774","261","422.4397","62.1814","3.0008","0.3826","0","0","0","0","0","0"
497,1,8,0.0023,"0.1022","6","3.9","9.3","3","9","2","0.0437","9.7948","0.0203","279.8854","9.7426","30.6073","0.3481","0.266","931","1845","128","238.7162","35.2427","4.2397","1.0397","0.0852","0.2531","0.1836","0","0","0"
498,79,1,0.0011,"0.0622","6","4.5","7.8","3","12","3","0.0432","9.2505","0.0248","466.754","14.9691","47.0268","0.3207","0.377","1424","3135","244","407.4158","51.8666","6.2498","1.0127","0.0737","0","0","0","0","0"
499,11,8,0.0019,"0.0644","6","4","8.8","3","9","2","0.0414","9.9392","0.0256","583.4196","17.4847","54.9297","0.2997","0.412","1446","3122","332","516.5802","61.3992","4.9011","0.4607","0.0323","0","0","0","0","0"
500,34,10,0.002,"0.0789","6","4.6","6","4","15","4","0.0415","9.5324","0.0264","614.5465","18.0842","56.8131","0.2943","0.418","1750","2629","346","555.0988","55.2609","2.2065","1.0878","0.7299","0.0579","0","0","0","0"
501,72,2,0.002,"0.065","6","5","12.9","3","11","4","0.0817","15.8274","0.0588","604.0628","25.7693","80.9566","0.4266","0.863","1958","5748","353","494.9198","79.0659","18.2491","6.1738","3.0173","0.3187","0.7775","0.3126","0.1155","1.0493"
502,18,6,0.0018,"0.07","6","5.6","11.5","3","9","2","0.051","10.3051","0.0312","674.8407","19.3856","60.9016","0.2873","0.437","1992","4072","490","608.6412","58.8753","6.1644","0.937","0.0799","0","0","0","0","0"
503,37,7,0.0026,"0.0799","8","5.2","8.2","4","9","3","0.0424","8.7542","0.0204","370.4486","12.1892","38.2936","0.329","0.315","1194","1996","136","311.404","56.5402","2.3176","0.0909","0","0","0","0","0","0"
504,29,4,0.0035,"0.1042","8","4.8","5.1","3","5","1","0.0119","2.8153","0.0104","135.2639","5.0132","15.7493","0.3706","0.146","453","832","47","110.3104","22.8079","1.6269","0.312","0.1437","0.0629","0","0","0","0"
505,74,2,0.0022,"0.0722","6","5","10.6","3","7","2","0.0366","8.8689","0.0191","606.8903","16.0268","50.3498","0.2641","0.332","1318","3569","478","565.2678","39.5285","1.5353","0.3337","0.0531","0","0","0","0","0"
506,88,10,0.0011,"0.0582","6","4","8.7","3","8","2","0.0328","7.5664","0.016","323.7665","9.5249","29.9234","0.2942","0.22","1034","1795","149","282.7387","39.2365","1.2696","0.453","0","0.0688","0","0","0","0"
507,31,7,0.0022,"0.0902","3","4.5","9.3","3","9","3","0.0389","9.8211","0.0167","578.6521","14.751","46.3417","0.2549","0.295","1594","2352","320","541.8371","35.5359","1.1819","0.0182","0","0","0","0","0","0"
508,18,5,0.0019,"0.0706","8","5.9","11","3","9","3","0.0509","11.6155","0.0249","755.1231","19.4768","61.1881","0.2579","0.395","1663","4197","589","704.4549","49.3689","1.2196","0.0178","0","0","0","0","0","0"
509,77,6,0.0022,"0.0741","5","4.8","9.7","3","9","3","0.0514","10.5208","0.0185","295.2359","9.2453","29.045","0.3132","0.227","953","1395","115","254.5298","40.2385","0.438","0.0296","0","0","0","0","0","0"
510,43,8,0.0026,"0.0868","6","5.6","10.5","3","11","3","0.0554","12.8238","0.0288","950.7457","25.2793","79.4173","0.2659","0.528","2678","5034","612","877.6271","70.3049","2.4954","0.2282","0","0","0","0","0","0"
511,89,1,0.0022,"0.0761","8","5.4","9.7","3","10","3","0.484","11.3084","0.0245","523.7704","14.2961","44.9126","0.2729","0.306","1411","2450","305","467.1712","54.9854","1.3836","0.1504","0","0.0799","0","0","0","0"
512,71,10,0.0014,"0.0828","6","4.1","8.2","3","12","3","0.0491","10.4501","0.0249","509.3945","15.1647","47.6414","0.2977","0.355","1672","3548","344","444.4008","57.52","4.7835","1.1499","0.4496","0.6368","0.2498","0.0764","0","0.0761"
513,100,8,0.0011,"0.0675","6","4.5","11.4","3","7","2","0.0425","6.179","0.0251","296.885","10.4888","32.9517","0.3533","0.291","789","2588","220","251.4485","38.269","5.0421","1.1186","0.2616","0.3151","0.3086","0","0","0.0289"
514,90,4,0.0023,"0.098","6","4.3","10.3","3","11","3","0.0501","10.7426","0.0205","623.7899","15.6734","49.2395","0.2513","0.309","1643","2764","408","585.9781","36.8996","0.7273","0.1174","0","0","0","0","0","0"
515,65,8,0.0028,"0.1067","6","5","14.6","3","12","3","0.0776","18.0308","0.0333","410.5169","14.5018","45.5586","0.3533","0.402","1459","2243","163","334.8802","67.3819","5.8194","0.5583","0.1851","0.5414","0.1342","0.2994","0","0.5223"
516,98,6,7e-04,"0.079","6","4.3","9.8","3","9","3","0.0434","10.4477","0.0208","556.6777","14.9128","46.8499","0.2679","0.314","1700","2996","404","508.4159","44.1938","3.5084","0.1942","0","0.1853","0","0.0442","0.0471","0"
517,56,5,0.0013,"0.0732","6","4.2","11","3","9","3","0.0463","10.7458","0.0229","549.5752","15.6715","49.2335","0.2852","0.351","1868","2456","269","497.0662","49.6546","2.4385","0.3798","0","0","0","0","0","0"
518,102,1,0.0016,"0.0548","6","4","8.1","3","9","3","0.0297","7.743","0.0219","256.425","9.8328","30.8907","0.3835","0.296","767","1952","135","214.8975","33.1042","5.7774","1.593","0.4214","0.0601","0.1566","0.1102","0","0.2805"
519,74,1,0.0027,"0.0942","3","5.5","9.6","2","6","2","0.0238","6.6122","0.0128","350.7205","9.7997","30.7868","0.2794","0.215","1306","1850","176","322.3829","26.9412","1.1992","0.1972","0","0","0","0","0","0"
520,102,2,0.0022,"0.0804","3","5.5","9.7","2","8","2","0.0305","7.0895","0.0152","370.3731","10.1912","32.0165","0.2752","0.22","1236","2230","232","336.6937","31.6788","1.3276","0.2443","0.2638","0","0","0","0","0"
521,84,7,0.0019,"0.0842","6","4.1","7.2","3","12","3","0.0377","7.056","0.0176","576.9589","14.0489","44.1359","0.2435","0.269","1596","2910","405","543.159","33.4759","0.2828","0","0","0","0","0","0","0"
522,91,1,0.0025,"0.0763","6","4.7","9.1","3","10","3","0.0462","7.7721","0.0174","334.0231","9.5405","29.9723","0.2856","0.214","1240","1681","159","294.253","37.7568","1.514","0.1298","0.1386","0.1129","0","0","0","0"
523,68,8,0.0012,"0.0864","6","4.3","7.9","3","4","1","0.0112","2.7032","0.0098","172.9207","5.1289","16.1129","0.2966","0.119","574","989","86","156.2316","14.1838","1.4745","0.7888","0.2184","0.0235","0","0","0","0"
524,51,1,0.0017,"0.0551","6","3.8","9.7","3","9","2","0.0368","8.9272","0.0187","561.5326","14.399","45.2359","0.2564","0.29","1496","3172","433","509.1401","49.1731","2.3897","0.3121","0.4619","0","0","0","0","0"
525,25,10,0.0019,"0.0748","5","5","9","3","8","3","0.0409","9.64","0.0196","593.7772","14.1936","44.5904","0.239","0.266","1492","2924","397","554.1815","37.7952","1.5828","0.1956","0","0","0","0","0","0"
526,93,8,0.002,"0.0806","6","4.7","8.3","3","8","2","0.0251","6.2156","0.0137","321.0783","9.3356","29.3287","0.2908","0.213","1069","1649","180","289.6076","27.2366","3.1725","0.3246","0.1721","0.091","0.1284","0.2631","0.0698","0"
527,42,9,0.0026,"0.0718","6","4.8","5.6","3","4","1","0.0121","3.3995","0.0065","200.5052","4.9779","15.6385","0.2483","0.097","675","861","81","192.7658","7.6075","0.1161","0","0","0","0","0","0","0"
528,52,8,0.0018,"0.0805","6","4.1","5.9","3","4","1","0.008","1.8785","0.0051","174.1886","4.0494","12.7215","0.2325","0.074","556","589","98","170.1505","3.0145","0.5174","0.4932","0","0","0","0","0","0"
529,72,9,0.0026,"0.0835","6","5.3","8.2","3","3","2","0.0308","5.5097","0.0142","329.2238","8.6708","27.2402","0.2634","0.179","1065","1267","129","310.9873","17.4177","0.5122","0.2803","0.0262","0","0","0","0","0"
530,89,6,0.0022,"0.0892","6","5.5","13.2","3","18","4","0.0875","18.8992","0.0354","847.0479","22.5146","70.7317","0.2658","0.47","2349","4572","656","768.5669","73.4899","4.4375","0.3863","0.0573","0","0","0","0","0"
531,81,8,0.0023,"0.0711","6","4","6","3","6","1","0.0206","4.5868","0.0102","380.4583","9.2285","28.9921","0.2426","0.176","1089","1968","226","363.2184","16.2837","0.9145","0","0","0","0","0","0","0"
532,31,2,0.0015,"0.0837","6","4.2","7.8","3","10","2","0.0221","6.4569","0.0125","307.0123","9.4935","29.8246","0.3092","0.231","814","1418","116","276.6139","29.0008","1.1949","0.0894","0.1031","0.0103","0","0","0","0"
533,75,10,0.0013,"0.0559","6","4.7","8.8","3","7","2","0.0306","7.1572","0.0185","703.7604","17.033","53.5108","0.242","0.324","2046","3072","442","666.0361","36.6927","0.8952","0.1364","0","0","0","0","0","0"
534,2,8,0.0022,"0.0568","6","3.8","6.2","3","6","1","0.0165","3.6519","0.0124","286.4712","7.8203","24.5682","0.273","0.168","744","1699","237","259.0551","25.7439","1.1696","0.1782","0.2619","0.0323","0","0","0","0"
535,93,5,0.0016,"0.0594","6","4.1","8.2","3","9","2","0.0379","7.575","0.0171","499.2495","12.4672","39.1669","0.2497","0.245","1923","2104","296","462.3276","34.9497","1.7135","0.2474","0.0114","0","0","0","0","0"
536,91,4,0.0021,"0.0826","6","3.8","5.9","3","4","1","0.0109","2.2805","0.0106","245.7884","6.6579","20.9166","0.2709","0.142","1343","1156","88","230.3003","13.0896","1.6544","0.4407","0.2063","0","0.0845","0","0","0"
537,63,3,0.0028,"0.1148","3","5.5","7.3","2",NA,"2","6","3.9589","0.0131","405.0289","10.3397","32.4832","0.2553","0.207","1256","1747","203","384.1898","18.383","1.5106","0.7032","0.0854","0.1239","0","0","0","0"
538,104,9,0.0021,"0.083","6","5.1","7.7","3","5","1","0.0181","4.3855","0.0149","347.3578","8.8103","27.6784","0.2536","0.176","1363","1503","131","330.3763","14.3879","1.3092","0.6776","0.3384","0.0441","0.1247","0","0","0"
539,7,8,0.0017,"0.0571","6","4","8.6","3","9","3","0.0344","6.4039","0.0185","493.212","12.4718","39.1813","0.2529","0.248","1463","2223","313","455.6369","36.8449","0.7077","0.0225","0","0","0","0","0","0"
540,92,5,0.0013,"0.0597","6","4.1","6.7","3","5","1","0.0105","2.7679","0.0119","191.129","5.6055","17.6102","0.2933","0.129","921","892","43","177.0407","10.752","1.7482","0.8087","0.4882","0.0204","0.1958","0.0749","0","0"
541,97,8,0.0018,"0.067","6","5","9.8","3","9","2","0.0323","8.6793","0.0146","459.7925","11.6892","36.7228","0.2542","0.233","1338","1891","227","436.1434","22.7582","0.7896","0.083","0.0182","0","0","0","0","0"
542,24,10,0.0017,"0.0525","6","4.1","7.1","3","5","1","0.0165","3.231","0.0096","276.5193","7.1967","22.6091","0.2603","0.147","1087","1187","134","257.9676","17.692","0.6872","0.111","0.0227","0","0","0","0","0"
543,101,4,0.0047,"0.15","6","5.9","7.2","3","5","1","0.0166","4.3516","0.0159","341.6014","9.2387","29.0242","0.2705","0.196","995","1187","112","323.282","16.8018","0.6171","0.7706","0.1298","0","0","0","0","0"
544,87,6,0.0015,"0.0767","6","4.6","7.7","3","8","2","0.031","7.2395","0.0214","362.3516","10.2819","32.3016","0.2838","0.229","1357","2138","219","321.5532","33.1975","5.255","1.5462","0.4423","0.2381","0.0603","0.0246","0","0"
545,87,4,9e-04,"0.079","6","3.7","6.8","2","6","1","0.0193","4.7692","0.0092","240.7402","6.2541","19.6477","0.2598","0.128","678","1051","151","221.4356","17.8613","0.6029","0.3432","0.4346","0.0193","0","0","0","0"
546,64,8,0.0012,"0.0802","6","5","9.9","3","7","2","0.0282","6.2493","0.0155","280.6071","8.4611","26.5815","0.3015","0.2","811","1508","175","249.7698","27.8056","2.7381","0.1326","0.0286","0.0867","0","0","0","0"
547,56,1,0.0021,"0.0891","6","4.8","10.2","3","7","2","0.0363","8.7268","0.0257","724.2926","18.7378","58.8665","0.2587","0.381","1902","3646","455","671.4466","51.1232","1.3187","0.2242","0.0366","0","0","0","0","0"
548,24,7,0.0022,"0.0739","6","4.8","6.3","3","4","1","0.0095","1.9302","0.0073","153.0379","4.1798","13.1313","0.2731","0.09","492","498","50","147.1231","5.4151","0.051","0.4047","0.0441","0","0","0","0","0"
549,68,6,0.0019,"0.0746","8","6","9.5","3","6","1","0.0267","5.7895","0.015","437.4432","10.7988","33.9253","0.2469","0.209","1276","2208","285","409.4023","26.8113","0.7225","0.358","0.0182","0","0","0","0","0"
550,79,6,0.0019,"0.0508","6","4.8","4.9","3","4","1","0.0113","2.4102","0.0153","225.7688","6.2417","19.6088","0.2765","0.136","918","1189","100","212.0555","11.7873","1.2823","0.4198","0.0141","0.1573","0","0","0","0"
551,82,9,9e-04,"0.0567","8","5","9","3","5","1","0.0238","5.5332","0.0138","363.0524","8.9155","28.009","0.2456","0.172","1248","1654","236","340.4634","21.6653","0.5273","0.3266","0.0698","0","0","0","0","0"
552,33,8,0.0014,"0.0609","3","5.6","11.7","3","9","3","0.0672","15.0864","0.0269","583.9903","17.4749","54.8991","0.2992","0.411","1492","3108","349","517.9142","60.9126","4.5611","0.1944","0.2044","0.0313","0","0","0","0"
553,45,1,0.002,"0.0746","6","4.8","7.4","3","6","2","0.0192","4.711","0.0125","260.3183","6.8495","21.5182","0.2631","0.142","962","1317","125","243.8885","13.997","1.8512","0.3849","0.1615","0.0351","0","0","0","0"
554,98,10,3e-04,NA,"8","4.9","6.7","3","4","1","0.0115","2.8156","0.0071","242.8238","5.8166","18.2735","0.2395","0.109","1073","1090","142","230.1249","12.4074","0.2916","0","0","0","0","0","0","0"
555,30,6,0.0022,"0.0772","6","4.8","5.7","3","5","1","0.0093","2.3397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556,19,8,0.002,"0.0621","8","5.8","10.3","3","8","2","0.0503","10.3593","0.0293","728.9639","18.8009","59.0648","0.2579","0.381","2272","4122","588","667.2189","55.9726","3.7548","1.0834","0.3059","0.2449","0","0","0.1646","0.1752"
557,59,8,1e-04,"0.0826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,88,7,0.0016,"0.0706","6","3.6","9.2","3","7","1","0.0327","7.6922","0.0172","445.8117","12.1143","38.0583","0.2717","0.259","1293","2891","359","398.9631","43.3123","2.3845","0.3817","0.2785","0.3174","0.0033","0.1277","0.0272","0"
559,98,1,5e-04,"0.092","8","3.7","6.5","3","5","1","0.0126","3.0239","0.0104","136.6161","4.8605","15.2696","0.3558","0.136","602","922","44","112.1731","21.3082","2.4277","0.6328","0.0648","0","0","0","0","0"
560,2,6,0.0019,"0.0511","6","4.1","4.6","3","5","1","0.0118","2.795","0.0099","199.542","5.5442","17.4176","0.2778","0.121","674","1058","103","181.8794","16.13","1.1705","0.2162","0.1459","0","0","0","0","0"
561,51,7,0.0031,"0.1181","6","5","7.9","3","8","2","0.032","6.8848","0.023","491.202","12.9635","40.7261","0.2639","0.269","1525","2431","244","450.6607","39.0852","1.226","0.1229","0.0613","0","0","0","0","0"
562,71,9,0.0014,"0.0632","6","4.2","7.9","3","11","4","0.0468","8.046","0.0209","685.5262","16.4587","51.7066","0.2401","0.31","1887","4013","607","637.9752","45.7009","1.3446","0.38","0.0103","0","0","0","0","0"
563,30,10,0.0016,"0.0742","6","4.4","5.6","3","6","1","0.0129","3.0763","0.0094","321.8576","7.2133","22.6612","0.2241","0.127","1110","1314","204","314.2579","6.7452","0.7558","0.0486","0.05","0","0","0","0","0"
564,9,8,0.003,"0.0891","8","5.5","6.6","3","4","1","0.0161","3.6164","0.0152","420.4575","10.5297","33.0801","0.2504","0.207","1577","2061","209","401.5572","16.2555","1.0938","0.3799","0.2835","0.2473","0.0503","0.4152","0","0.065"
565,9,9,0.0021,"0.07","6","5.9","11.1","3","8","2","0.0484","9.8256","0.031","840.8274","22.3129","70.0982","0.2654","0.465","2950","5123","622","768.8739","67.0639","3.7376","0.4689","0.3212","0.1393","0.0804","0.0296","0","0"
566,81,6,0.0024,"0.0789","8","4.3","6.1","3","5","1","0.0185","3.7342","0.0133","323.7962","8.197","25.7516","0.2532","0.163","958","1499","166","298.3148","24.2524","1.1423","0","0","0","0","0","0","0"
567,89,2,0.002,"0.0841","6","4.2","4","2","4","1","0.0043","1.4032","0.0056","151.7135","3.6059","11.3284","0.2377","0.067","461","530","49","148.3432","2.8561","0.2854","0.184","0","0","0","0","0","0"
568,35,10,0.0011,"0.0543","6","5","9.5","3","16","4","0.0918","16.674","0.043","872.183","25.1029","78.863","0.2878","0.567","3028","5117","619","768.011","92.0108","11.0669","1.0785","0","0","0","0","0","0"
569,73,3,0.0017,"0.0827","6","5.4","13.1","3","7","1","0.0458","8.2466","0.0288","423.7791","12.3668","38.8514","0.2918","0.283","1428","2736","312","373.4938","45.3142","3.0947","0.7625","0.492","0.3863","0.1396","0.0915","0","0"
570,2,5,0.0017,"0.0668","6","3.6","8.6","3","8","2","0.0318","5.8974","0.0149","309.3921","8.4835","26.6518","0.2742","0.183","855","1626","208","276.6108","31.8959","0.8198","0","0","0","0","0","0","0"
571,72,4,0.002,"0.0694","6","5.2","11.5","3","9","2","0.0566","9.7703","0.0244","393.7064","11.4801","36.0659","0.2916","0.263","1216","2299","211","341.2875","49.99","1.4755","0.6985","0.0828","0.0706","0.0508","0","0","0"
572,102,3,0.0027,"0.08","6","5.8","8.3","3","6","1","0.028","5.945","0.0165","461.3065","11.3969","35.8043","0.2471","0.221","1374","1885","223","448.7907","11.773","0.7267","0","0","0","0","0","0","0"
573,49,10,0.0032,"0.1015","6","4","6.2","3","5","1","0.0154","3.1553","0.0095","216.5811","5.7792","18.1558","0.2668","0.121","640","1013","94","203.0546","13.0491","0.426","0.0159","0","0","0","0","0","0"
574,18,9,0.0028,"0.0787","8","4.2","7.6","3","7","1","0.0245","5.7424","0.0176","240.5091","8.8327","27.7486","0.3672","0.255","782","1435","94","194.9852","41.5842","3.1853","0.2413","0.1573","0","0.2417","0.0587","0","0"
575,18,3,0.0014,NA,"6","4.5","10.6","3","8","2","0.0363","8.8006","0.0175","509.5319","13.6802","42.9777","0.2685","0.288","1405","2357","311","468.8506","37.8775","1.9105","0.5996","0.216","0.0434","0","0","0","0"
576,7,4,0.0021,"0.0869","6","4.7","6","3","6","1","0.0153","3.1232","0.0119","295.062","7.2025","22.6273","0.2441","0.138","1035","1274","165","276.3252","17.8192","0.8129","0","0","0","0","0","0","0"
577,56,7,4e-04,"0.0564","6","3.5","4.5","2","3","1","0.0056","1.2237","0.0043","107.2551","2.7535","8.6503","0.2567","0.056","366","408","37","101.8629","4.3849","0.8703","0.1369","0","0","0","0","0","0"
578,64,5,0.0015,"0.1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
579,64,7,0.0015,"0.1015","8","6.2","7.4","3","4","1","0.0115","2.6681","0.0579","247.7856","6.1353","19.2745","0.2476","0.119","879","1186","132","238.7459","8.0837","0.8311","0.0973","0","0","0","0","0","0"
580,91,10,0.0019,"0.0711","6","4.5","7.5","3","10","3","0.0394","7.7905","0.0173","381.9497","11.0552","34.7309","0.2894","0.251","872","1786","202","334.2469","45.9287","1.474","0.1322","0.1634","0","0","0","0","0"
581,29,9,0.0029,"0.0921","6","4.8","10","3","12","3","0.0523","11.233","0.0312","1094.208","27.2989","85.7621","0.2495","0.535","3035","5060","747","1009.7709","82.9783","1.2011","0.2094","0","0","0","0","0","0"
582,2,2,0.0019,"0.0517","6","4.7","8.9","4","7","1","0.0306","5.6042","0.0264","443.8391","14.0592","44.1683","0.3168","0.35","1533","2985","306","391.4852","42.5632","5.0196","2.0231","0.5339","0.9735","0.8193","0.0923","0.0973","0.1187"
583,58,4,0.0014,"0.089","6","5.4","13.9","3","11","3","0.0896","18.6392","0.0317","618.6074","17.8303","56.0155","0.2882","0.404","1993","3962","419","543.8353","70.2971","3.539","0.641","0","0","0.0665","0.1428","0","0"
584,30,9,0.0016,"0.0684","6","5.8","9.5","3","12","3","0.0432","10.1843","0.0197","557.0052","14.9568","46.9881","0.2685","0.315","1610","2263","289","505.4426","50.422","1.1064","0.01","0","0","0","0","0","0"
585,84,5,0.0015,"0.0692","6","3.4","7.8","3","18","4","0.055","11.0876","0.0203","506.1932","14.4149","45.2856","0.2848","0.322","1517","3365","349","445.7643","56.6478","2.7558","0.5665","0.2206","0","0","0","0","0"
586,71,3,0.0014,"0.0702","6","5.3","5.8","3","6","2","0.0204","3.8495","0.0134","284.6346","7.8122","24.5429","0.2745","0.168","880","1714","189","258.509","22.864","2.5736","0.31","0.2531","0.125","0","0","0","0"
587,18,1,0.0034,"0.0886","8","5.3","7.8","3","6","2","0.0195","4.621","0.0123","264.8108","7.8319","24.6046","0.2958","0.182","788","1343","106","241.9159","21.8724","0.878","0.1446","0","0","0","0","0","0"
588,104,3,0.0013,"0.0714","8","3.4","6.5","3","5","1","0.0156","3.9076","0.0101","158.4794","4.8084","15.1059","0.3034","0.115","619","738","54","142.257","15.6886","0.473","0.0608","0","0","0","0","0","0"
589,64,6,0.0022,"0.066","6","7.4","12.3","3","8","3","0.039","9.3779","0.0198","482.5669","13.3748","42.0182","0.2772","0.291","1131","2537","302","445.9057","34.8677","1.637","0.0088","0.0907","0.0201","0","0","0","0"
590,33,6,0.0017,"0.0649","6","6.3","10.9","3","10","3","0.0517","13.9516","0.0258","589.1891","16.2087","50.9211","0.2751","0.35","1892","3148","366","535.7965","50.58","2.3041","0.0819","0.0103","0","0","0","0","0"
591,28,8,0.0031,"0.0993","6","4.8","10.3","3","8","2","0.0412","9.3132","0.0197","543.5345","14.0835","44.2446","0.2591","0.287","1572","2849","331","502.5931","39.2487","1.4627","0.0246","0.1648","0","0","0","0","0"
592,28,4,0.0014,"0.0564","6","3.4","9","2","6","2","0.021","5.5822","0.0074","253.6948","6.9254","21.7569","0.273","0.148","736","1160","115","230.5195","22.4459","0.6836","0.0362","0","0","0","0","0","0"
593,74,10,0.0016,"0.0641","6","5","11.9","2","8","3","0.0529","12.223","0.0206","596.5243","15.0718","47.3496","0.2527","0.299","1709","3047","391","546.595","48.8905","0.9352","0","0","0","0","0","0","0"
594,33,1,0.0023,"0.0717","6","5","6.6","3","5","1","0.0176","4.0264","0.0113","428.8938","10.6222","33.3705","0.2477","0.207","1154","1708","196","414.4757","13.6446","0.598","0.1372","0","0","0","0","0","0"
595,65,9,0.0021,"0.1071","6","7","9","5","15","3","0.0631","10.2414","0.0292","425.3618","13.08","41.0921","0.3075","0.316","1165","1985","204","370.7653","50.5674","3.2289","0.581","0.0603","0","0","0","0","0"
596,100,10,2e-04,"0.0501","6","5.6","8.5","3","6","2","0.0269","5.5505","0.0138","362.4247","8.9929","28.2521","0.2481","0.175","867","1368","174","344.1447","17.7285","0.5425","0","0","0","0","0","0","0"
597,93,7,0.002,"0.0698","10","6.1","7.1","4","6","1","0.0244","5.8437","0.0177","348.739","9.8442","30.9265","0.2823","0.218","870","3140","295","315.5167","28.4684","3.7966","0.7522","0.1758","0.0294","0","0","0","0"
598,53,7,0.0014,"0.0671","6","6.5","12.5","4","12","3","0.108","19.5601","0.045","1033.3936","28.1331","88.3827","0.2722","0.602","2947","6497","817","931.1322","98.0551","3.7623","0.3119","0","0","0","0","0","0"
