"ID","Genotype.ID","rep","Seed.wt...g.","Seed.ProjArea.cm2.","Time.to.emergence..d.","Plant.ht..21d..cm.","Plant.ht..35d..cm.","Leaf.no..21d","Leaf.no..35d","Tiller.no..35d","Shoot.dry.wt...g.","Shoot.leaf.area..cm2.","Root.dry.wt..g.","Root.Length..cm.","Root.ProjArea.cm2.","Root.SurfArea..cm2.","Root.AvgDiam..mm.","Root.vol...cm3.","Root.no..tips","Root.no..forks","Root.no..crossings","Root.length..cm..by.diam.class..mm...0..L...0.5","Root.length..cm..by.diam.class..mm...0.5..L...1.0","Root.length..cm..by.diam.class..mm...1.0..L...1.5","Root.length..cm..by.diam.class..mm...1.5..L...2.0","Root.length..cm..by.diam.class..mm...2.0..L...2.5","Root.length..cm..by.diam.class..mm...2.5..L...3.0","Root.length..cm..by.diam.class..mm...3.0..L...3.5","Root.length..cm..by.diam.class..mm...3.5..L...4.0","Root.length..cm..by.diam.class..mm...4.0..L...4.5","Root.length..cm..by.diam.class..mm...L..4.5"
397,83,9,0.0024,"0.0689","7","4.9","7.3","3","6","2","0.0203","4.9626","0.0222","623.4306","16.1476","50.7292","0.259","0.328","2749","3927","423","587.5205","30.8434","3.6717","0.5042","0.563","0.0643","0.1057","0.124","0.0114","0"
398,102,10,0.0015,"0.0638","7","3.6","10.4","3","13","3","0.051","11.6609","0.0287","653.9257","18.0719","56.7746","0.2764","0.392","1966","3240","442","585.9981","64.0324","3.6602","0.2104","0","0","0","0","0","0"
399,62,8,0.0018,"0.11","9","5","7.6","3","5","1","0.0128","3.2258","0.0197","603.7016","14.7983","46.4901","0.2451","0.285","1835","2424","363","570.3966","32.4882","0.6892","0.1145","0","0","0","0","0","0"
400,56,8,0.002,"0.084","7","5","12.8","3","9","3","0.0672","15.5506","0.0458","649.8414","21.3032","66.926","0.3278","0.548","2599","4955","417","555.1517","79.049","11.6849","2.3787","0.5662","0.4628","0.2933","0.0407","0","0.1037"
401,83,3,0.0024,"0.0754","7","5.2","11.5","3","9","3","0.0459","11.0734","0.0325","810.4759","20.6134","64.759","0.2543","0.412","2055","4368","611","764.3596","44.5094","1.1308","0.3002","0.0462","0","0","0","0","0"
402,42,5,0.0018,"0.071","9","5.1","7.6","3","9","3","0.0395","9.2505","0.0228","470.6971","13.7159","43.0899","0.2914","0.314","1686","2319","196","421.6562","45.8144","2.8689","0.2346","0","0","0","0","0","0"
403,54,6,0.0011,"0.07","7","4.4","9.7","3","8","3","0.0318","7.7285","0.0176","329.0746","10.1321","31.8308","0.3079","0.245","1178","2064","208","288.4337","35.5001","2.8678","1.7553","0.3203","0","0.0832","0.0697","0.013","0"
404,81,7,0.0019,"0.0793","4","5","12.4","3","9","3","0.0715","11.5468","0.0313","743.0935","20.6439","64.8546","0.2778","0.45","1806","4506","526","672.3846","66.1993","4.1403","0.285","0.0576","0","0","0","0","0"
405,56,9,0.0017,"0.0659","11","5.5","7.4","3","5","1","0.0261","4.5369","0.0227","281.8637","8.7879","27.608","0.3118","0.215","681","1700","171","246.4231","32.608","2.0939","0.6433","0.0909","0","0","0","0","0"
406,53,3,0.0016,"0.0662","7","5","8.8","3","8","3","0.041","8.5801","0.0261","253.2987","10.0885","31.6939","0.3983","0.316","734","1741","84","202.0781","43.4746","5.1512","2.0205","0.51","0.0257","0.0159","0","0","0"
407,24,6,0.0033,"0.1002","9","6.8","12.7","3","12","3","0.0711","17.3769","0.0414","862.8513","26.9737","84.7403","0.3126","0.662","3537","5966","511","760.754","87.1985","9.7892","3.0857","0.8501","0","0","0.7002","0.1512","0.0909"
408,2,4,0.0026,"0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,44,5,0.0035,"0.1065","4","5.8","7.6","2","5","1","0.0204","4.566","0.0267","838.6315","22.8829","71.8889","0.2729","0.49","2871","5551","614","772.9892","56.82","5.1254","1.3276","0.9371","0.484","0.2968","0.1543","0.1714","0.1946"
410,89,5,0.0021,"0.0846","7","5.5","12.7","3","10","3","0.057","13.088","0.0245","572.3622","14.7709","46.4042","0.2581","0.299","2056","2716","338","519.7349","51.9404","0.5367","0.0193","0","0","0","0","0","0"
411,72,10,0.0014,"0.0606","4","4.2","10.7","2","8","2","0.0398","8.8587","0.0151","288.6401","8.1412","25.5764","0.2821","0.18","981","1352","124","253.6367","33.74","1.1013","0.1266","0","0","0","0","0","0"
412,68,1,0.002,"0.0796","7","4.7","11.4","3","10","3","0.0488","12.2451","0.0266","680.0443","19.1063","60.0241","0.281","0.422","1849","3448","404","619.8968","56.0694","3.5552","0.4633","0","0","0","0","0","0"
413,82,10,0.0012,"0.0683","7","3.1","13","3","10","3","0.0535","14.3517","0.029","565.6075","15.5826","48.9542","0.2755","0.337","1780","2891","314","512.7361","50.1543","2.3335","0.3622","0.0169","0","0","0","0","0"
414,31,10,0.0014,"0.07","4","5","7.1","2","6","2","0.0132","3.4756","0.0119","332.6219","8.8051","27.662","0.2647","0.183","999","1375","150","312.5695","18.0148","0.9957","0.4512","0.2567","0.01","0.0333","0","0","0"
415,8,5,0.0031,"0.0994","7","5","6.3","3","5","2","0.0165","3.5977","0.0131","364.5994","8.8045","27.6603","0.2415","0.167","1628","1412","151","352.9631","10.5836","0.7764","0.1017","0.1745","0","0","0","0","0"
416,62,4,0.0027,"0.1004","7","4.7","7.7","3","6","2","0.0151","4.2097","0.0242","594.3868","15.601","49.0121","0.2625","0.322","2055","2737","371","546.2132","43.8493","2.5909","0.5504","0.7366","0.2681","0.093","0.0034","0","0"
417,39,7,0.003,"0.0908","4","4.6","11.2","2","11","4","0.0501","13.5501","0.0286","1033.2509","26.2716","82.5347","0.2543","0.525","2495","4988","715","962.7818","68.1488","2.2641","0.0283","0","0","0","0","0","0"
418,37,1,0.0035,"0.115","7","7.6","13.6","5","11","3","0.0967","18.7159","0.06","1278.2601","35.3169","110.9514","0.2763","0.766","3280","8169","929","1175.1997","94.4745","6.3876","1.2514","0.2765","0.0296","0.308","0","0","0"
419,82,1,0.0017,"0.0762","7","4.7","11.6","3","9","3","0.0485","11.3429","0.021","383.4065","11.801","37.074","0.3078","0.285","941","2182","228","330.5973","49.8872","2.2415","0.5376","0.1137","0","0","0","0","0"
420,89,3,0.0021,"0.0808","9","6.5","7.3","4","9","3","0.0358","8.0601","0.0262","436.5938","13.7695","43.2583","0.3154","0.341","1301","3226","270","376.1882","54.4652","4.3913","0.746","0.2991","0.0692","0.1931","0","0.1005","0"
421,44,9,0.0039,"0.1349","4","6.3","9.1","2","9","3","0.0391","10.2566","0.0134","396.5532","10.4662","32.8804","0.2639","0.217","1307","1857","228","367.5347","27.8925","0.9606","0.0793","0","0","0","0","0","0"
422,44,6,0.0035,"0.1223","7","4.6","9.2","3","6","1","0.0279","5.6334","0.0249","631.1175","15.6276","49.0956","0.2476","0.304","2333","3614","428","597.9502","29.9435","2.3396","0.4778","0.2757","0.0878","0","0","0","0"
423,7,7,0.0024,"0.0937","4","4.2","6.4","2","4","1","0.0136","2.6705","0.0094","284.4257","7.6097","23.9065","0.2675","0.16","1033","1285","112","271.1607","11.2635","1.6466","0.33","0.0186","0","0","0","0","0"
424,35,6,8e-04,NA,"9","4.8","8","3","11","3","0.0445","9.213","0.0263","592.311","15.9373","50.0685","0.2691","0.337","2051","3151","402","521.6661","64.7019","3.4537","1.3791","0.5442","0.2919","0.2376","0","0.0366","0"
425,54,10,0.0012,"0.0621","7","4.3","8","3","5","1","0.015","2.9734","0.0069","262.4486","5.8148","18.2676","0.2216","0.101","787","989","110","257.8645","4.1859","0.3639","0.0204","0","0","0","0","0","0"
426,95,8,7e-04,NA,"9","2.8","4.3","3","4","1","0.0048","1.344","0.0065","197.0987","5.0146","15.754","0.2544","0.1","857","955","87","188.8301","7.0271","0.7256","0.398","0.1044","0","0","0","0","0"
427,63,9,0.0014,"0.0634","7","4.3","8.5","3","8","3","0.0245","5.9831","0.0232","507.9134","14.0383","44.1025","0.2764","0.305","2092","2540","228","463.2345","39.657","4.0434","0.9089","0.0415","0","0","0","0","0"
428,84,6,0.0013,"0.0543","4","3.6","6.2","2","8","3","0.0187","4.0331","0.0099","271.2308","7.2221","22.6888","0.2663","0.151","738","1214","132","254.8936","15.5965","0.7336","0","0","0","0","0","0","0"
429,71,5,0.0013,"0.0623","4","4.1","9.6","2","9","4","0.0415","9.1882","0.021","600.1631","17.0076","53.431","0.2834","0.379","2383","3388","348","527.271","69.7892","2.8025","0.2566","0.0137","0","0","0","0","0"
430,30,5,0.002,"0.068","4","5.2","8.2","3","7","3","0.0245","6.251","0.0273","596.1805","16.6181","52.2073","0.2787","0.364","1948","3014","328","546.4506","45.8892","2.7355","0.5189","0.428","0.0399","0","0","0","0"
431,89,7,0.0018,"0.0657","7","4.3","10","3","9","3","0.037","9.3729","0.0239","693.2131","16.1709","50.8025","0.2333","0.296","2395","3436","595","642.9148","48.2938","1.5989","0.1764","0.0969","0","0","0","0","0"
432,1,7,0.0033,"0.1026","7","5.4","10.6","4","10","3","0.0599","12.9177","0.036","1030.3083","24.1485","75.8647","0.2344","0.445","2889","5397","769","969.5628","57.7638","2.4842","0.3166","0.0716","0","0","0","0","0"
433,54,9,0.0018,"0.0758","9","5","9.2","3","6","2","0.0278","6.1937","0.0149","409.6842","9.8435","30.9244","0.2403","0.186","1571","1873","220","381.3029","28.2864","0.0949","0","0","0","0","0","0","0"
434,54,2,0.0012,"0.0548","7","4.3","7.6","3","7","2","0.0187","4.6419","0.0142","250.022","7.0217","22.0594","0.2808","0.155","772","1185","125","230.0063","18.8141","1.1195","0.0465","0","0","0","0","0","0"
