"SiteCode","climYr","prcp.Spr","tmean.Spr","swe_mean.Spr","prcp.Sum","tmean.Sum","swe_mean.Sum","prcp.Win","tmean.Win","swe_mean.Win","prcp.Fall","tmean.Fall","swe_mean.Fall"
"Boise_High",1980,155.73,9.11835164835165,0.480879120879121,67.42,15.2917777777778,0,200.4,-0.66054347826087,2.6929347826087,NA,NA,NA
"Boise_High",1981,160.84,10.4342857142857,1.49263736263736,20.65,17.7066111111111,0,154.88,0.221935483870968,38.7118279569892,111.76,3.33340659340659,0.671318681318681
"Boise_High",1982,170.34,9.13879120879121,19.0946153846154,65.13,16.5248333333333,0,181.6,-2.3197311827957,44.9916129032258,228.36,2.98406593406593,2.82395604395604
"Boise_High",1983,163.9,9.10571428571428,0,102.53,16.357,0,245.62,0.807634408602151,47.3369892473118,210.18,0.354285714285714,5.23648351648352
"Boise_High",1984,202.24,8.5382967032967,20.5741758241758,47.67,17.1492222222222,0,155.41,-2.64817204301075,63.8311827956989,280.47,1.52653846153846,19.4163736263736
"Boise_High",1985,112.33,12.088021978022,30.6045054945055,93.89,16.2751111111111,0,57.29,-3.3910752688172,114.980860215054,163.66,-0.371923076923077,13.2104395604396
"Boise_High",1986,85.77,11.9597802197802,0,76.75,16.5046111111111,0,278.26,1.76629032258065,7.8410752688172,165.07,-2.01989010989011,38.5756043956044
"Boise_High",1987,124.19,12.8942857142857,0,9.68,16.8563333333333,0,181.32,-0.345215053763441,22.5683870967742,47.44,2.95164835164835,0
"Boise_High",1988,86.33,11.9793406593407,2.09065934065934,8.66,17.7375555555556,0,91.44,-0.215268817204301,57.0352688172043,64.08,3.1967032967033,1.13813186813187
"Boise_High",1989,46.03,11.7162087912088,0,26.91,17.8121111111111,0,177.8,-2.12951612903226,26.0790322580645,180.7,3.55,7.63769230769231
"Boise_High",1990,121.08,11.4706593406593,0,38.57,19.0527777777778,0,116.69,0.623172043010753,26.9136559139785,74.16,2.87543956043956,0
"Boise_High",1991,201.14,8.64412087912088,0,18.76,19.1585555555556,0,116.81,0.0683870967741935,0.374408602150538,68.22,0.527637362637363,2.97813186813187
"Boise_High",1992,110.25,13.2993956043956,0,8.91,17.5553333333333,0,48.18,2.49376344086021,11.7286021505376,124.34,2.80351648351648,0.273186813186813
"Boise_High",1993,188.82,10.3804395604396,0,42.49,15.0567777777778,0,236.64,-1.71575268817204,30.7758064516129,163.62,2.08313186813187,11.2006593406593
"Boise_High",1994,83.8,12.259010989011,0,3.23,19.5475555555556,0,94.64,1.23634408602151,17.2312903225806,59.32,2.00357142857143,0.26967032967033
"Boise_High",1995,233.2,9.84571428571429,0,51.34,17.5926111111111,0,197.73,1.80516129032258,4.14279569892473,151.63,0.868241758241758,14.6240659340659
"Boise_High",1996,128.66,10.7116483516484,0,19.12,18.0083888888889,0,206.07,0.602795698924731,27.1679569892473,209.93,3.67296703296703,0.885054945054945
"Boise_High",1997,135,11.2887912087912,0,39.61,18.5586111111111,0,167.7,0.742043010752688,3.45494623655914,260.62,3.56708791208791,3.75186813186813
"Boise_High",1998,277.86,9.54214285714286,0,55.22,19.9669444444444,0,253.29,1.66048387096774,0.926451612903226,88.15,3.18324175824176,0
"Boise_High",1999,72.86,9.57142857142857,0.0510989010989011,6.32,17.1522222222222,0,224.09,0.421451612903226,17.0791397849462,67.28,2.10324175824176,0.143296703296703
"Boise_High",2000,90.93,11.9641758241758,0,23.22,17.9702777777778,0,235.12,1.155,9.59505376344086,70.33,3.94203296703297,3.14120879120879
"Boise_High",2001,109.07,11.3993956043956,1.84846153846154,23.34,18.9990555555556,0,143.87,-0.51994623655914,37.0013978494624,180.17,1.42340659340659,7.32164835164835
"Boise_High",2002,74.83,11.2995054945055,0,22.43,18.0536666666667,0,102.25,-0.565483870967742,3.68698924731183,152.59,3.00032967032967,11.5067032967033
"Boise_High",2003,117.58,11.0479120879121,0.576813186813187,28.79,19.5753888888889,0,159.87,1.81370967741935,3.98043010752688,72.79,2.8193956043956,0.0857142857142857
"Boise_High",2004,127.99,11.1026923076923,0.0253846153846154,31.27,17.8138333333333,0,181.33,-0.0400537634408602,41.6561290322581,86.93,3.30950549450549,1.09549450549451
"Boise_High",2005,257.2,10.1323076923077,0,15.85,18.2398888888889,0,83.93,0.961290322580645,3.09795698924731,145.75,3.16137362637363,0.31010989010989
"Boise_High",2006,126.58,12.0918681318681,0,19.69,18.5828888888889,0,197.39,-0.30489247311828,2.5247311827957,255.02,2.27472527472527,7.17659340659341
"Boise_High",2007,84.79,12.2282417582418,0.0973626373626374,54.55,19.1757777777778,0,71.58,0.758225806451613,6.44870967741935,117.37,2.60769230769231,2.98318681318681
"Boise_High",2008,90.67,9.82736263736264,40.0473626373626,23.93,18.1847222222222,0,149.63,-1.2352688172043,129.585161290323,160.05,2.0460989010989,3.07978021978022
"Boise_High",2009,196.97,10.9596153846154,0,18.49,18.6233333333333,0,109.9,-0.286989247311828,6.57376344086022,174.1,3.24164835164835,10.3818681318681
"Boise_High",2010,146.3,8.78505494505495,0.423516483516484,28.66,17.4166666666667,0,187.86,0.637150537634409,1.92387096774194,165.01,0.523296703296703,1.10648351648352
"Boise_High",2011,185.55,7.98582417582418,0,18.02,18.6136111111111,0,198.38,-0.308333333333333,0.966881720430108,246.48,3.19675824175824,7.1721978021978
"Boise_High",2012,99.53,10.6345054945055,0,0,19.5308888888889,0,178.84,0.708010752688172,3.61591397849462,80.5,2.13071428571429,0
