Standing dead
standing dead Opuntia polyacantha
Stipa comata
Stipa sp
stipa.comata
stump
Symphoricarpos albus
Symphyotrichum ericoides
Symphyotrichum laeve
Symphyotrichum oblongifolium
Symphyotrichum porteri
Taeniatherum caput-medusae
TAOF
Taraxacum officinale
Taraxacum.officinalis
TECA
TECA (Tetrademia canescens)
Tetradymia canescens
Thinopyrum intermedium
Tradescantia bracteata
Tradescantia occidentalis
Tragapogon.dubius
Tragopogon dubius
TRDU
UNCH
unk ann forb
unk forb
unk per forb
UNKFB1
UNKFB3
UNKGS1
UNKGS2
unknown 2
unknown annual
unknown annual forb
unknown annual forb (colomia?)
unknown annual grass
unknown aster
unknown forb
unknown forb 3
"unknown forb, hairy, linear leaves, no flowers"
unknown grass 1
unknown grass 4
unknown peren. forb
Unknown pink
unknown seedling forb
UNPF
Verbascum thapsis
Verbascum thapsus
Veronica peregrina
Veronica verna
Vicia villosa
VINE
VINU - Viola nuttalii
Viola
Viola nuttallii
Viola sp. (perenn.)
Vulpia octoflora
Vulpia spp
Wood
ZIPA
