SiteCode,Date,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Species,Cover,Litter depth (if >1cm),Notes
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.2,Litter,70,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.2,Moss,10,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.2,Lichen,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.2,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.2,Bouteloua gracilis,10,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.4,Litter,75,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.4,Lichen,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.4,Bromus tectorum,10,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.4,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.4,Bouteloua gracilis,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.6,Litter,70,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.6,Moss,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.6,Lichen,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.6,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.6,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.6,Bouteloua gracilis,10,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.8,Litter,20,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.8,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.8,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,0.8,Bouteloua gracilis,70,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1,Litter,75,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1,Moss,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1,Bouteloua gracilis,10,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.2,Litter,70,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.2,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.2,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.2,Bouteloua gracilis,20,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.4,Litter,80,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.4,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.4,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.4,Bouteloua gracilis,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.4,Hesperostipa comata,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.6,Litter,65,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.6,Moss,15,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.6,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.6,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.6,Bouteloua gracilis,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.6,Hesperostipa comata,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.8,Litter,70,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.8,Moss,10,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.8,Lichen,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.8,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.8,Tragopogon dubius,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,1.8,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Litter,70,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Moss,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Lichen,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2,Hesperostipa comata,10,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Litter,20,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Tragopogon dubius,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Lonicera arizonica,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.2,Arabis puberula,60,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.4,Litter,85,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.4,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.4,Hesperostipa comata,10,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.6,Litter,20,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.6,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.6,Arabis puberula,75,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.8,Litter,85,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.8,Bromus tectorum,10,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,2.8,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3,Litter,85,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3,Bromus tectorum,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3,Pascopyrum smithii,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3,Hesperostipa comata,5,,
FtK_Cottonwood_Coulee,10/6/2021,N,control,3.2,Litter,20,,
