species,update,site
Festuca.idahoensis,Festuca idahoensis,
forb,unknown forb,
Forb,unknown forb,
FORB,unknown forb,
forb1,unknown forb,
forb2,unknown forb,
forb3,unknown forb,
forb4,unknown forb,
Gaillardia aristata,,
Gaillardia pinnatifida,,
Galium spurium,,
Geranium,Geranium spp,
Geranium spp,,
Gnaphalium sp.,Gnaphalium spp,
Grass,unknown grass,
grass 1,unknown grass,
Grass 1,unknown grass,
grass1,unknown grass,
Gravel,bare,
Gutierrezia sarothrae,,
HECO,Hesperostipa comata,
Hedeoma hispida,,
Helianthus annuus,,
Helianthus petiolaris,,
Hesperostipa comata,,
Heterotheca villosa,,
Holosteum umbellatum,,
Hordeum pusillum,,
HOUM,Holosteum umbellatum,
Koeleria macrantha,,
Koeleria micrantha,Koeleria macrantha,
Lactuca serriola,,
Lappula occidentalis,,
Lappula occidentalis var occidentalis,Lappula occidentalis,
Lappula redowskii,,
Lappula spp,,
LASE,Lactuca serriola,
LASP,Lactuca serriola,
late biocr,biocrust,
late successional biocrust,biocrust,
Late successional biocrust,biocrust,
Lepidium,Lepidium spp,
Lepidium densiflorum,,
Leucocrinum montanum,,
Lewisia rediviva,,
Liatrus punctata,Liatris punctata,
lichen,biocrust,
Lichen,biocrust,
Light cyanobacteria,biocrust,
Linanthus pungens,,
Linanthus septentrionalis,,
Linaria dalmatica,,
Linum lewisii,,
Linum perenne,,
LISE,Linanthus septentrionalis,
Lithophragma parviflorum,,
Lithospemum incisum,Lithospermum incisum,
Lithospermum ruderale,,
litter,,
Litter,litter,
Logfia arvense,Logfia arvensis,
Logfia arvensis,,
Lomatium foeniculaceum,,
Lomatium triternatum,,
Lonicera arizonica,,
LUAR,Lupinus arboreus,
Lupinus argenteus,,
Lupinus sericeus,,
Lupinus sp.,Lupinus spp,
Lupinus spp,,
Lygodesmia juncea,,
Medicago lupulina,,
Medicago sativa,,
Melilotus officinalis,,
Mertensia lanceolata,,
Microsteris gracilis,,
Mirabilis linearis,,
missing,,
moss,biocrust,
Moss,biocrust,
MOSS,biocrust,
moss (LSB),biocrust,
mushroom,biocrust,
Mushroom,biocrust,
Myosotis micrantha,,
Myosotis stricta,,
N/A,missing,
Nasella viridula,Nassella viridula,
Nassella viridula,,
neighbor Bromus tectorum,Bromus tectorum,
not found,missing,
Nothocalis,Nothocalais spp,
Oenothera suffrutescens,,
Oligoneuron rigidum,,
Opuntia,Opuntia spp,
Opuntia polyacantha,,
Orthocarpus tenuifolius,,
Pascopyrum smithii,Agropyron smithii,
Penstemon virens,,
Perennial forb,unknown perennial forb,
Perennial grass,unknown perennial grass,
Perennial short grass,unknown perennial grass,
Perennial tall grass,unknown perennial grass,
PHHO,Phlox hoodii,
Phleum pratense,,
PHLO,Phlox longifolia,
Phlox andicola,,
Phlox hoodii,,
Phlox longifolia,,
Picradeniopsis oppositifolia,,
Pink,unknown forb,
Pinus ponderosa,,
Pinus ponderosa stump,litter,
Plantago patagonica,,
planted Bromus tectorum,cut_this_record,
Pleiacanthus spinosus,,
Pleuraphis jamesii,,
Poa bulbosa,,
Poa pratensis,,
Poa sandbergii,,
Poa secunda,,
Poa secunda (dead),litter,
Poa sp.,Poa spp,
POAV,Polygonum aviculare,
POBU,Poa bulbosa,
Polygonum aviculare,,
Polygonum douglasii,,
POPR,Poa pratensis,
Portulaca oleracea,,
pose,Poa secunda,
POSE,Poa secunda,
Pseudoroegnaria spicata,Pseudoroegneria spicata,
Pseudoroegneria spicata,,
Pseudoroegneria.spicata,Pseudoroegneria spicata,
Psoralidium tenuiflorum,,
PSSP6,Pseudoroegneria spicata,
Rabbit feces,scat,
RATE,Ceratocephala testiculata,
Ratibida columnifera,,
Rhus trilobata,,
Ribes cereum,,
rock,rock,
Rock,rock,
Rocks,rock,
Rosa sp.,Rose spp,
Rubus idaeus,,
Salsola tragus,,
SATR,Salsola tragus,
Schedonnardus paniculatus,,
Shrub,unknown shrub,
Sisymbrium altissimum,,
Sisymbrium.altimissimum,Sisymbrium altissimum,
soil,bare,
Soil,bare,
Solanum triflorum,,
Solidago missouriensis,,
Solidago ridiga,Solidago rigida,
Solidago speciosa,,
SPCR,Sporobolus cryptandrus,
Sphaeralcea coccinea,,
Sphaeralcea spp,,
Sphaercia.coccinea,Sphaeralcea coccinea,
Sporobolus,Sporobolus spp,
Sporobolus cryptandrus,,
Sporobulus cryptandrus,Sporobolus cryptandrus,
standing dead,litter,
Standing dead,litter,
standing dead Opuntia polyacantha,litter,
Stipa comata,Hesperostipa comata,
stipa.comata,Hesperostipa comata,
stump,litter,
Symphoricarpos albus,,
Symphyotrichum ericoides,,
Symphyotrichum laeve,,
Symphyotrichum oblongifolium,,
Symphyotrichum porteri,,
Taeniatherum caput-medusae,,
TAOF,Taraxacum officinale,
Taraxacum officinale,,
Taraxacum.officinalis,Taraxacum officinale,
Tetradymia canescens,,
Thinopyrum intermedium,,
Tradescantia bracteata,,
Tradescantia occidentalis,,
Tragapogon.dubius,Tragopogon dubius,
Tragopogon dubius,,
TRDU,Tragopogon dubius,
Tree,unknown tree,
unk ann forb,unknown annual forb,
unk forb,unknown forb,
unk per forb,unknown perennial forb,
UNKFB1,unknown forb,
UNKFB3,unknown forb,
UNKGS1,unknown grass,
UNKGS2,unknown grass,
unknown 2,unknown,
unknown annual,unknown annual forb,
unknown annual forb,,
unknown annual forb (colomia?),unknown annual forb,
unknown annual grass,,
unknown forb,,
unknown forb 3,unknown forb,
"unknown forb, hairy, linear leaves, no flowers",unknown forb,
unknown grass 1,unknown grass,
unknown grass 4,unknown grass,
Unknown pink,unknown,
unknown seedling forb,unknown forb,
UNPF,unknown perennial forb,
Verbascum thapsis,Verbascum thapsus,
Verbascum thapsus,,
Veronica peregrina,,
Veronica verna,,
Vicia villosa,,
Viola,Viola spp,
Viola nuttallii,,
Viola sp. (perenn.),Viola spp,
Vulpia octoflora,,
Vulpia spp,,
Wood,litter,
