,CommG,Density,Albedo,plot,Site.code,bulkYear,combCond,combCondPlot,x,y,genotypeID
56,LowBoise,hi,black,8,Adler17,2020,hi black LowBoise,hi black LowBoise 8,9,10,g17
57,LowBoise,hi,black,3,Adler17,2020,hi black LowBoise,hi black LowBoise 3,7,6,g17
58,LowBoise,hi,black,1,Adler17,2020,hi black LowBoise,hi black LowBoise 1,2,4,g17
59,LowBoise,hi,black,9,Adler17,2020,hi black LowBoise,hi black LowBoise 9,3,8,g17
60,LowBoise,hi,black,10,Adler17,2020,hi black LowBoise,hi black LowBoise 10,3,5,g17
61,LowBoise,hi,black,7,Adler17,2020,hi black LowBoise,hi black LowBoise 7,6,9,g17
62,LowBoise,hi,black,6,Adler17,2020,hi black LowBoise,hi black LowBoise 6,8,8,g17
63,LowBoise,hi,black,5,Adler17,2020,hi black LowBoise,hi black LowBoise 5,6,7,g17
64,LowBoise,hi,black,4,Adler17,2020,hi black LowBoise,hi black LowBoise 4,2,6,g17
65,LowBoise,hi,black,2,Adler17,2020,hi black LowBoise,hi black LowBoise 2,5,1,g17
66,LowBoise,hi,white,10,Adler17,2020,hi white LowBoise,hi white LowBoise 10,4,2,g17
67,LowBoise,hi,white,9,Adler17,2020,hi white LowBoise,hi white LowBoise 9,3,7,g17
68,LowBoise,hi,white,4,Adler17,2020,hi white LowBoise,hi white LowBoise 4,5,7,g17
69,LowBoise,hi,white,6,Adler17,2020,hi white LowBoise,hi white LowBoise 6,1,1,g17
70,LowBoise,hi,white,7,Adler17,2020,hi white LowBoise,hi white LowBoise 7,6,3,g17
71,LowBoise,hi,white,8,Adler17,2020,hi white LowBoise,hi white LowBoise 8,3,2,g17
72,LowBoise,hi,white,2,Adler17,2020,hi white LowBoise,hi white LowBoise 2,3,2,g17
73,LowBoise,hi,white,3,Adler17,2020,hi white LowBoise,hi white LowBoise 3,4,7,g17
74,LowBoise,hi,white,1,Adler17,2020,hi white LowBoise,hi white LowBoise 1,3,4,g17
75,LowBoise,hi,white,5,Adler17,2020,hi white LowBoise,hi white LowBoise 5,3,10,g17
76,HighBoise,lo,black,7,Adler17,2020,lo black HighBoise,lo black HighBoise 7,10,3,g17
77,HighBoise,lo,black,1,Adler17,2020,lo black HighBoise,lo black HighBoise 1,18,1,g17
