Site,Date,Last harvest date,# of harvests,Block,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,harvest,tillers,biomass_whole,inflor_mass,notes
SheepStation,,,,,1,high,black,1,1,66,2020,Maron1,46.68,-114.03,Y,V3+,N,,,,not cheatgrass
SheepStation,6/14/2023,,,,1,high,black,1,2,31,2020,Urza01,40.35,-119.34,Y,FG,Y,3,0.06,0.09,smut
SheepStation,6/26/2023,,,,1,high,black,1,3,102,2020,Shriver02,48,-114.04,Y,FG,Y,3,0.1,0.15,smut
SheepStation,6/14/2023,,,,1,high,black,1,4,74,2020,Pyke 21,47.61803776,-119.6830115,Y,FG,Y,3,0.023,0.023,smut
SheepStation,,,,,1,high,black,1,5,9,2020,Adler05,40.79,-111.87,N,NA,NA,,,,
SheepStation,,,,,1,high,black,1,6,56,2020,JackieOtt5,43.78,-102.61,N,NA,NA,,,,
SheepStation,,,,,1,high,black,1,7,54,2020,JackieOtt1,43.65,-102.97,N,NA,NA,,,,
SheepStation,,,,,1,high,black,1,8,89,2020,Symstad1,44.59,-104.71,N,NA,NA,,,,
SheepStation,,,,,1,high,black,1,9,35,2020,Chambers07,43.94,-116.19,Y,V3+,N,,,,not cheatgrass
SheepStation,,,,,1,high,black,1,10,88,2020,Schupp05,39.11,-112.74,N,NA,NA,,,,
SheepStation,,,,,1,high,black,2,1,11,2020,Adler09,43.31,-112.27,N,NA,NA,,,,
SheepStation,,,,,1,high,black,2,2,93,2020,Urza02,,,N,V2,NA,,,,
SheepStation,6/26/2023,,,,1,high,black,2,3,55,2020,JackieOtt2,43.71,-102.32,Y,FG,Y,4,0.07,0.06,smut
SheepStation,,,,,1,high,black,2,4,46,2020,Fleishman_05,39.12,-117.27,N,NA,NA,,,,
SheepStation,7/10/2023,,,,1,high,black,2,5,51,2020,Holdrege1,41.61,-111.57,Y,FP,Y,3,0.24,0.5,
SheepStation,,,,,1,high,black,2,6,6,2020,AAFC09,,,N,NA,NA,,,,
SheepStation,,,,,1,high,black,2,7,90,2020,Symstad2,43.87,-103.46,N,NA,NA,,,,
SheepStation,,,,,1,high,black,2,8,12,2020,Schupp02,40.2,-112.46,N,NA,NA,,,,
SheepStation,,,,,1,high,black,2,9,42,2020,Downs 01,46.38145,-119.430272,N,NA,NA,,,,
SheepStation,,,,,1,high,black,2,10,5,2020,AAFC08,49.57,-120.55,N,NA,NA,,,,
SheepStation,,,,,1,high,black,3,1,19,2020,Barnett01,43.48,-110.74,Y,V3+,N,,,,not cheatgrass
SheepStation,,,,,1,high,black,3,2,28,2020,Bradford01,35.23,-111.62,N,NA,NA,,,,
SheepStation,,,,,1,high,black,3,3,64,2020,Lee 04,35.4564,-115.52,N,NA,NA,,,,
SheepStation,,,,,1,high,black,3,4,98,2020,Chynoweth05,40.480805,-109.438229,N,NA,NA,,,,
SheepStation,,,,,1,high,black,3,5,52,2020,Hufft01,38.6701,-108.3286,N,NA,NA,,,,
SheepStation,,,,,1,high,black,3,6,54,2020,JackieOtt1,43.65,-102.97,N,NA,NA,,,,
SheepStation,,,,,1,high,black,3,7,71,2020,Porensky30,40.63,-105.27,N,NA,NA,,,,
SheepStation,,,,,1,high,black,3,8,65,2020,Leger 1,39.49,-119.84,N,NA,NA,,,,
SheepStation,,,,,1,high,black,3,9,57,2020,JackieOtt6,43.84,-101.94,N,NA,NA,,,,
SheepStation,,,,,1,high,black,3,10,83,2020,Reed01,38.52,-109.47,N,NA,NA,,,,
SheepStation,7/10/2023,,,,1,high,black,4,1,79,2020,Pyle15,43.8,-119,Y,FP_FG,Y,2,0.07,0.12,
SheepStation,,,,,1,high,black,4,2,97,2021,Chynoweth03,39.83576,-109.61202,N,NA,NA,,,,
SheepStation,6/26/2023,,,,1,high,black,4,3,75,2020,Pyle01,42.35,-118.65,Y,FG,Y,4,0.14,0.19,smut
SheepStation,,,,,1,high,black,4,4,69,2020,Porensky17,43.34,-105.13,N,NA,NA,,,,
SheepStation,,,,,1,high,black,4,5,76,2020,Pyle09,43.42,-119.62,N,NA,NA,,,,
SheepStation,,,,,1,high,black,4,6,29,2020,Chambers01,39.55,-119.58,N,NA,NA,,,,
SheepStation,,,,,1,high,black,4,7,7,2020,AAFC10,49.71,-120.05,N,NA,NA,,,,
SheepStation,,,,,1,high,black,4,8,92,2020,Symstad4,43.71,-102.58,N,NA,NA,,,,
SheepStation,,,,,1,high,black,4,9,37,2020,Chambers09,40.66,-116.73,N,NA,NA,,,,
SheepStation,,,,,1,high,black,4,10,73,2020,Pyke 08,46.74830998,-119.361636,N,NA,NA,,,,
SheepStation,,,,,1,high,black,5,1,101,2020,Shriver01,34.06,-116.22,N,NA,NA,,,,
SheepStation,,,,,1,high,black,5,2,104,2020,Germino BOP 01,43.4720833,-116.2338306,N,NA,NA,,,,
SheepStation,,,,,1,high,black,5,3,34,2020,Chambers06,41.54,-117.78,N,NA,NA,,,,
SheepStation,7/10/2023,,,,1,high,black,5,4,33,2020,Chambers05,41.54,-117.75,Y,FB,Y,1,0.032,0.053,
SheepStation,7/10/2023,,,,1,high,black,5,5,62,2020,Lee 02,35.3984,-115.7845,Y,FG,Y,2,0.23,0.22,
SheepStation,,,,,1,high,black,5,6,61,2020,Lee 01,36.82340833,-116.0163889,N,NA,NA,,,,
SheepStation,7/10/2023,,,,1,high,black,5,7,49,2020,Getts3,40.43,-120.67,Y,FB,Y,1,0.013,0.02,seed drop
SheepStation,,,,,1,high,black,5,8,2,2020,AAFC05,50.09,-120.45,N,NA,NA,,,,
SheepStation,,,,,1,high,black,5,9,95,2020,Wilcox02,41.31,-105.66,N,NA,NA,,,,
SheepStation,7/4/2023,,,,1,high,black,5,10,43,2020,Downs 02,46.25045,-119.53334,Y,FG_FP,Y,4,0.18,0.45,
SheepStation,7/10/2023,,,,1,high,black,6,1,53,2020,Hufft02,39.547444,-105.102111,Y,FP,Y,1,0.011,0.029,
SheepStation,,,,,1,high,black,6,2,81,2020,Pyle17,44.36,-118.93,Y,,Y,,,,
SheepStation,,,,,1,high,black,6,3,63,2020,Lee 03,36.5247,-115.8987,N,NA,NA,,,,
SheepStation,,,,,1,high,black,6,4,38,2021,Copeland01,43.7,-117.33,N,NA,NA,,,,
SheepStation,,,,,1,high,black,6,5,39,2020,Copeland05,42.27,-118.71,N,NA,NA,,,,
SheepStation,7/4/2023,,,,1,high,black,6,6,25,2020,Symstad6,41.83,-103.71,Y,FG_FP,Y,3,0.08,0.14,
SheepStation,,,,,1,high,black,6,7,58,2020,JackieOtt7,43.82,-101.94,N,NA,NA,,,,
SheepStation,7/10/2023,,,,1,high,black,6,8,91,2020,Symstad3,43.62,-103.47,Y,FG_FP,Y,7,1.11,1.41,
SheepStation,,,,,1,high,black,6,9,150,2022,Mancillas01,,,N,NA,NA,,,,
SheepStation,,,,,1,high,black,6,10,87,2020,Schupp04,38.52,-113.55,N,NA,NA,,,,
SheepStation,,,,,1,high,black,7,1,82,2020,Pyle19,44.57,-119.65,N,NA,NA,,,,
SheepStation,,,,,1,high,black,7,2,1,2020,AAFC04,50.08,-120.65,N,NA,NA,,,,
SheepStation,,,,,1,high,black,7,3,27,2020,JackieOtt6,43.84,-101.94,N,NA,NA,,,,
SheepStation,,,,,1,high,black,7,4,68,2020,Porensky01,43.24,-105.18,N,NA,NA,,,,
SheepStation,,,,,1,high,black,7,5,100,2020,Chynoweth08,40.640878,-109.48689,N,NA,NA,,,,
SheepStation,,,,,1,high,black,7,6,32,2020,Chambers04,41.31,-117.63,N,NA,NA,,,,
SheepStation,,,,,1,high,black,7,7,18,2020,Adler18,,,N,NA,NA,,,,
SheepStation,,,,,1,high,black,7,8,59,2020,Lavin01,44.68,-109.07,N,NA,NA,,,,
SheepStation,,,,,1,high,black,7,9,44,2020,Downs 03,45.9663,-120.3671,N,NA,NA,,,,
SheepStation,,,,,1,high,black,7,10,30,2020,Chambers02,39.95,-118.76,N,NA,NA,,,,
SheepStation,,,,,1,high,black,8,1,45,2020,Fleishman_01,38.47,-119.49,N,NA,NA,,,,
SheepStation,,,,,1,high,black,8,2,77,2020,Pyle10,43.19,-120,N,NA,NA,,,,
SheepStation,7/10/2023,,,,1,high,black,8,3,84,2020,Reed03,38.75,-109.79,Y,FP,Y,1,0.012,0.02,
SheepStation,,,,,1,high,black,8,4,14,2020,Adler13,41.44,-111.08,N,NA,NA,,,,
SheepStation,,,,,1,high,black,8,5,96,2020,Chynoweth02,40.29092,-109.68361,N,NA,NA,,,,
SheepStation,,,,,1,high,black,8,6,28,2020,Bradford01,35.23,-111.62,N,NA,NA,,,,
SheepStation,,,,,1,high,black,8,7,24,2020,Blumenthal08,40.64,-104.56,N,NA,NA,,,,
SheepStation,6/26/2023,,,,1,high,black,8,8,47,2020,Fleishman_07,39.17,-117.44,Y,FG,Y,2,0.09,0.11,
SheepStation,,,,,1,high,black,8,9,8,2020,Blumenthal01,41.18,-104.9,N,NA,NA,,,,
SheepStation,,,,,1,high,black,8,10,72,2020,Pyke 03,44.60456358,-120.1924183,N,NA,NA,,,,
SheepStation,,,,,2,high,white,1,1,82,2020,Pyle19,44.57,-119.65,N,NA,NA,,,,
SheepStation,,,,,2,high,white,1,2,101,2020,Shriver01,34.06,-116.22,N,NA,NA,,,,
SheepStation,,,,,2,high,white,1,3,42,2021,Downs 01,46.38145,-119.430272,N,NA,NA,,,,
SheepStation,,,,,2,high,white,1,4,77,2020,Pyle10,43.19,-120,N,NA,NA,,,,
