site,block,density_long,density,albedo,source,growout_yr,growout_loc,,,X,Y,genotype,genotype_batch
Cheyenne,1,high,hi,black,AAFC04,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,9,g1,1_Reno
Cheyenne,1,high,hi,black,Porensky30,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,9,g71,71_Reno
Cheyenne,1,high,hi,black,Urza1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,9,g31,31_Reno
Cheyenne,1,high,hi,black,Porensky1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,9,g68,68_Reno
Cheyenne,1,high,hi,black,Pyle001,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,9,g75,75_Reno
Cheyenne,1,high,hi,black,Holdrege1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,9,g51,51_Reno
Cheyenne,1,high,hi,black,Blumenthal10,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,9,9,g105,105_Reno
Cheyenne,1,high,hi,black,Symstad6,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,10,9,g25,25_Reno
Cheyenne,1,high,hi,black,Pyle015,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,1,10,g79,79_Reno
Cheyenne,1,high,hi,black,JackieOtt6,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,2,10,g57,57_Reno
Cheyenne,1,high,hi,black,Bradford01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,3,10,g28,28_Reno
Cheyenne,1,high,hi,black,Lee1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,4,10,g61,61_Reno
Cheyenne,1,high,hi,black,AAFC08,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,5,10,g5,5_Reno
Cheyenne,1,high,hi,black,Maron1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,6,10,g66,66_Reno
Cheyenne,1,high,hi,black,Chynoweth02,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,7,10,g96,96_Reno
Cheyenne,1,high,hi,black,Symstad6,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,8,10,g25,25_Reno
Cheyenne,1,high,hi,black,Lee1,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,9,10,g61,61_Reno
Cheyenne,1,high,hi,black,Chynoweth01,2020,Reno,hi black Cheyenne,hi black Cheyenne 1,10,10,g26,26_Reno
Cheyenne,1,high,hi,white,Pyle009,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,1,g76,76_Reno
Cheyenne,1,high,hi,white,Chambers02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,1,g30,30_Reno
Cheyenne,1,high,hi,white,Chambers05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,1,g33,33_Reno
Cheyenne,1,high,hi,white,Schupp02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,1,g12,12_Reno
Cheyenne,1,high,hi,white,Blumenthal08,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,1,g24,24_Reno
Cheyenne,1,high,hi,white,Chynoweth05,2021,Logan,hi white Cheyenne,hi white Cheyenne 1,6,1,g98,98_Logan
Cheyenne,1,high,hi,white,Hufft1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,1,g52,52_Reno
Cheyenne,1,high,hi,white,Shriver01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,1,g101,101_Reno
Cheyenne,1,high,hi,white,Symstad3,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,9,1,g91,91_Reno
Cheyenne,1,high,hi,white,Shriver02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,10,1,g102,102_Reno
Cheyenne,1,high,hi,white,Chambers09,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,2,g37,37_Reno
Cheyenne,1,high,hi,white,Shriver02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,2,g102,102_Reno
Cheyenne,1,high,hi,white,Blumenthal10,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,2,g105,105_Reno
Cheyenne,1,high,hi,white,JackieOtt7,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,2,g58,58_Reno
Cheyenne,1,high,hi,white,Pyle019,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,2,g82,82_Reno
Cheyenne,1,high,hi,white,Downs03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,2,g44,44_Reno
Cheyenne,1,high,hi,white,Chynoweth01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,2,g26,26_Reno
Cheyenne,1,high,hi,white,Symstad4,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,2,g92,92_Reno
Cheyenne,1,high,hi,white,Chynoweth08,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,9,2,g100,100_Reno
Cheyenne,1,high,hi,white,Leger 1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,10,2,g65,65_Reno
Cheyenne,1,high,hi,white,Schupp04,2021,Logan,hi white Cheyenne,hi white Cheyenne 1,1,3,g87,87_Logan
Cheyenne,1,high,hi,white,Davies03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,3,g103,103_Reno
Cheyenne,1,high,hi,white,Pyle009,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,3,g76,76_Reno
Cheyenne,1,high,hi,white,Barnett01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,3,g19,19_Reno
Cheyenne,1,high,hi,white,Symstad6,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,3,g25,25_Reno
Cheyenne,1,high,hi,white,AAFC09,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,3,g6,6_Reno
Cheyenne,1,high,hi,white,Porensky17,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,3,g69,69_Reno
Cheyenne,1,high,hi,white,Symstad2,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,3,g90,90_Reno
Cheyenne,1,high,hi,white,Fleishman_07,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,9,3,g47,47_Reno
Cheyenne,1,high,hi,white,JackieOtt2,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,10,3,g55,55_Reno
Cheyenne,1,high,hi,white,Pyle010,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,4,g77,77_Reno
Cheyenne,1,high,hi,white,Pyke21,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,4,g74,74_Reno
Cheyenne,1,high,hi,white,Lee3,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,4,g63,63_Reno
Cheyenne,1,high,hi,white,Schupp05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,4,g88,88_Reno
Cheyenne,1,high,hi,white,Downs02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,4,g43,43_Reno
Cheyenne,1,high,hi,white,Pyke8,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,4,g73,73_Reno
Cheyenne,1,high,hi,white,JackieOtt5,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,4,g56,56_Reno
Cheyenne,1,high,hi,white,Urza1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,4,g31,31_Reno
Cheyenne,1,high,hi,white,Chambers06,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,9,4,g34,34_Reno
Cheyenne,1,high,hi,white,Hufft2,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,10,4,g53,53_Reno
Cheyenne,1,high,hi,white,Downs02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,5,g43,43_Reno
Cheyenne,1,high,hi,white,Pyle015,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,5,g79,79_Reno
Cheyenne,1,high,hi,white,Reed03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,5,g84,84_Reno
Cheyenne,1,high,hi,white,Holdrege1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,5,g51,51_Reno
Cheyenne,1,high,hi,white,Adler18,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,5,g18,18_Reno
Cheyenne,1,high,hi,white,Adler13,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,5,g14,14_Reno
Cheyenne,1,high,hi,white,Pyke21,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,5,g74,74_Reno
Cheyenne,1,high,hi,white,AAFC04,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,5,g1,1_Reno
Cheyenne,1,high,hi,white,Chambers07,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,9,5,g35,35_Reno
Cheyenne,1,high,hi,white,Copeland05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,10,5,g39,39_Reno
Cheyenne,1,high,hi,white,JackieOtt1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,6,g54,54_Reno
Cheyenne,1,high,hi,white,Pyle015,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,6,g79,79_Reno
Cheyenne,1,high,hi,white,Lee1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,6,g61,61_Reno
Cheyenne,1,high,hi,white,Fleishman_01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,6,g45,45_Reno
Cheyenne,1,high,hi,white,Copeland01,2021,Logan,hi white Cheyenne,hi white Cheyenne 1,5,6,g38,38_Logan
Cheyenne,1,high,hi,white,Pyle017,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,6,g81,81_Reno
Cheyenne,1,high,hi,white,Reed03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,6,g84,84_Reno
Cheyenne,1,high,hi,white,JackieOtt6,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,6,g57,57_Reno
Cheyenne,1,high,hi,white,Fleishman_05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,9,6,g46,46_Reno
Cheyenne,1,high,hi,white,AAFC08,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,10,6,g5,5_Reno
Cheyenne,1,high,hi,white,Lavin01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,7,g59,59_Reno
Cheyenne,1,high,hi,white,Pyle017,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,7,g81,81_Reno
Cheyenne,1,high,hi,white,Schupp05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,7,g88,88_Reno
Cheyenne,1,high,hi,white,Chambers07,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,7,g35,35_Reno
Cheyenne,1,high,hi,white,Chynoweth02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,7,g96,96_Reno
Cheyenne,1,high,hi,white,Schupp01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,7,g13,13_Reno
Cheyenne,1,high,hi,white,Symstad1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,7,g89,89_Reno
Cheyenne,1,high,hi,white,Porensky1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,7,g68,68_Reno
Cheyenne,1,high,hi,white,Chynoweth03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,9,7,g97,97_Reno
Cheyenne,1,high,hi,white,Blumenthal01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,10,7,g8,8_Reno
Cheyenne,1,high,hi,white,Chambers04,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,8,g32,32_Reno
Cheyenne,1,high,hi,white,Lee2,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,8,g62,62_Reno
Cheyenne,1,high,hi,white,AAFC05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,8,g2,2_Reno
Cheyenne,1,high,hi,white,Pyke3,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,8,g72,72_Reno
Cheyenne,1,high,hi,white,Adler09,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,8,g11,11_Reno
Cheyenne,1,high,hi,white,Chambers01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,8,g29,29_Reno
Cheyenne,1,high,hi,white,Porensky30,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,8,g71,71_Reno
Cheyenne,1,high,hi,white,Downs01,2021,Logan,hi white Cheyenne,hi white Cheyenne 1,8,8,g42,42_Logan
Cheyenne,1,high,hi,white,Germino BOP 01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,9,8,g104,104_Reno
Cheyenne,1,high,hi,white,Urza2,2021,Logan,hi white Cheyenne,hi white Cheyenne 1,10,8,g93,93_Logan
Cheyenne,1,high,hi,white,Chynoweth08,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,9,g100,100_Reno
Cheyenne,1,high,hi,white,Lavin02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,9,g60,60_Reno
Cheyenne,1,high,hi,white,Getts3,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,9,g49,49_Reno
Cheyenne,1,high,hi,white,Bradford01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,9,g28,28_Reno
Cheyenne,1,high,hi,white,Chambers08,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,9,g36,36_Reno
Cheyenne,1,high,hi,white,Symstad6,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,9,g25,25_Reno
Cheyenne,1,high,hi,white,Schupp03,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,9,g86,86_Reno
Cheyenne,1,high,hi,white,Adler09,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,9,g11,11_Reno
Cheyenne,1,high,hi,white,AAFC10,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,9,9,g7,7_Reno
Cheyenne,1,high,hi,white,Adler17,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,10,9,g17,17_Reno
Cheyenne,1,high,hi,white,Lee4,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,1,10,g64,64_Reno
Cheyenne,1,high,hi,white,Lee1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,2,10,g61,61_Reno
Cheyenne,1,high,hi,white,Adler05,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,3,10,g9,9_Reno
Cheyenne,1,high,hi,white,Reed01,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,4,10,g83,83_Reno
Cheyenne,1,high,hi,white,Maron1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,5,10,g66,66_Reno
Cheyenne,1,high,hi,white,Symstad4,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,6,10,g92,92_Reno
Cheyenne,1,high,hi,white,Hufft1,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,7,10,g52,52_Reno
Cheyenne,1,high,hi,white,Wilcox02,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,8,10,g95,95_Reno
Cheyenne,1,high,hi,white,Pyle009,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,9,10,g76,76_Reno
Cheyenne,1,high,hi,white,Pyle001,2020,Reno,hi white Cheyenne,hi white Cheyenne 1,10,10,g75,75_Reno
Cheyenne,1,low,lo,black,Adler09,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,1,1,g11,11_Reno
Cheyenne,1,low,lo,black,Germino BOP 01,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,2,1,g104,104_Reno
Cheyenne,1,low,lo,black,Chambers06,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,3,1,g34,34_Reno
Cheyenne,1,low,lo,black,Schupp02,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,4,1,g12,12_Reno
Cheyenne,1,low,lo,black,Symstad6,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,5,1,g25,25_Reno
Cheyenne,1,low,lo,black,AAFC08,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,6,1,g5,5_Reno
Cheyenne,1,low,lo,black,Hufft1,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,7,1,g52,52_Reno
Cheyenne,1,low,lo,black,Fleishman_05,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,8,1,g46,46_Reno
Cheyenne,1,low,lo,black,Pyle019,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,9,1,g82,82_Reno
Cheyenne,1,low,lo,black,Pyle015,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,10,1,g79,79_Reno
Cheyenne,1,low,lo,black,Pyle017,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,11,1,g81,81_Reno
Cheyenne,1,low,lo,black,Lee2,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,12,1,g62,62_Reno
Cheyenne,1,low,lo,black,Fleishman_01,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,13,1,g45,45_Reno
Cheyenne,1,low,lo,black,Schupp05,2021,Logan,lo black Cheyenne,lo black Cheyenne 1,14,1,g88,88_Logan
Cheyenne,1,low,lo,black,Blumenthal10,2020,Reno,lo black Cheyenne,lo black Cheyenne 1,15,1,g105,105_Reno
