Site,Date,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,herbivory,frost_heave,tillers,harvested,notes
SheepStation,11/12/2021,1,high,black,6,2,103,2020,Davies03,42.68,-118.68,Y,V2,4.9,49,NA,NA,,,
SheepStation,11/12/2021,1,high,black,6,3,79,2020,Pyle015,43.8,-119,Y,V1,4,40,NA,NA,,,
SheepStation,11/12/2021,1,high,black,6,4,84,2020,Reed03,38.75,-109.79,Y,V1,2.3,23,NA,NA,,,
SheepStation,11/12/2021,1,high,black,6,5,5,2020,AAFC08,49.57,-120.55,Y,V2,4.5,45,NA,NA,,,
SheepStation,11/12/2021,1,high,black,6,6,2,2020,AAFC05,50.09,-120.45,Y,V0,4.3,43,NA,NA,,,
SheepStation,11/12/2021,1,high,black,6,7,90,2020,Symstad2,43.87,-103.46,Y,V1,4.7,47,NA,NA,,,
SheepStation,11/12/2021,1,high,black,6,8,81,2020,Pyle017,44.36,-118.93,Y,V2,5.1,51,NA,NA,,,
SheepStation,11/12/2021,1,high,black,6,9,12,2020,Schupp02,40.2,-112.46,Y,V1,5.2,52,NA,NA,,,
SheepStation,11/12/2021,1,high,black,6,10,46,2020,Fleishman_05,39.12,-117.27,Y,V0,3.5,35,NA,NA,,,
SheepStation,11/12/2021,1,high,black,7,1,49,2020,Getts3,40.43,-120.67,Y,V2,1,10,NA,NA,,,
SheepStation,11/12/2021,1,high,black,7,2,53,2020,Hufft2,39.547444,-105.102111,Y,V2,4.6,46,NA,NA,,,
SheepStation,11/12/2021,1,high,black,7,3,62,2020,Lee2,35.3984,-115.7845,Y,V2,6,60,NA,NA,,,
SheepStation,11/12/2021,1,high,black,7,4,24,2020,Blumenthal08,40.64,-104.56,Y,V1,3.4,34,NA,NA,,,
SheepStation,11/12/2021,1,high,black,7,5,29,2020,Chambers01,39.55,-119.58,Y,V2,4.8,48,NA,NA,,,
SheepStation,11/12/2021,1,high,black,7,6,5,2020,AAFC08,49.57,-120.55,Y,V2,4.1,41,NA,NA,,,
SheepStation,11/12/2021,1,high,black,7,7,39,2020,Copeland05,42.27,-118.71,Y,V2,5.2,52,NA,NA,,,
SheepStation,11/12/2021,1,high,black,7,8,38,2021,Copeland01,43.7,-117.33,Y,V0,2.3,23,NA,NA,,,
SheepStation,11/12/2021,1,high,black,7,9,91,2020,Symstad3,43.62,-103.47,Y,V1,3.7,37,NA,NA,,,
SheepStation,11/12/2021,1,high,black,7,10,12,2020,Schupp02,40.2,-112.46,Y,V0,3.9,39,NA,NA,,,
SheepStation,11/12/2021,1,high,black,8,1,58,2020,JackieOtt7,43.82,-101.94,Y,V2,4.4,44,NA,NA,,,
SheepStation,11/12/2021,1,high,black,8,2,65,2020,Leger1,39.49,-119.84,Y,V2,5.5,55,NA,NA,,,
SheepStation,11/12/2021,1,high,black,8,3,47,2020,Fleishman_07,39.17,-117.44,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,1,high,black,8,4,30,2020,Chambers02,39.95,-118.76,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,1,high,black,8,5,51,2020,Holdrege1,41.61,-111.57,Y,V1,4.7,47,NA,NA,,,
SheepStation,11/12/2021,1,high,black,8,6,44,2020,Downs03,45.9663,-120.3671,Y,V1,4.5,45,NA,NA,,,
SheepStation,11/12/2021,1,high,black,8,7,68,2020,Porensky1,43.24,-105.18,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,1,high,black,8,8,45,2020,Fleishman_01,38.47,-119.49,Y,V2,4.6,46,NA,NA,,,
SheepStation,11/12/2021,1,high,black,8,9,17,2020,Adler17,41.44,-110.11,Y,V1,4.3,43,NA,NA,,,
SheepStation,11/12/2021,1,high,black,8,10,35,2020,Chambers07,43.94,-116.19,Y,V2,5.5,55,NA,NA,,,
SheepStation,11/12/2021,1,high,black,9,1,59,2020,Lavin01,44.68,-109.07,Y,V2,4.7,47,NA,NA,,,
SheepStation,11/12/2021,1,high,black,9,2,82,2020,Pyle019,44.57,-119.65,Y,V1,3.1,31,NA,NA,,,
SheepStation,11/12/2021,1,high,black,9,3,37,2020,Chambers09,40.66,-116.73,Y,V0,3,30,NA,NA,,,
SheepStation,11/12/2021,1,high,black,9,4,102,2020,Shriver02,48,-114.04,Y,V2,5.4,54,NA,NA,,,
SheepStation,11/12/2021,1,high,black,9,5,103,2020,Davies03,42.68,-118.68,Y,V2,5.7,57,NA,NA,,,
SheepStation,11/12/2021,1,high,black,9,6,60,2021,Lavin02,45.67,-111.03,Y,V0,2.1,21,NA,NA,,,
SheepStation,11/12/2021,1,high,black,9,7,87,2021,Schupp04,38.52,-113.55,Y,V0,1.7,17,NA,NA,,,
SheepStation,11/12/2021,1,high,black,9,8,102,2020,Shriver02,48,-114.04,Y,V2,5.5,55,NA,NA,,,
SheepStation,11/12/2021,1,high,black,9,9,43,2020,Downs02,46.25045,-119.53334,Y,V2,3.1,31,NA,NA,,,
SheepStation,11/12/2021,1,high,black,9,10,93,2021,Uzra2,40.84,-119.56,Y,V0,2.4,24,NA,NA,,,
SheepStation,11/12/2021,1,high,black,10,1,89,2020,Symstad1,44.59,-104.71,Y,V0,4.4,44,NA,NA,,,
SheepStation,11/12/2021,1,high,black,10,2,76,2020,Pyle009,43.42,-119.62,Y,V2,4.3,43,NA,NA,,,
SheepStation,11/12/2021,1,high,black,10,3,6,2020,AAFC09,49.62,-119.8,Y,V1,4.5,45,NA,NA,,,
SheepStation,11/12/2021,1,high,black,10,4,53,2020,Hufft2,39.547444,-105.102111,Y,V0,3.8,38,NA,NA,,,
SheepStation,11/12/2021,1,high,black,10,5,8,2020,Blumenthal01,41.18,-104.9,Y,V2,4.6,46,NA,NA,,,
SheepStation,11/12/2021,1,high,black,10,6,28,2020,Bradford01,35.23,-111.62,Y,V0,3.5,35,NA,NA,,,
SheepStation,11/12/2021,1,high,black,10,7,73,2020,Pyke8,46.74830998,-119.361636,Y,V0,5.6,56,NA,NA,,,
SheepStation,11/12/2021,1,high,black,10,8,86,2020,Schupp03,38.6,-113.79,Y,V1,4.2,42,NA,NA,,,
SheepStation,11/12/2021,1,high,black,10,9,63,2020,Lee3,36.5247,-115.8987,Y,V1,3.6,36,NA,NA,,,
SheepStation,11/12/2021,1,high,black,10,10,64,2020,Lee4,35.4564,-115.52,Y,V0,4.5,45,NA,NA,,,
SheepStation,11/12/2021,2,high,white,1,1,95,2020,Wilcox02,41.31,-105.66,Y,V0,1.9,19,NA,NA,,,
SheepStation,11/12/2021,2,high,white,1,2,59,2020,Lavin01,44.68,-109.07,Y,V0,2.2,22,NA,NA,,,
SheepStation,11/12/2021,2,high,white,1,3,45,2020,Fleishman_01,38.47,-119.49,Y,V0,3.5,35,NA,NA,,,
SheepStation,11/12/2021,2,high,white,1,4,102,2020,Shriver02,48,-114.04,Y,V1,3.6,36,NA,NA,,,
SheepStation,11/12/2021,2,high,white,1,5,68,2020,Porensky1,43.24,-105.18,Y,V1,4,40,NA,NA,,,
SheepStation,11/12/2021,2,high,white,1,6,103,2020,Davies03,42.68,-118.68,Y,V1,2.7,27,NA,NA,,,
SheepStation,11/12/2021,2,high,white,1,7,62,2020,Lee2,35.3984,-115.7845,Y,V1,4.2,42,NA,NA,,,
SheepStation,11/12/2021,2,high,white,1,8,8,2020,Blumenthal01,41.18,-104.9,Y,V1,2.7,27,NA,NA,,,
SheepStation,11/12/2021,2,high,white,1,9,30,2020,Chambers02,39.95,-118.76,Y,V1,3.9,39,NA,NA,,,
SheepStation,11/12/2021,2,high,white,1,10,73,2020,Pyke8,46.74830998,-119.361636,Y,V0,3.1,31,NA,NA,,,
SheepStation,11/12/2021,2,high,white,2,1,5,2020,AAFC08,49.57,-120.55,Y,V0,2.6,26,NA,NA,,,
SheepStation,11/12/2021,2,high,white,2,2,52,2020,Hufft1,38.6701,-108.3286,Y,V0,2.3,23,NA,NA,,,
SheepStation,11/12/2021,2,high,white,2,3,62,2020,Lee2,35.3984,-115.7845,Y,V0,0.8,8,NA,NA,,,
SheepStation,11/12/2021,2,high,white,2,4,44,2020,Downs03,45.9663,-120.3671,Y,V0,2,20,NA,NA,,,
SheepStation,11/12/2021,2,high,white,2,5,47,2020,Fleishman_07,39.17,-117.44,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,2,high,white,2,6,97,2021,Chynoweth03,39.83576,-109.61202,Y,V1,4.7,47,NA,NA,,,
SheepStation,11/12/2021,2,high,white,2,7,66,2020,Maron1,46.68,-114.03,Y,V0,2.9,29,NA,NA,,,
SheepStation,11/12/2021,2,high,white,2,8,42,2020,Downs01,46.38145,-119.430272,Y,V1,4.2,42,NA,NA,,,
SheepStation,11/12/2021,2,high,white,2,9,12,2020,Schupp02,40.2,-112.46,Y,V0,1.7,17,NA,NA,,,
SheepStation,11/12/2021,2,high,white,2,10,38,2021,Copeland01,43.7,-117.33,Y,V0,1,10,NA,NA,,,
SheepStation,11/12/2021,2,high,white,3,1,63,2020,Lee3,36.5247,-115.8987,Y,V0,2.3,23,NA,NA,,,
SheepStation,11/12/2021,2,high,white,3,2,104,2020,Germino_BOP_01,43.4720833,-116.2338306,Y,V1,2.6,26,NA,NA,,,
SheepStation,11/12/2021,2,high,white,3,3,87,2021,Schupp04,38.52,-113.55,Y,V0,1,10,NA,NA,,,
SheepStation,11/12/2021,2,high,white,3,4,46,2020,Fleishman_05,39.12,-117.27,Y,V0,2.3,23,NA,NA,,,
SheepStation,11/12/2021,2,high,white,3,5,32,2020,Chambers04,41.31,-117.63,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,2,high,white,3,6,65,2020,Leger1,39.49,-119.84,Y,V0,4.7,47,NA,NA,,,
SheepStation,11/12/2021,2,high,white,3,7,84,2020,Reed03,38.75,-109.79,Y,V0,3,30,NA,NA,,,
SheepStation,11/12/2021,2,high,white,3,8,91,2020,Symstad3,43.62,-103.47,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,2,high,white,3,9,79,2020,Pyle015,43.8,-119,Y,V0,2.3,23,NA,NA,,,
SheepStation,11/12/2021,2,high,white,3,10,29,2020,Chambers01,39.55,-119.58,Y,V0,4.5,45,NA,NA,,,
SheepStation,11/12/2021,2,high,white,4,1,77,2020,Pyle010,43.19,-120,Y,V1,3.1,31,NA,NA,,,
SheepStation,11/12/2021,2,high,white,4,2,34,2020,Chambers06,41.54,-117.78,Y,V1,4.9,49,NA,NA,,,
SheepStation,11/12/2021,2,high,white,4,3,53,2020,Hufft2,39.547444,-105.102111,Y,V0,2.9,29,NA,NA,,,
SheepStation,11/12/2021,2,high,white,4,4,90,2020,Symstad2,43.87,-103.46,Y,V1,3,30,NA,NA,,,
SheepStation,11/12/2021,2,high,white,4,5,42,2021,Downs01,46.38145,-119.430272,Y,V0,2.1,21,NA,NA,,,
SheepStation,11/12/2021,2,high,white,4,6,37,2020,Chambers09,40.66,-116.73,Y,V1,4.1,41,NA,NA,,,
SheepStation,11/12/2021,2,high,white,4,7,13,2020,Schupp01,39.85,-112.15,Y,V0,3.8,38,NA,NA,,,
SheepStation,11/12/2021,2,high,white,4,8,7,2020,AAFC10,49.71,-120.05,Y,V0,2.5,25,NA,NA,,,
SheepStation,11/12/2021,2,high,white,4,9,9,2020,Adler05,40.79,-111.87,Y,V0,1.9,19,NA,NA,,,
SheepStation,11/12/2021,2,high,white,4,10,57,2020,JackieOtt6,43.84,-101.94,Y,V1,3.2,32,NA,NA,,,
SheepStation,11/12/2021,2,high,white,5,1,14,2020,Adler13,41.44,-111.08,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,2,high,white,5,2,11,2020,Adler09,43.31,-112.27,Y,V1,5,50,NA,NA,,,
SheepStation,11/12/2021,2,high,white,5,3,82,2020,Pyle019,44.57,-119.65,Y,V0,3.3,33,NA,NA,,,
SheepStation,11/12/2021,2,high,white,5,4,102,2020,Shriver02,48,-114.04,Y,V1,3,30,NA,NA,,,
SheepStation,11/12/2021,2,high,white,5,5,69,2020,Porensky17,43.34,-105.13,Y,V0,2.1,21,NA,NA,,,
SheepStation,11/12/2021,2,high,white,5,6,93,2020,Uzra2,40.84,-119.56,Y,V0,2.6,26,NA,NA,,,
SheepStation,11/12/2021,2,high,white,5,7,58,2020,JackieOtt7,43.82,-101.94,Y,V0,2.9,29,NA,NA,,,
SheepStation,11/12/2021,2,high,white,5,8,1,2020,AAFC04,50.08,-120.65,Y,V1,2.9,29,NA,NA,,,
SheepStation,11/12/2021,2,high,white,5,9,39,2020,Copeland05,42.27,-118.71,Y,V1,3.4,34,NA,NA,,,
SheepStation,11/12/2021,2,high,white,5,10,100,2020,Chynoweth08,40.640878,-109.48689,Y,V0,2,20,NA,NA,,,
SheepStation,11/12/2021,2,high,white,6,1,46,2020,Fleishman_05,39.12,-117.27,Y,V0,2.1,21,NA,NA,,,
SheepStation,11/12/2021,2,high,white,6,2,43,2020,Downs02,46.25045,-119.53334,Y,V0,5.2,52,NA,NA,,,
SheepStation,11/12/2021,2,high,white,6,3,5,2020,AAFC08,49.57,-120.55,Y,V0,1.8,18,NA,NA,,,
SheepStation,11/12/2021,2,high,white,6,4,73,2020,Pyke8,46.74830998,-119.361636,Y,V0,2.3,23,NA,NA,,,
SheepStation,11/12/2021,2,high,white,6,5,25,2020,Symstad6,41.83,-103.71,Y,V1,2.6,26,NA,NA,,,
SheepStation,11/12/2021,2,high,white,6,6,96,2020,Chynoweth02,40.29092,-109.68361,Y,V0,2.4,24,NA,NA,,,
SheepStation,11/12/2021,2,high,white,6,7,86,2021,Schupp03,38.6,-113.79,Y,V0,1,10,NA,NA,,,
SheepStation,11/12/2021,2,high,white,6,8,83,2020,Reed01,38.52,-109.47,Y,V0,2.7,27,NA,NA,,,
SheepStation,11/12/2021,2,high,white,6,9,56,2020,JackieOtt5,43.78,-102.61,Y,V0,2.2,22,NA,NA,,,
SheepStation,11/12/2021,2,high,white,6,10,1,2020,AAFC04,50.08,-120.65,Y,V0,3.6,36,NA,NA,,,
SheepStation,11/12/2021,2,high,white,7,1,24,2020,Blumenthal08,40.64,-104.56,Y,V1,3.1,31,NA,NA,,,
SheepStation,11/12/2021,2,high,white,7,2,36,2020,Chambers08,42.24,-114.57,Y,V0,3.7,37,NA,NA,,,
SheepStation,11/12/2021,2,high,white,7,3,76,2020,Pyle009,43.42,-119.62,Y,V0,2.2,22,NA,NA,,,
SheepStation,11/12/2021,2,high,white,7,4,6,2020,AAFC09,49.62,-119.8,Y,V0,3,30,NA,NA,,,
SheepStation,11/12/2021,2,high,white,7,5,75,2020,Pyle001,42.35,-118.65,Y,V1,3.2,32,NA,NA,,,
SheepStation,11/12/2021,2,high,white,7,6,98,2020,Chynoweth05,40.480805,-109.438229,Y,V0,2,20,NA,NA,,,
SheepStation,11/12/2021,2,high,white,7,7,54,2020,JackieOtt1,43.65,-102.97,Y,V0,3.1,31,NA,NA,,,
SheepStation,11/12/2021,2,high,white,7,8,17,2020,Adler17,41.44,-110.11,Y,V0,2.8,28,NA,NA,,,
SheepStation,11/12/2021,2,high,white,7,9,88,2021,Schupp05,39.11,-112.74,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,2,high,white,7,10,55,2020,JackieOtt2,43.71,-102.32,Y,V0,3,30,NA,NA,,,
SheepStation,11/12/2021,2,high,white,8,1,74,2020,Pyke21,47.61803776,-119.6830115,Y,V1,5,50,NA,NA,,,
SheepStation,11/12/2021,2,high,white,8,2,62,2020,Lee2,35.3984,-115.7845,Y,V0,3.5,35,NA,NA,,,
SheepStation,11/12/2021,2,high,white,8,3,92,2020,Symstad4,43.71,-102.58,Y,V0,3.8,38,NA,NA,,,
SheepStation,11/12/2021,2,high,white,8,4,35,2020,Chambers07,43.94,-116.19,Y,V0,3.5,35,NA,NA,,,
SheepStation,11/12/2021,2,high,white,8,5,57,2020,JackieOtt6,43.84,-101.94,Y,V2,4,40,NA,NA,,,
SheepStation,11/12/2021,2,high,white,8,6,64,2020,Lee4,35.4564,-115.52,Y,V1,5.3,53,NA,NA,,,
SheepStation,11/12/2021,2,high,white,8,7,89,2020,Symstad1,44.59,-104.71,Y,V0,3.9,39,NA,NA,,,
SheepStation,11/12/2021,2,high,white,8,8,60,2020,Lavin02,45.67,-111.03,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,2,high,white,8,9,28,2020,Bradford01,35.23,-111.62,Y,V1,2.6,26,NA,NA,,,
SheepStation,11/12/2021,2,high,white,8,10,49,2020,Getts3,40.43,-120.67,Y,V0,2.4,24,NA,NA,,,
SheepStation,11/12/2021,2,high,white,9,1,87,2021,Schupp04,38.52,-113.55,Y,V0,2.9,29,NA,NA,,,
SheepStation,11/12/2021,2,high,white,9,2,31,2020,Uzra1,40.35,-119.34,Y,V0,3.5,35,NA,NA,,,
SheepStation,11/12/2021,2,high,white,9,3,26,2020,Chynoweth01,39.76604,-109.5635,Y,V0,2.6,26,NA,NA,,,
SheepStation,11/12/2021,2,high,white,9,4,18,2020,Adler18,40.86,-114.22,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,2,high,white,9,5,12,2020,Schupp02,40.2,-112.46,Y,V0,2.5,25,NA,NA,,,
SheepStation,11/12/2021,2,high,white,9,6,61,2020,Lee1,36.82340833,-116.0163889,Y,V0,2.3,23,NA,NA,,,
SheepStation,11/12/2021,2,high,white,9,7,2,2020,AAFC05,50.09,-120.45,Y,V0,2.1,21,NA,NA,,,
SheepStation,11/12/2021,2,high,white,9,8,19,2020,Barnett01,43.48,-110.74,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,2,high,white,9,9,33,2020,Chambers05,41.54,-117.75,Y,V0,3.8,38,NA,NA,,,
SheepStation,11/12/2021,2,high,white,9,10,71,2020,Porensky30,40.63,-105.27,Y,V0,4,40,NA,NA,,,
SheepStation,11/12/2021,2,high,white,10,1,72,2020,Pyke3,44.60456358,-120.1924183,N,NA,NA,NA,NA,NA,,,
SheepStation,11/12/2021,2,high,white,10,2,51,2020,Holdrege1,41.61,-111.57,Y,V0,2.2,22,NA,NA,,,
SheepStation,11/12/2021,2,high,white,10,3,104,2020,Germino_BOP_01,43.4720833,-116.2338306,Y,V1,3.3,33,NA,NA,,,
SheepStation,11/12/2021,2,high,white,10,4,29,2020,Chambers01,39.55,-119.58,Y,V2,3.4,34,NA,NA,,,
SheepStation,11/12/2021,2,high,white,10,5,81,2020,Pyle017,44.36,-118.93,Y,V1,3.1,31,NA,NA,,,
SheepStation,11/12/2021,2,high,white,10,6,53,2020,Hufft2,39.547444,-105.102111,Y,V1,2.8,28,NA,NA,,,
SheepStation,11/12/2021,2,high,white,10,7,103,2020,Davies03,42.68,-118.68,Y,V1,3.2,32,NA,NA,,,
SheepStation,11/12/2021,2,high,white,10,8,101,2020,Shriver01,34.06,-116.22,Y,V1,4.5,45,NA,NA,,,
SheepStation,11/12/2021,2,high,white,10,9,82,2020,Pyle019,44.57,-119.65,Y,V0,2.5,25,NA,NA,,,
SheepStation,11/12/2021,2,high,white,10,10,105,2021,Blumenthal10,40.92,-102.52,Y,V0,1.6,16,NA,NA,,,
SheepStation,11/16/2021,3,low,black,1,1,49,2020,Getts3,40.43,-120.67,Y,V2,5,50,NA,NA,,,
SheepStation,11/16/2021,3,low,black,1,2,43,2020,Downs02,46.25045,-119.53334,Y,V2,6.4,64,NA,NA,,,
SheepStation,11/16/2021,3,low,black,1,3,59,2020,Lavin01,44.68,-109.07,Y,V2,4.5,45,NA,NA,,,
SheepStation,11/16/2021,3,low,black,1,4,95,2021,Wilcox02,41.31,-105.66,Y,V0,3.5,35,NA,NA,,,
SheepStation,11/16/2021,3,low,black,1,5,86,2021,Schupp03,38.6,-113.79,N,NA,NA,NA,NA,NA,,,
SheepStation,11/16/2021,3,low,black,2,1,97,2021,Chynoweth03,39.83576,-109.61202,Y,V2,5.4,54,NA,NA,,,
SheepStation,11/16/2021,3,low,black,2,2,46,2020,Fleishman_05,39.12,-117.27,Y,V2,6.5,65,NA,NA,,,
SheepStation,11/16/2021,3,low,black,2,3,91,2020,Symstad3,43.62,-103.47,Y,V2,3.9,39,NA,NA,,,
SheepStation,11/16/2021,3,low,black,2,4,103,2020,Davies03,42.68,-118.68,Y,V2,6.2,62,NA,NA,,,
SheepStation,11/16/2021,3,low,black,2,5,36,2020,Chambers08,42.24,-114.57,Y,V2,7,70,NA,NA,,,
SheepStation,11/16/2021,3,low,black,3,1,19,2020,Barnett01,43.48,-110.74,Y,V2,5.4,54,NA,NA,,,
SheepStation,11/16/2021,3,low,black,3,2,62,2020,Lee2,35.3984,-115.7845,Y,V2,6.1,61,NA,NA,,,
SheepStation,11/16/2021,3,low,black,3,3,24,2020,Blumenthal08,40.64,-104.56,Y,V2,5.9,59,NA,NA,,,
SheepStation,11/16/2021,3,low,black,3,4,11,2020,Adler09,43.31,-112.27,Y,V2,5.1,51,NA,NA,,,
