Site,Date,Plot,Density,Albedo,x,y,genotype,growout,source,lat,lon,Live,V,height,Length_mm,herbivory,frost_heave,notes
SheepStation,10/24/2022,1,high,black,4,10,73,2020,Pyke 08,46.74830998,-119.361636,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,5,1,101,2020,Shriver01,34.06,-116.22,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,5,2,104,2020,Germino BOP 01,43.4720833,-116.2338306,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,5,3,34,2020,Chambers06,41.54,-117.78,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,5,4,33,2020,Chambers05,41.54,-117.75,Y,V1,4.8,48,,,
SheepStation,10/24/2022,1,high,black,5,5,62,2020,Lee 02,35.3984,-115.7845,Y,V1,2.9,29,,,
SheepStation,10/24/2022,1,high,black,5,6,61,2020,Lee 01,36.82340833,-116.0163889,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,5,7,49,2020,Getts3,40.43,-120.67,Y,V0,2.5,25,,,
SheepStation,10/24/2022,1,high,black,5,8,2,2020,AAFC05,50.09,-120.45,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,5,9,95,2020,Wilcox02,41.31,-105.66,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,5,10,43,2020,Downs 02,46.25045,-119.53334,Y,V1,4.5,45,,,
SheepStation,10/24/2022,1,high,black,6,1,53,2020,Hufft02,39.547444,-105.102111,Y,V0,0.3,3,,,
SheepStation,10/24/2022,1,high,black,6,2,81,2020,Pyle17,44.36,-118.93,Y,V0,2.4,24,,,
SheepStation,10/24/2022,1,high,black,6,3,63,2020,Lee 03,36.5247,-115.8987,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,6,4,38,2021,Copeland01,43.7,-117.33,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,6,5,39,2020,Copeland05,42.27,-118.71,Y,V0,0.9,9,,,
SheepStation,10/24/2022,1,high,black,6,6,25,2020,Symstad6,41.83,-103.71,Y,V1,4.2,42,,,
SheepStation,10/24/2022,1,high,black,6,7,58,2020,JackieOtt7,43.82,-101.94,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,6,8,91,2020,Symstad3,43.62,-103.47,Y,V1,4.2,42,,,
SheepStation,10/24/2022,1,high,black,6,9,150,2022,Mancillas01,,,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,6,10,87,2020,Schupp04,38.52,-113.55,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,7,1,82,2020,Pyle19,44.57,-119.65,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,7,2,1,2020,AAFC04,50.08,-120.65,Y,V0,0.4,4,,,
SheepStation,10/24/2022,1,high,black,7,3,27,2020,JackieOtt6,43.84,-101.94,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,7,4,68,2020,Porensky01,43.24,-105.18,Y,V0,0.1,1,,,
SheepStation,10/24/2022,1,high,black,7,5,100,2020,Chynoweth08,40.640878,-109.48689,Y,V2,3.8,38,,,
SheepStation,10/24/2022,1,high,black,7,6,32,2020,Chambers04,41.31,-117.63,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,7,7,18,2020,Adler18,,,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,7,8,59,2020,Lavin01,44.68,-109.07,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,7,9,44,2020,Downs 03,45.9663,-120.3671,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,7,10,30,2020,Chambers02,39.95,-118.76,Y,V0,0.1,1,,,
SheepStation,10/24/2022,1,high,black,8,1,45,2020,Fleishman_01,38.47,-119.49,Y,V0,0.7,7,,,
SheepStation,10/24/2022,1,high,black,8,2,77,2020,Pyle10,43.19,-120,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,8,3,84,2020,Reed03,38.75,-109.79,Y,V0,0.8,8,,,
SheepStation,10/24/2022,1,high,black,8,4,14,2020,Adler13,41.44,-111.08,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,8,5,96,2020,Chynoweth02,40.29092,-109.68361,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,8,6,28,2020,Bradford01,35.23,-111.62,Y,V0,0.1,1,,,
SheepStation,10/24/2022,1,high,black,8,7,24,2020,Blumenthal08,40.64,-104.56,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,8,8,47,2020,Fleishman_07,39.17,-117.44,Y,V1,2.2,22,,,
SheepStation,10/24/2022,1,high,black,8,9,8,2020,Blumenthal01,41.18,-104.9,N,NA,NA,NA,,,
SheepStation,10/24/2022,1,high,black,8,10,72,2020,Pyke 03,44.60456358,-120.1924183,Y,V1,3.4,34,,,
SheepStation,10/24/2022,2,high,white,1,1,82,2020,Pyle19,44.57,-119.65,Y,V0,2.3,23,,,
SheepStation,10/24/2022,2,high,white,1,2,101,2020,Shriver01,34.06,-116.22,Y,V0,3.8,38,,,
SheepStation,10/24/2022,2,high,white,1,3,42,2021,Downs 01,46.38145,-119.430272,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,1,4,77,2020,Pyle10,43.19,-120,Y,V1,4.4,44,,,
SheepStation,10/24/2022,2,high,white,1,5,24,2020,Blumenthal08,40.64,-104.56,Y,V1,4.5,45,,,
SheepStation,10/24/2022,2,high,white,1,6,30,2020,Chambers02,39.95,-118.76,Y,V1,3.8,38,,,
SheepStation,10/24/2022,2,high,white,1,7,19,2020,Barnett01,43.48,-110.74,Y,V1,2,20,,,
SheepStation,10/24/2022,2,high,white,1,8,31,2020,Urza01,40.35,-119.34,Y,V1,3.6,36,,,
SheepStation,10/24/2022,2,high,white,1,9,97,2020,Chynoweth03,39.83576,-109.61202,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,1,10,87,2020,Schupp04,38.52,-113.55,Y,V1,4.2,42,,,
SheepStation,10/24/2022,2,high,white,2,1,8,2020,Blumenthal01,41.18,-104.9,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,2,2,25,2020,Symstad6,41.83,-103.71,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,2,3,39,2020,Copeland05,42.27,-118.71,Y,V0,3.2,32,,,
SheepStation,10/24/2022,2,high,white,2,4,43,2020,Downs 02,46.25045,-119.53334,Y,V2,2.8,28,,,
SheepStation,10/24/2022,2,high,white,2,5,88,2020,Schupp05,39.11,-112.74,Y,V1,4.5,45,,,
SheepStation,10/24/2022,2,high,white,2,6,37,2020,Chambers09,40.66,-116.73,Y,V1,2.9,29,,,
SheepStation,10/24/2022,2,high,white,2,7,5,2020,AAFC08,49.57,-120.55,Y,V0,3.5,35,,,
SheepStation,10/24/2022,2,high,white,2,8,100,2020,Chynoweth08,40.640878,-109.48689,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,2,9,46,2020,Fleishman_05,39.12,-117.27,Y,V1,3.9,39,,,
SheepStation,10/24/2022,2,high,white,2,10,11,2020,Adler09,43.31,-112.27,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,3,1,29,2020,Chambers01,39.55,-119.58,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,3,2,66,2020,Maron1,46.68,-114.03,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,3,3,54,2020,JackieOtt1,43.65,-102.97,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,3,4,45,2020,Fleishman_01,38.47,-119.49,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,3,5,12,2020,Schupp02,40.2,-112.46,Y,V0,0.3,3,,,
SheepStation,10/24/2022,2,high,white,3,6,90,2020,Symstad2,43.87,-103.46,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,3,7,1,2020,AAFC04,50.08,-120.65,Y,V1,3.7,37,,,
SheepStation,10/24/2022,2,high,white,3,8,65,2020,Leger 1,39.49,-119.84,Y,V0,0.3,3,,,
SheepStation,10/24/2022,2,high,white,3,9,92,2020,Symstad4,43.71,-102.58,Y,V0,2.8,28,,,
SheepStation,10/24/2022,2,high,white,3,10,102,2020,Shriver02,48,-114.04,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,4,1,96,2020,Chynoweth02,40.29092,-109.68361,Y,V1,4.5,45,,,
SheepStation,10/24/2022,2,high,white,4,2,76,2020,Pyle09,43.42,-119.62,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,4,3,6,2020,AAFC09,49.62,-119.8,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,4,4,58,2020,JackieOtt7,43.82,-101.94,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,4,5,150,2022,Mancillas01,,,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,4,6,2,2020,AAFC05,50.09,-120.45,Y,V0,3.7,37,,,
SheepStation,10/24/2022,2,high,white,4,7,18,2020,Adler18,,,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,4,8,36,2020,Chambers08,42.24,-114.57,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,4,9,55,2020,JackieOtt2,43.71,-102.32,Y,V1,3.1,31,,,
SheepStation,10/24/2022,2,high,white,4,10,68,2020,Porensky01,43.24,-105.18,Y,V1,3.7,37,,,
SheepStation,10/24/2022,2,high,white,5,1,71,2020,Porensky30,40.63,-105.27,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,5,2,104,2020,Germino BOP 01,43.4720833,-116.2338306,Y,V1,4.3,43,,,
SheepStation,10/24/2022,2,high,white,5,3,33,2020,Chambers05,41.54,-117.75,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,5,4,91,2020,Symstad3,43.62,-103.47,Y,V1,3.1,31,,,
SheepStation,10/24/2022,2,high,white,5,5,83,2020,Reed01,38.52,-109.47,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,5,6,89,2020,Symstad1,44.59,-104.71,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,5,7,72,2020,Pyke 03,44.60456358,-120.1924183,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,5,8,56,2020,JackieOtt5,43.78,-102.61,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,5,9,71,2020,Porensky30,40.63,-105.27,Y,V0,3.2,32,,,
SheepStation,10/24/2022,2,high,white,5,10,7,2020,AAFC10,49.71,-120.05,Y,V1,4.2,42,,,
SheepStation,10/24/2022,2,high,white,6,1,92,2020,Symstad4,43.71,-102.58,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,6,2,63,2020,Lee 03,36.5247,-115.8987,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,6,3,51,2020,Holdrege1,41.61,-111.57,Y,V1,3.5,35,,,
SheepStation,10/24/2022,2,high,white,6,4,52,2020,Hufft01,38.6701,-108.3286,Y,V0,3,30,,,
SheepStation,10/24/2022,2,high,white,6,5,14,2020,Adler13,41.44,-111.08,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,6,6,35,2020,Chambers07,43.94,-116.19,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,6,7,79,2020,Pyle15,43.8,-119,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,6,8,98,2021,Chynoweth05,40.480805,-109.438229,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,6,9,93,2021,Urza02,40.84,-119.56,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,6,10,34,2020,Chambers06,41.54,-117.78,Y,V0,4.3,43,,,
SheepStation,10/24/2022,2,high,white,7,1,57,2020,JackieOtt6,43.84,-101.94,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,7,2,32,2020,Chambers04,41.31,-117.63,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,7,3,84,2021,Reed03,38.75,-109.79,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,7,4,75,2020,Pyle01,42.35,-118.65,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,7,5,1,2020,AAFC04,50.08,-120.65,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,7,6,64,2020,Lee 04,35.4564,-115.52,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,7,7,38,2021,Copeland01,43.7,-117.33,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,7,8,62,2020,Lee 02,35.3984,-115.7845,Y,V1,3.7,37,,,
SheepStation,10/24/2022,2,high,white,7,9,28,2020,Bradford01,35.23,-111.62,Y,V1,4.7,47,,,
SheepStation,10/24/2022,2,high,white,7,10,81,2020,Pyle17,44.36,-118.93,Y,V0,4.1,41,,,
SheepStation,10/24/2022,2,high,white,8,1,26,2020,Chynoweth01,39.76604,-109.5635,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,8,2,49,2020,Getts3,40.43,-120.67,Y,V1,4,40,,,
SheepStation,10/24/2022,2,high,white,8,3,47,2020,Fleishman_07,39.17,-117.44,Y,V0,3.4,34,,,
SheepStation,10/24/2022,2,high,white,8,4,74,2020,Pyke 21,47.61803776,-119.6830115,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,8,5,61,2020,Lee 01,36.82340833,-116.0163889,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,8,6,44,2020,Downs 03,45.9663,-120.3671,Y,V1,4.2,42,,,
SheepStation,10/24/2022,2,high,white,8,7,53,2020,Hufft02,39.547444,-105.102111,Y,V1,3.8,38,,,
SheepStation,10/24/2022,2,high,white,8,8,73,2020,Pyke 08,46.74830998,-119.361636,N,NA,NA,NA,,,
SheepStation,10/24/2022,2,high,white,8,9,95,2020,Wilcox02,41.31,-105.66,Y,V1,4.7,47,,,
SheepStation,10/24/2022,2,high,white,8,10,59,2020,Lavin01,44.68,-109.07,Y,V1,4.5,45,,,
SheepStation,10/24/2022,3,low,black,1,1,42,2020,Downs 01,46.38145,-119.430272,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,1,2,93,2021,Urza02,40.84,-119.56,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,1,3,34,2020,Chambers06,41.54,-117.78,Y,V0,1.8,18,,,
SheepStation,10/24/2022,3,low,black,1,4,46,2020,Fleishman_05,39.12,-117.27,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,1,5,39,2020,Copeland05,42.27,-118.71,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,2,1,32,2020,Chambers04,41.31,-117.63,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,2,2,28,2020,Bradford01,35.23,-111.62,Y,V2,4.7,47,,,
SheepStation,10/24/2022,3,low,black,2,3,72,2020,Pyke 03,44.60456358,-120.1924183,Y,V0,2.5,25,,,
SheepStation,10/24/2022,3,low,black,2,4,79,2020,Pyle15,43.8,-119,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,2,5,42,2021,Downs 01,46.38145,-119.430272,Y,V1,3.7,37,,,
SheepStation,10/24/2022,3,low,black,3,1,53,2020,Hufft02,39.547444,-105.102111,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,3,2,49,2020,Getts3,40.43,-120.67,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,3,3,47,2020,Fleishman_07,39.17,-117.44,Y,V1,3.5,35,,,
SheepStation,10/24/2022,3,low,black,3,4,74,2020,Pyke 21,47.61803776,-119.6830115,Y,V0,3.3,33,,,
SheepStation,10/24/2022,3,low,black,3,5,24,2020,Blumenthal08,40.64,-104.56,Y,V0,0.3,3,,,
SheepStation,10/24/2022,3,low,black,4,1,90,2020,Symstad2,43.87,-103.46,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,4,2,98,2020,Chynoweth05,40.480805,-109.438229,Y,V1,3.9,39,,,
SheepStation,10/24/2022,3,low,black,4,3,89,2020,Symstad1,44.59,-104.71,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,4,4,9,2020,Adler05,40.79,-111.87,Y,V1,3.2,32,,,
SheepStation,10/24/2022,3,low,black,4,5,91,2020,Symstad3,43.62,-103.47,Y,V1,3.6,36,,,
SheepStation,10/24/2022,3,low,black,5,1,5,2020,AAFC08,49.57,-120.55,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,5,2,37,2020,Chambers09,40.66,-116.73,Y,V0,0.5,5,,,
SheepStation,10/24/2022,3,low,black,5,3,26,2020,Chynoweth01,39.76604,-109.5635,Y,V0,0.7,7,,,
SheepStation,10/24/2022,3,low,black,5,4,68,2020,Porensky01,43.24,-105.18,Y,V1,4.3,43,,,
SheepStation,10/24/2022,3,low,black,5,5,36,2020,Chambers08,42.24,-114.57,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,6,1,65,2020,Leger 1,39.49,-119.84,Y,V1,4.1,41,,,
SheepStation,10/24/2022,3,low,black,6,2,100,2020,Chynoweth08,40.640878,-109.48689,Y,V0,1.7,17,,,
SheepStation,10/24/2022,3,low,black,6,3,96,2020,Chynoweth02,40.29092,-109.68361,Y,V1,4.8,48,,,
SheepStation,10/24/2022,3,low,black,6,4,95,2021,Wilcox02,41.31,-105.66,Y,V2,4,40,,,
SheepStation,10/24/2022,3,low,black,6,5,31,2020,Urza01,40.35,-119.34,Y,V0,4.8,48,,,
SheepStation,10/24/2022,3,low,black,7,1,101,2020,Shriver01,34.06,-116.22,Y,V0,3.3,33,,,
SheepStation,10/24/2022,3,low,black,7,2,56,2020,JackieOtt5,43.78,-102.61,Y,V1,4.5,45,,,
SheepStation,10/24/2022,3,low,black,7,3,19,2020,Barnett01,43.48,-110.74,Y,V1,4.4,44,,,
SheepStation,10/24/2022,3,low,black,7,4,57,2020,JackieOtt6,43.84,-101.94,Y,V0,0.2,2,,,
SheepStation,10/24/2022,3,low,black,7,5,8,2020,Blumenthal01,41.18,-104.9,Y,V1,4.2,42,,,
SheepStation,10/24/2022,3,low,black,8,1,81,2020,Pyle17,44.36,-118.93,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,8,2,84,2021,Reed03,38.75,-109.79,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,8,3,44,2020,Downs 03,45.9663,-120.3671,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,8,4,25,2020,Symstad6,41.83,-103.71,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,8,5,12,2020,Schupp02,40.2,-112.46,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,9,1,35,2020,Chambers07,43.94,-116.19,Y,V0,1.3,13,,,
SheepStation,10/24/2022,3,low,black,9,2,59,2020,Lavin01,44.68,-109.07,Y,V0,0.5,5,,,
SheepStation,10/24/2022,3,low,black,9,3,52,2020,Hufft01,38.6701,-108.3286,Y,V1,4,40,,,
SheepStation,10/24/2022,3,low,black,9,4,31,2020,Urza01,40.35,-119.34,Y,V1,4.1,41,,,
SheepStation,10/24/2022,3,low,black,9,5,33,2020,Chambers05,41.54,-117.75,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,10,1,2,2020,AAFC05,50.09,-120.45,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,10,2,77,2020,Pyle10,43.19,-120,Y,V0,4.2,42,,,
SheepStation,10/24/2022,3,low,black,10,3,29,2020,Chambers01,39.55,-119.58,Y,V1,3.2,32,,,
SheepStation,10/24/2022,3,low,black,10,4,83,2020,Reed01,38.52,-109.47,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,10,5,2,2020,AAFC05,50.09,-120.45,Y,V0,0.5,5,,,
SheepStation,10/24/2022,3,low,black,11,1,82,2020,Pyle19,44.57,-119.65,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,11,2,43,2020,Downs 02,46.25045,-119.53334,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,11,3,97,2020,Chynoweth03,39.83576,-109.61202,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,11,4,30,2020,Chambers02,39.95,-118.76,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,11,5,7,2020,AAFC10,49.71,-120.05,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,12,1,73,2020,Pyke 08,46.74830998,-119.361636,Y,V1,3.5,35,,,
SheepStation,10/24/2022,3,low,black,12,2,17,2020,Symstad4,41.44,-110.11,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,12,3,61,2020,Lee 01,36.82340833,-116.0163889,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,12,4,1,2020,AAFC04,50.08,-120.65,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,12,5,11,2020,Adler09,43.31,-112.27,Y,V0,2.9,29,,,
SheepStation,10/24/2022,3,low,black,13,1,64,2020,Lee 04,35.4564,-115.52,Y,V1,3.5,35,,,
SheepStation,10/24/2022,3,low,black,13,2,75,2020,Pyle01,42.35,-118.65,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,13,3,45,2020,Fleishman_01,38.47,-119.49,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,13,4,150,2022,Mancillas01,,,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,13,5,18,2020,Adler18,40.86,-114.22,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,14,1,88,2021,Schupp05,39.11,-112.74,Y,V0,3.5,35,,,
SheepStation,10/24/2022,3,low,black,14,2,38,2021,Copeland01,43.7,-117.33,Y,V1,3.6,36,,,
SheepStation,10/24/2022,3,low,black,14,3,55,2020,JackieOtt2,43.71,-102.32,Y,V1,2.6,26,,,
SheepStation,10/24/2022,3,low,black,14,4,105,2020,Maron1,40.92,-102.52,Y,V1,5.1,51,,,
SheepStation,10/24/2022,3,low,black,14,5,54,2020,JackieOtt1,43.65,-102.97,Y,V0,0.7,7,,,
SheepStation,10/24/2022,3,low,black,15,1,84,2020,Reed03,38.75,-109.79,Y,V1,1.7,17,,,
SheepStation,10/24/2022,3,low,black,15,2,71,2020,Porensky30,40.63,-105.27,Y,V1,4.3,43,,,
SheepStation,10/24/2022,3,low,black,15,3,63,2020,Lee 03,36.5247,-115.8987,Y,V1,3,30,,,
SheepStation,10/24/2022,3,low,black,15,4,51,2020,Holdrege1,41.61,-111.57,Y,V0,0.5,5,,,
SheepStation,10/24/2022,3,low,black,15,5,104,2020,Germino BOP 01,43.4720833,-116.2338306,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,16,1,103,2020,Davies03,42.68,-118.68,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,16,2,76,2020,Pyle09,43.42,-119.62,N,NA,NA,NA,,,
SheepStation,10/24/2022,3,low,black,16,3,87,2021,Schupp04,38.52,-113.55,N,NA,NA,NA,,,
