plantID,site,year,density,albedo,block,plot,x,y,genotype,emergence,first_flower,v_phen,last_phen_status,note_standard_phen,live_harvest,v_harvest,tillers,veg_mass,inflor_mass,seed_count_total,note_standard_harvest
CH_2022_243,CH,2022,hi,white,1,3,3,5,84,Y,148,FG,Y,NA,Y,FB,1,0.041,0.078,45,NA
CH_2022_253,CH,2022,hi,white,1,3,3,6,61,Y,148,FG,Y,NA,Y,FG,1,0.006,0.053,4,NA
CH_2022_283,CH,2022,hi,white,1,3,3,9,49,Y,148,FG,Y,NA,Y,FG_FB,3,0.179,0.214,82,NA
CH_2022_204,CH,2022,hi,white,1,3,4,1,12,Y,148,FG,Y,NA,Y,FB,1,0.197,0.129,70,NA
CH_2022_294,CH,2022,hi,white,1,3,4,10,83,Y,148,FG,Y,NA,Y,FG_FB,3,0.08,0.18,120,NA
CH_2022_214,CH,2022,hi,white,1,3,4,2,58,Y,160,FG,Y,NA,Y,FB,2,0.045,0.05,34,NA
CH_2022_224,CH,2022,hi,white,1,3,4,3,19,Y,148,FG,Y,NA,Y,FB,3,0.1,0.07,51,NA
CH_2022_234,CH,2022,hi,white,1,3,4,4,88,Y,148,FG,Y,NA,Y,FG_FB,2,0.06,0.07,45,NA
CH_2022_244,CH,2022,hi,white,1,3,4,5,51,Y,148,FG,Y,NA,Y,FB,3,0.07,0.047,34,NA
CH_2022_254,CH,2022,hi,white,1,3,4,6,45,Y,148,FG,Y,NA,Y,FB,3,0.137,0.12,54,NA
CH_2022_264,CH,2022,hi,white,1,3,4,7,35,Y,148,FG,Y,NA,Y,FG,2,0.071,0.033,16,NA
CH_2022_205,CH,2022,hi,white,1,3,5,1,24,Y,160,FG,Y,NA,Y,FB,2,0.09,0.11,75,NA
CH_2022_235,CH,2022,hi,white,1,3,5,4,43,Y,160,FG,Y,NA,Y,FG,1,0.014,0.015,19,NA
CH_2022_245,CH,2022,hi,white,1,3,5,5,18,Y,148,FG,Y,NA,Y,FG,2,0.053,0.03,15,NA
CH_2022_265,CH,2022,hi,white,1,3,5,7,96,Y,148,FG,Y,NA,Y,FB,1,0.018,0.007,3,NA
CH_2022_275,CH,2022,hi,white,1,3,5,8,11,Y,148,FG,Y,NA,Y,FB,5,0.225,0.151,78,NA
CH_2022_285,CH,2022,hi,white,1,3,5,9,36,Y,148,FG,Y,NA,Y,FB,1,0.043,0.039,21,NA
CH_2022_206,CH,2022,hi,white,1,3,6,1,98,Y,148,FG,Y,NA,Y,FB,1,0.055,0.078,44,NA
CH_2022_296,CH,2022,hi,white,1,3,6,10,92,Y,160,FG,Y,resurrection,Y,FG,1,0.037,0.022,13,NA
CH_2022_216,CH,2022,hi,white,1,3,6,2,44,Y,179,FX,Y,NA,Y,FG,1,0.048,0.01,3,NA
CH_2022_226,CH,2022,hi,white,1,3,6,3,6,Y,160,FG,Y,NA,Y,FG,1,0.054,0.032,13,NA
CH_2022_236,CH,2022,hi,white,1,3,6,4,73,Y,148,FG,Y,NA,Y,FG,1,0.017,0.02,14,NA
CH_2022_266,CH,2022,hi,white,1,3,6,7,13,Y,148,FG,Y,NA,Y,FG,2,0.13,0.15,88,NA
CH_2022_276,CH,2022,hi,white,1,3,6,8,29,Y,146,FX,Y,NA,Y,FB,2,0.19,0.001,1,NA
CH_2022_286,CH,2022,hi,white,1,3,6,9,25,Y,160,FG,Y,NA,Y,"FG, FP",2,0.27,0.11,56,NA
CH_2022_207,CH,2022,hi,white,1,3,7,1,52,Y,148,FG,Y,NA,Y,FG,3,0.108,0.027,10,NA
CH_2022_297,CH,2022,hi,white,1,3,7,10,52,Y,160,FG,Y,NA,Y,FB,1,0.026,0.025,13,NA
CH_2022_217,CH,2022,hi,white,1,3,7,2,26,Y,148,FG,Y,NA,Y,FB,2,0.059,0.038,24,NA
CH_2022_237,CH,2022,hi,white,1,3,7,4,56,Y,172,FG,Y,NA,Y,FG,1,0.027,0.007,10,NA
CH_2022_247,CH,2022,hi,white,1,3,7,5,74,Y,148,FG,Y,NA,Y,FB,1,0.026,0.019,10,NA
CH_2022_257,CH,2022,hi,white,1,3,7,6,84,Y,148,FG,Y,NA,Y,FG,1,0.07,0.07,39,NA
CH_2022_277,CH,2022,hi,white,1,3,7,8,71,Y,160,FG,Y,NA,Y,FG,2,0.12,0.09,39,NA
CH_2022_287,CH,2022,hi,white,1,3,7,9,86,Y,148,FG,Y,NA,Y,FG,5,0.29,0.23,50,NA
CH_2022_208,CH,2022,hi,white,1,3,8,1,101,Y,148,FG,Y,NA,Y,FB,1,0.027,0.035,9,NA
CH_2022_298,CH,2022,hi,white,1,3,8,10,95,Y,148,FG,Y,NA,Y,FG,2,0.13,0.15,82,NA
CH_2022_218,CH,2022,hi,white,1,3,8,2,92,Y,148,FG,Y,NA,Y,FG,1,0.09,0.015,8,NA
