"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"CH_2022_18",NA,74,NA,NA,NA,-13,NA,NA,NA,NA
"CH_2022_28",NA,74,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_38",NA,74,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_48",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_58",NA,74,NA,NA,-1,-2,NA,NA,NA,NA
"CH_2022_68",NA,74,NA,NA,-1,-5,NA,NA,NA,NA
"CH_2022_78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_88",NA,74,NA,NA,NA,-4,NA,NA,NA,NA
"CH_2022_9",NA,74,129,NA,NA,-3,NA,NA,NA,NA
"CH_2022_99",NA,74,148,NA,-2,-11,NA,NA,NA,NA
"CH_2022_19",NA,74,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_29",NA,74,NA,NA,NA,-7,NA,NA,NA,NA
"CH_2022_39",NA,74,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_49",NA,74,NA,NA,NA,-4,NA,NA,NA,NA
"CH_2022_59",NA,74,NA,NA,-2,-27,NA,NA,NA,NA
"CH_2022_69",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_79",NA,74,NA,NA,NA,-16,NA,NA,NA,NA
"CH_2022_89",NA,74,129,NA,-1,-13,NA,NA,NA,NA
"CH_2022_201",NA,73,NA,NA,NA,-4,NA,NA,NA,NA
"CH_2022_291",NA,73,NA,NA,NA,-6,NA,NA,NA,NA
"CH_2022_211",NA,73,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_221",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_231",NA,73,148,NA,-1,-5,NA,NA,NA,NA
"CH_2022_241",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_251",NA,73,114,NA,NA,-4,NA,NA,NA,NA
"CH_2022_261",NA,73,129,NA,-2,-14,NA,NA,NA,NA
"CH_2022_271",NA,73,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_281",NA,73,NA,NA,NA,-6,NA,NA,NA,NA
"CH_2022_210",NA,73,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_220",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_230",NA,73,NA,NA,NA,-1,NA,NA,NA,NA
"CH_2022_240",NA,73,NA,NA,NA,-7,NA,NA,NA,NA
"CH_2022_250",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_260",NA,73,NA,NA,NA,-7,NA,NA,NA,NA
"CH_2022_270",NA,73,114,129,NA,-11,NA,NA,NA,NA
"CH_2022_280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_290",NA,73,148,160,NA,-3,NA,NA,NA,NA
"CH_2022_202",NA,73,NA,NA,NA,-13,NA,NA,NA,NA
"CH_2022_292",NA,73,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_212",NA,73,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_222",NA,73,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_232",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_242",NA,73,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_252",NA,73,NA,NA,NA,-5,NA,NA,NA,NA
"CH_2022_262",NA,73,NA,NA,NA,-9,NA,NA,NA,NA
"CH_2022_272",NA,73,NA,NA,-1,-13,NA,NA,NA,NA
"CH_2022_282",NA,73,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_203",NA,73,148,NA,NA,-7,NA,NA,NA,NA
"CH_2022_293",NA,73,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_213",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_223",NA,73,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_233",NA,73,NA,NA,NA,-12,NA,NA,NA,NA
"CH_2022_243",NA,73,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_253",NA,73,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_263",NA,73,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_273",NA,73,129,160,NA,-16,NA,NA,NA,NA
"CH_2022_283",NA,73,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_204",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_294",NA,73,NA,NA,NA,-7,NA,NA,NA,NA
"CH_2022_214",NA,73,NA,NA,-2,-17,NA,NA,NA,NA
"CH_2022_224",NA,73,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_234",NA,73,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_244",NA,73,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_254",NA,73,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_264",NA,73,NA,NA,NA,-1,NA,NA,NA,NA
"CH_2022_274",NA,73,NA,NA,NA,-5,87,NA,NA,NA
