block,plot,x,y,genotype,growout,harvest_date,density,albedo,live_harvest,v_harvest,harvest,tillers,biomass_whole,inflor_mass,note_standard_harvest,plantID,site,year,first_flower,live,v,herbivory,frost_heave,note_standard
4,1,13,5,32,2020,2023-07-04,low,white,Y,FP,Y,6,0.279,0.753,NA,SS2023_1025,SS,2023,156,Y,FG,NA,NA,NA
4,1,14,1,61,2020,2023-07-04,low,white,Y,FP,Y,5,0.157,0.445,NA,SS2023_1026,SS,2023,156,Y,FG,NA,NA,NA
4,1,15,5,19,2020,2023-07-04,low,white,Y,FG,Y,6,0.32,0.45,smut,SS2023_1035,SS,2023,156,Y,FG,NA,NA,NA
4,1,16,1,88,2020,2023-07-04,low,white,Y,FP,Y,3,0.05,0.12,NA,SS2023_1036,SS,2023,156,Y,FG,NA,NA,NA
4,2,1,10,47,2020,2023-07-04,high,white,Y,FP,Y,1,0.025,0.06,NA,SS2023_1050,SS,2023,156,Y,FG,NA,NA,NA
4,2,1,7,33,2020,2023-06-26,high,white,Y,FP,Y,1,0.012,0.028,NA,SS2023_1051,SS,2023,156,Y,FG,NA,NA,NA
4,2,5,4,57,2020,2023-07-04,high,white,Y,FP,Y,1,0.025,0.051,NA,SS2023_1057,SS,2023,156,Y,FG,NA,NA,NA
4,2,5,10,12,2020,2023-07-04,high,white,Y,FP,Y,1,0.041,0.08,NA,SS2023_1063,SS,2023,156,Y,FG,NA,NA,NA
4,2,5,7,35,2020,2023-07-10,high,white,Y,FP,Y,2,0.13,0.31,smut,SS2023_1064,SS,2023,156,Y,FG,NA,NA,NA
4,2,4,5,73,2020,2023-07-04,high,white,Y,FP,Y,1,0.036,0.07,NA,SS2023_1068,SS,2023,156,Y,FG,NA,NA,NA
4,2,4,7,34,2020,2023-06-26,high,white,Y,FB,Y,1,0.009,0.014,NA,SS2023_1070,SS,2023,156,Y,FG,NA,NA,NA
4,2,3,4,43,2020,2023-07-04,high,white,Y,FP,Y,1,0.029,0.075,NA,SS2023_1082,SS,2023,156,Y,FG,NA,NA,NA
