"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"Boise2022_82",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_83",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_84",NA,-21,NA,NA,NA,-13,NA,NA,NA,NA
"Boise2022_85",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_86",NA,-21,NA,NA,NA,-11,NA,NA,NA,NA
"Boise2022_87",NA,-21,157,NA,NA,NA,NA,NA,NA,NA
"Boise2022_88",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_89",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_90",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_92",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_93",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_94",NA,-21,96,143,NA,NA,NA,NA,NA,NA
"Boise2022_95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_97",NA,-21,NA,NA,-1,NA,NA,NA,NA,NA
"Boise2022_98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_99",NA,-21,143,157,NA,NA,NA,NA,NA,NA
"Boise2022_100",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_101",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_103",NA,-21,NA,NA,NA,-2,NA,NA,NA,NA
"Boise2022_104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_106",NA,96,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_107",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_108",NA,96,NA,NA,-1,-14,NA,NA,NA,NA
"Boise2022_109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_110",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_111",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
