"plantID","jday","live","v","herbivory","frost_heave","harvested","notes"
"CH_2023_1008",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1008",129,"Y","V3",NA,NA,"N","D"
"CH_2023_1008",142,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1008",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1008",171,"N",NA,NA,NA,"N","D"
"CH_2023_1008",187,"N",NA,NA,NA,"N","D"
"CH_2023_1008",199,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1009",101,"Y","V3",NA,NA,"N","D"
"CH_2023_1009",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1009",129,"Y","V3",NA,NA,"N","D"
"CH_2023_1009",142,"N",NA,NA,NA,"N","D"
"CH_2023_1009",156,"N",NA,NA,NA,"N","D"
"CH_2023_1009",171,"N",NA,NA,NA,"N","D"
"CH_2023_1009",187,"N",NA,NA,NA,"N","D"
"CH_2023_1009",199,"N",NA,NA,NA,"N","D"
"CH_2023_101",100,"Y","V3+",NA,NA,"N","E"
"CH_2023_101",114,"Y","V3+",NA,NA,"N","E"
"CH_2023_101",129,"Y","V3+",NA,NA,"N","E"
"CH_2023_101",142,"Y","V3+",NA,NA,"N","E"
"CH_2023_101",156,"Y","FG",NA,NA,"N","E"
"CH_2023_101",171,"Y","FG",NA,NA,"N","E"
"CH_2023_101",187,"Y","FG",NA,NA,"N","E"
"CH_2023_101",199,"Y","FP",NA,NA,"N","E"
"CH_2023_1010",101,"Y","V3+",NA,NA,"N","E"
"CH_2023_1010",114,"Y","V3",NA,NA,"N","E"
"CH_2023_1010",129,"Y","V3+",NA,NA,"N","D"
"CH_2023_1010",142,"N",NA,NA,NA,"N","D"
"CH_2023_1010",156,"N",NA,NA,NA,"N","D"
"CH_2023_1010",171,"N",NA,NA,NA,"N","D"
"CH_2023_1010",187,"N",NA,NA,NA,"N","D"
"CH_2023_1010",199,"N",NA,NA,NA,"N","D"
"CH_2023_1011",101,"Y","V3",NA,NA,"N","E"
