"plantID","site","year","block","plot","x","y","genotype","growout","density","gravel"
"CH_2022_1","CH",2022,1,1,1,1,37,2020,"high","black"
"CH_2022_91","CH",2022,1,1,1,10,79,2020,"high","black"
"CH_2022_11","CH",2022,1,1,1,2,35,2020,"high","black"
"CH_2022_21","CH",2022,1,1,1,3,84,2020,"high","black"
"CH_2022_31","CH",2022,1,1,1,4,69,2020,"high","black"
"CH_2022_41","CH",2022,1,1,1,5,12,2020,"high","black"
"CH_2022_51","CH",2022,1,1,1,6,81,2020,"high","black"
"CH_2022_61","CH",2022,1,1,1,7,30,2020,"high","black"
"CH_2022_71","CH",2022,1,1,1,8,36,2020,"high","black"
"CH_2022_81","CH",2022,1,1,1,9,88,2021,"high","black"
"CH_2022_10","CH",2022,1,1,10,1,98,2021,"high","black"
"CH_2022_100","CH",2022,1,1,10,10,26,2020,"high","black"
"CH_2022_20","CH",2022,1,1,10,2,54,2020,"high","black"
"CH_2022_30","CH",2022,1,1,10,3,74,2020,"high","black"
"CH_2022_40","CH",2022,1,1,10,4,24,2020,"high","black"
"CH_2022_50","CH",2022,1,1,10,5,82,2020,"high","black"
"CH_2022_60","CH",2022,1,1,10,6,100,2020,"high","black"
"CH_2022_70","CH",2022,1,1,10,7,76,2020,"high","black"
"CH_2022_80","CH",2022,1,1,10,8,97,2020,"high","black"
"CH_2022_90","CH",2022,1,1,10,9,25,2020,"high","black"
"CH_2022_2","CH",2022,1,1,2,1,13,2020,"high","black"
"CH_2022_92","CH",2022,1,1,2,10,57,2020,"high","black"
"CH_2022_12","CH",2022,1,1,2,2,83,2020,"high","black"
"CH_2022_22","CH",2022,1,1,2,3,103,2020,"high","black"
"CH_2022_32","CH",2022,1,1,2,4,102,2020,"high","black"
"CH_2022_42","CH",2022,1,1,2,5,102,2020,"high","black"
"CH_2022_52","CH",2022,1,1,2,6,29,2020,"high","black"
"CH_2022_62","CH",2022,1,1,2,7,76,2020,"high","black"
"CH_2022_72","CH",2022,1,1,2,8,79,2020,"high","black"
"CH_2022_82","CH",2022,1,1,2,9,88,2020,"high","black"
"CH_2022_3","CH",2022,1,1,3,1,18,2020,"high","black"
"CH_2022_93","CH",2022,1,1,3,10,28,2020,"high","black"
"CH_2022_13","CH",2022,1,1,3,2,2,2020,"high","black"
"CH_2022_23","CH",2022,1,1,3,3,55,2020,"high","black"
"CH_2022_33","CH",2022,1,1,3,4,7,2020,"high","black"
"CH_2022_43","CH",2022,1,1,3,5,101,2020,"high","black"
"CH_2022_53","CH",2022,1,1,3,6,9,2020,"high","black"
"CH_2022_63","CH",2022,1,1,3,7,14,2020,"high","black"
"CH_2022_73","CH",2022,1,1,3,8,65,2020,"high","black"
"CH_2022_83","CH",2022,1,1,3,9,1,2020,"high","black"
"CH_2022_4","CH",2022,1,1,4,1,91,2020,"high","black"
"CH_2022_94","CH",2022,1,1,4,10,61,2020,"high","black"
"CH_2022_14","CH",2022,1,1,4,2,11,2020,"high","black"
"CH_2022_24","CH",2022,1,1,4,3,8,2020,"high","black"
"CH_2022_34","CH",2022,1,1,4,4,39,2020,"high","black"
