block,density,gravel,x,y,seed_count_total,inflor_mass,biomass_whole,tillers,standard_note,all_seed_drop,herbivory,physical_damage,seed_drop,smut,plantID,site,genotype,first_flower,live,v
1,hi,black,9,1,322,NA,0.78,4,NA,NA,NA,NA,NA,NA,SS2022_81,SS,59,138,Y,FG
1,hi,black,9,2,40,NA,0.09,1,NA,NA,NA,NA,NA,NA,SS2022_82,SS,82,151,Y,FG
1,hi,black,9,3,3,NA,0.01,1,NA,NA,NA,NA,1,NA,SS2022_83,SS,37,138,Y,FG
1,hi,black,9,4,142,NA,0.46,3,NA,NA,NA,NA,NA,NA,SS2022_84,SS,102,138,Y,FG
1,hi,black,9,5,105,NA,0.56,3,NA,NA,NA,NA,NA,NA,SS2022_85,SS,103,138,Y,FG
1,hi,black,9,6,3,NA,0.005,1,NA,NA,NA,NA,NA,NA,SS2022_86,SS,60,165,Y,FG
10,hi,black,1,1,82,0.23,0.16,4,NA,NA,NA,NA,NA,NA,SS2022_3663,SS,55,140,Y,FG
10,hi,black,1,10,45,0.12,0.09,1,NA,NA,NA,NA,NA,NA,SS2022_3667,SS,31,140,Y,FG
10,hi,black,1,2,63,0.24,0.15,1,NA,NA,NA,NA,NA,NA,SS2022_3664,SS,54,154,Y,FG
10,hi,black,1,8,58,0.23,0.38,3,NA,NA,NA,NA,NA,NA,SS2022_3679,SS,49,154,Y,FG
10,hi,black,10,1,112,0.38,0.31,4,NA,NA,NA,NA,NA,NA,SS2022_3691,SS,58,140,Y,FG
10,hi,black,10,10,147,0.56,0.35,3,NA,NA,NA,NA,NA,NA,SS2022_3700,SS,26,154,Y,FG
10,hi,black,10,4,16,0.05,0.04,1,NA,NA,NA,NA,NA,NA,SS2022_3694,SS,82,140,Y,FG
10,hi,black,10,5,178,0.57,0.44,4,NA,NA,NA,NA,NA,NA,SS2022_3695,SS,34,140,Y,FG
10,hi,black,10,6,43,0.16,0.14,1,NA,NA,NA,NA,NA,NA,SS2022_3696,SS,59,140,Y,FG
10,hi,black,10,7,105,0.4,0.27,2,NA,NA,NA,NA,NA,NA,SS2022_3697,SS,56,140,Y,FG
10,hi,black,10,8,109,0.37,0.32,3,NA,NA,NA,NA,NA,NA,SS2022_3698,SS,73,140,Y,FG
10,hi,black,2,1,28,0.1,0.09,1,NA,NA,NA,NA,NA,NA,SS2022_3646,SS,87,140,Y,FG
10,hi,black,2,10,68,0.19,0.1,2,NA,NA,NA,NA,NA,NA,SS2022_3655,SS,75,154,Y,FG
10,hi,black,2,2,22,0.07,0.12,3,NA,NA,NA,NA,NA,NA,SS2022_3647,SS,81,166,Y,FG
10,hi,black,2,3,9,0.03,0.03,1,NA,NA,NA,NA,NA,NA,SS2022_3648,SS,97,154,Y,FG
10,hi,black,2,4,36,0.1,0.1,2,NA,NA,NA,NA,NA,NA,SS2022_3649,SS,30,125,Y,FG
10,hi,black,2,5,14,0.05,0.04,1,NA,NA,NA,NA,NA,NA,SS2022_3650,SS,52,154,Y,FG
10,hi,black,2,6,106,0.36,0.25,2,NA,NA,NA,NA,NA,NA,SS2022_3651,SS,76,154,Y,FG
10,hi,black,2,7,55,0.21,0.14,1,physicaldamage,NA,NA,1,NA,NA,SS2022_3652,SS,37,154,Y,FG
10,hi,black,2,8,42,0.17,0.21,3,NA,NA,NA,NA,NA,NA,SS2022_3653,SS,39,154,Y,FG
10,hi,black,2,9,14,0.04,0.02,1,NA,NA,NA,NA,NA,NA,SS2022_3654,SS,63,154,Y,FG
10,hi,black,3,10,79,0.38,0.41,4,NA,NA,NA,NA,NA,NA,SS2022_3603,SS,28,154,Y,FG
10,hi,black,3,2,35,0.17,0.1,2,NA,NA,NA,NA,NA,NA,SS2022_3657,SS,102,154,Y,FG
10,hi,black,3,3,35,0.1,0.09,2,NA,NA,NA,NA,NA,NA,SS2022_3658,SS,75,154,Y,FG
10,hi,black,3,4,21,0.07,0.06,1,NA,NA,NA,NA,NA,NA,SS2022_3659,SS,8,154,Y,FG
10,hi,black,3,5,109,0.48,0.45,5,mortality,NA,NA,NA,NA,NA,SS2022_3660,SS,29,140,Y,FG
10,hi,black,3,6,1,0.003,0.02,1,NA,NA,NA,NA,1,NA,SS2022_3661,SS,68,154,Y,FG
10,hi,black,3,7,6,0.02,0.03,1,NA,NA,NA,NA,1,NA,SS2022_3662,SS,25,154,Y,FG
10,hi,black,3,8,13,0.04,0.05,2,mortality,NA,NA,NA,1,NA,SS2022_3601,SS,64,125,Y,FG
10,hi,black,3,9,25,0.07,0.05,1,NA,NA,NA,NA,NA,NA,SS2022_3602,SS,61,154,Y,FG
10,hi,black,4,1,64,0.28,0.19,2,NA,NA,NA,NA,NA,NA,SS2022_3604,SS,28,154,Y,FG
10,hi,black,4,10,53,0.17,0.15,1,NA,NA,NA,NA,NA,NA,SS2022_3637,SS,51,154,Y,FG
10,hi,black,4,2,26,0.09,0.08,1,NA,NA,NA,NA,NA,NA,SS2022_3608,SS,77,154,Y,FG
10,hi,black,4,3,25,0.08,0.06,1,NA,NA,NA,NA,NA,NA,SS2022_3605,SS,79,154,Y,FG
10,hi,black,4,4,24,0.09,0.05,1,NA,NA,NA,NA,NA,NA,SS2022_3606,SS,42,140,Y,FG
10,hi,black,4,5,25,0.1,0.08,2,NA,NA,NA,NA,NA,NA,SS2022_3607,SS,29,154,Y,FG
10,hi,black,4,6,18,0.11,0.1,2,NA,NA,NA,NA,NA,NA,SS2022_3609,SS,101,125,Y,FG
10,hi,black,5,1,53,0.19,0.19,1,NA,NA,NA,NA,NA,NA,SS2022_3638,SS,24,140,Y,FG
10,hi,black,5,2,11,0.04,0.02,1,NA,NA,NA,NA,NA,NA,SS2022_3622,SS,54,154,Y,FG
10,hi,black,5,3,11,0.03,0.02,1,NA,NA,NA,NA,NA,NA,SS2022_3610,SS,60,166,Y,FG
10,hi,black,5,4,1,0.004,0.004,1,NA,NA,NA,NA,1,NA,SS2022_3611,SS,5,166,Y,FG
10,hi,black,5,6,67,0.28,0.24,2,NA,NA,NA,NA,NA,NA,SS2022_3613,SS,103,154,Y,FG
10,hi,black,5,7,12,0.04,0.02,1,NA,NA,NA,NA,NA,NA,SS2022_3614,SS,83,140,Y,FG
10,hi,black,5,8,4,0.01,0.03,1,physicaldamage,NA,NA,1,NA,NA,SS2022_3615,SS,1,154,Y,FG
10,hi,black,6,1,44,0.16,0.1,1,NA,NA,NA,NA,NA,NA,SS2022_3618,SS,13,154,Y,FG
