"plantID","site","year","block","plot","x","y","genotype"
"Boise2023_1","WI",2023,1,1,1,1,91
"Boise2023_2","WI",2023,1,1,1,10,75
"Boise2023_3","WI",2023,1,1,1,2,65
"Boise2023_4","WI",2023,1,1,1,3,24
"Boise2023_5","WI",2023,1,1,1,4,58
"Boise2023_6","WI",2023,1,1,1,5,35
"Boise2023_7","WI",2023,1,1,1,6,9
"Boise2023_8","WI",2023,1,1,1,7,31
"Boise2023_9","WI",2023,1,1,1,8,28
"Boise2023_10","WI",2023,1,1,1,9,105
"Boise2023_11","WI",2023,1,1,2,1,45
"Boise2023_12","WI",2023,1,1,2,10,2
"Boise2023_13","WI",2023,1,1,2,2,92
"Boise2023_14","WI",2023,1,1,2,3,51
"Boise2023_15","WI",2023,1,1,2,4,59
"Boise2023_16","WI",2023,1,1,2,5,42
"Boise2023_17","WI",2023,1,1,2,6,38
"Boise2023_18","WI",2023,1,1,2,7,82
"Boise2023_19","WI",2023,1,1,2,8,56
"Boise2023_20","WI",2023,1,1,2,9,20
"Boise2023_21","WI",2023,1,1,3,1,70
"Boise2023_22","WI",2023,1,1,3,10,62
"Boise2023_23","WI",2023,1,1,3,2,33
"Boise2023_24","WI",2023,1,1,3,3,93
"Boise2023_25","WI",2023,1,1,3,4,17
"Boise2023_26","WI",2023,1,1,3,5,88
"Boise2023_27","WI",2023,1,1,3,6,21
"Boise2023_28","WI",2023,1,1,3,7,61
"Boise2023_29","WI",2023,1,1,3,8,64
"Boise2023_30","WI",2023,1,1,3,9,74
"Boise2023_31","WI",2023,1,1,4,1,71
"Boise2023_32","WI",2023,1,1,4,10,7
"Boise2023_33","WI",2023,1,1,4,2,63
"Boise2023_34","WI",2023,1,1,4,3,26
"Boise2023_35","WI",2023,1,1,4,4,101
"Boise2023_36","WI",2023,1,1,4,5,55
"Boise2023_37","WI",2023,1,1,4,6,69
"Boise2023_38","WI",2023,1,1,4,7,57
"Boise2023_39","WI",2023,1,1,4,8,29
"Boise2023_40","WI",2023,1,1,4,9,34
"Boise2023_41","WI",2023,1,1,5,1,79
"Boise2023_42","WI",2023,1,1,5,10,54
"Boise2023_43","WI",2023,1,1,5,2,97
"Boise2023_44","WI",2023,1,1,5,3,14
"Boise2023_45","WI",2023,1,1,5,4,43
"Boise2023_46","WI",2023,1,1,5,5,27
"Boise2023_47","WI",2023,1,1,5,6,52
"Boise2023_48","WI",2023,1,1,5,7,30
"Boise2023_49","WI",2023,1,1,5,8,40
"Boise2023_50","WI",2023,1,1,5,9,12
"Boise2023_51","WI",2023,1,1,6,1,39
"Boise2023_52","WI",2023,1,1,6,10,73
"Boise2023_53","WI",2023,1,1,6,2,102
"Boise2023_54","WI",2023,1,1,6,3,36
"Boise2023_55","WI",2023,1,1,6,4,150
"Boise2023_56","WI",2023,1,1,6,5,44
"Boise2023_57","WI",2023,1,1,6,6,96
"Boise2023_58","WI",2023,1,1,6,7,90
"Boise2023_59","WI",2023,1,1,6,8,19
"Boise2023_60","WI",2023,1,1,6,9,1
"Boise2023_61","WI",2023,1,1,7,1,5
"Boise2023_62","WI",2023,1,1,7,10,72
"Boise2023_63","WI",2023,1,1,7,2,13
"Boise2023_64","WI",2023,1,1,7,3,46
"Boise2023_65","WI",2023,1,1,7,4,37
"Boise2023_66","WI",2023,1,1,7,5,104
"Boise2023_67","WI",2023,1,1,7,6,76
"Boise2023_68","WI",2023,1,1,7,7,77
"Boise2023_69","WI",2023,1,1,7,8,81
"Boise2023_70","WI",2023,1,1,7,9,98
"Boise2023_71","WI",2023,1,1,8,1,47
"Boise2023_72","WI",2023,1,1,8,10,95
"Boise2023_73","WI",2023,1,1,8,2,49
"Boise2023_74","WI",2023,1,1,8,3,47
"Boise2023_75","WI",2023,1,1,8,4,103
"Boise2023_76","WI",2023,1,1,8,5,68
"Boise2023_77","WI",2023,1,1,8,6,8
"Boise2023_78","WI",2023,1,1,8,7,48
"Boise2023_79","WI",2023,1,1,8,8,53
"Boise2023_80","WI",2023,1,1,8,9,32
"Boise2023_81","WI",2023,1,1,9,1,11
"Boise2023_82","WI",2023,1,1,9,10,83
"Boise2023_83","WI",2023,1,1,9,2,66
"Boise2023_84","WI",2023,1,1,9,3,84
"Boise2023_85","WI",2023,1,1,9,4,100
"Boise2023_86","WI",2023,1,1,9,5,25
"Boise2023_87","WI",2023,1,1,9,6,18
"Boise2023_88","WI",2023,1,1,9,7,89
"Boise2023_89","WI",2023,1,1,9,8,6
"Boise2023_90","WI",2023,1,1,9,9,87
"Boise2023_91","WI",2023,1,2,1,1,66
"Boise2023_92","WI",2023,1,2,1,2,39
"Boise2023_93","WI",2023,1,2,1,3,73
"Boise2023_94","WI",2023,1,2,1,4,65
"Boise2023_95","WI",2023,1,2,1,5,29
"Boise2023_96","WI",2023,1,2,10,1,76
"Boise2023_97","WI",2023,1,2,10,2,91
"Boise2023_98","WI",2023,1,2,10,3,46
"Boise2023_99","WI",2023,1,2,10,4,95
"Boise2023_100","WI",2023,1,2,10,5,28
"Boise2023_101","WI",2023,1,2,11,1,32
"Boise2023_102","WI",2023,1,2,11,2,6
"Boise2023_103","WI",2023,1,2,11,3,150
"Boise2023_104","WI",2023,1,2,11,4,30
"Boise2023_105","WI",2023,1,2,11,5,71
"Boise2023_106","WI",2023,1,2,12,1,75
"Boise2023_107","WI",2023,1,2,12,2,42
"Boise2023_108","WI",2023,1,2,12,3,33
"Boise2023_109","WI",2023,1,2,12,4,35
"Boise2023_110","WI",2023,1,2,12,5,84
"Boise2023_111","WI",2023,1,2,13,1,54
"Boise2023_112","WI",2023,1,2,13,2,49
"Boise2023_113","WI",2023,1,2,13,3,105
"Boise2023_114","WI",2023,1,2,13,4,93
"Boise2023_115","WI",2023,1,2,13,5,8
"Boise2023_116","WI",2023,1,2,14,1,87
"Boise2023_117","WI",2023,1,2,14,2,68
"Boise2023_118","WI",2023,1,2,14,3,47
"Boise2023_119","WI",2023,1,2,14,4,24
"Boise2023_120","WI",2023,1,2,14,5,36
"Boise2023_121","WI",2023,1,2,15,1,95
"Boise2023_122","WI",2023,1,2,15,2,43
"Boise2023_123","WI",2023,1,2,15,3,20
"Boise2023_124","WI",2023,1,2,15,4,27
"Boise2023_125","WI",2023,1,2,15,5,58
"Boise2023_126","WI",2023,1,2,16,1,55
"Boise2023_127","WI",2023,1,2,16,2,69
"Boise2023_128","WI",2023,1,2,16,3,63
"Boise2023_129","WI",2023,1,2,16,4,31
"Boise2023_130","WI",2023,1,2,16,5,88
"Boise2023_131","WI",2023,1,2,17,1,26
"Boise2023_132","WI",2023,1,2,17,2,89
"Boise2023_133","WI",2023,1,2,17,3,17
"Boise2023_134","WI",2023,1,2,17,4,79
"Boise2023_135","WI",2023,1,2,17,5,101
"Boise2023_136","WI",2023,1,2,18,1,102
"Boise2023_137","WI",2023,1,2,18,2,7
"Boise2023_138","WI",2023,1,2,18,3,9
"Boise2023_139","WI",2023,1,2,18,4,43
"Boise2023_140","WI",2023,1,2,18,5,52
"Boise2023_141","WI",2023,1,2,2,1,5
"Boise2023_142","WI",2023,1,2,2,2,83
"Boise2023_143","WI",2023,1,2,2,3,19
"Boise2023_144","WI",2023,1,2,2,4,57
"Boise2023_145","WI",2023,1,2,2,5,64
"Boise2023_146","WI",2023,1,2,3,1,103
"Boise2023_147","WI",2023,1,2,3,2,2
"Boise2023_148","WI",2023,1,2,3,3,18
"Boise2023_149","WI",2023,1,2,3,4,12
"Boise2023_150","WI",2023,1,2,3,5,48
"Boise2023_151","WI",2023,1,2,4,1,56
"Boise2023_152","WI",2023,1,2,4,2,44
"Boise2023_153","WI",2023,1,2,4,3,59
"Boise2023_154","WI",2023,1,2,4,4,77
"Boise2023_155","WI",2023,1,2,4,5,21
"Boise2023_156","WI",2023,1,2,5,1,104
"Boise2023_157","WI",2023,1,2,5,2,37
"Boise2023_158","WI",2023,1,2,5,3,62
"Boise2023_159","WI",2023,1,2,5,4,96
"Boise2023_160","WI",2023,1,2,5,5,86
"Boise2023_161","WI",2023,1,2,6,1,92
"Boise2023_162","WI",2023,1,2,6,2,45
"Boise2023_163","WI",2023,1,2,6,3,53
"Boise2023_164","WI",2023,1,2,6,4,25
"Boise2023_165","WI",2023,1,2,6,5,100
"Boise2023_166","WI",2023,1,2,7,1,98
"Boise2023_167","WI",2023,1,2,7,2,38
"Boise2023_168","WI",2023,1,2,7,3,72
"Boise2023_169","WI",2023,1,2,7,4,16
"Boise2023_170","WI",2023,1,2,7,5,51
"Boise2023_171","WI",2023,1,2,8,1,14
"Boise2023_172","WI",2023,1,2,8,2,61
"Boise2023_173","WI",2023,1,2,8,3,11
"Boise2023_174","WI",2023,1,2,8,4,90
"Boise2023_175","WI",2023,1,2,8,5,97
"Boise2023_176","WI",2023,1,2,9,1,81
"Boise2023_177","WI",2023,1,2,9,2,74
"Boise2023_178","WI",2023,1,2,9,3,1
"Boise2023_179","WI",2023,1,2,9,4,82
"Boise2023_180","WI",2023,1,2,9,5,34
"Boise2023_181","WI",2023,1,3,1,1,47
"Boise2023_182","WI",2023,1,3,1,10,39
"Boise2023_183","WI",2023,1,3,1,2,2
"Boise2023_184","WI",2023,1,3,1,3,59
"Boise2023_185","WI",2023,1,3,1,4,26
"Boise2023_186","WI",2023,1,3,1,5,56
"Boise2023_187","WI",2023,1,3,1,6,35
"Boise2023_188","WI",2023,1,3,1,7,9
"Boise2023_189","WI",2023,1,3,1,8,13
"Boise2023_190","WI",2023,1,3,1,9,100
"Boise2023_191","WI",2023,1,3,2,1,30
"Boise2023_192","WI",2023,1,3,2,10,1
