tag,genotype,lat,lon,mat,map,grow_out,wt_seed,bag_n,n_planted,n_found,n_germ_initial,not_germ_initial,viable_dye,unviable_dye,germ_final,not_germ_final,notes
413,79,43.8,-119,5.52,433.15,2020,0.0018725,1,10,10,10,0,,,10,0,
437,79,43.8,-119,5.52,433.15,2020,0.0018725,2,10,10,10,0,,,10,0,
446,79,43.8,-119,5.52,433.15,2020,0.0018725,3,10,9,9,0,,,9,0,
450,81,44.36,-118.93,8.15,445.86,2020,0.001905,1,10,NA,NA,NA,NA,NA,NA,NA,missing
452,81,44.36,-118.93,8.15,445.86,2020,0.001905,2,10,10,10,0,,,10,0,
454,81,44.36,-118.93,8.15,445.86,2020,0.001905,3,10,10,10,0,,,10,0,
456,82,44.57,-119.65,10.1,293.81,2020,0.00189,1,10,10,10,0,,,10,0,
463,82,44.57,-119.65,10.1,293.81,2020,0.00189,2,10,9,9,0,,,9,0,
467,82,44.57,-119.65,10.1,293.81,2020,0.00189,3,10,10,10,0,,,10,0,
470,83,38.52,-109.47,12.59,267.06,2020,0.002555,1,10,10,10,0,,,10,0,
475,83,38.52,-109.47,12.59,267.06,2020,0.002555,2,10,10,10,0,,,10,0,
477,83,38.52,-109.47,12.59,267.06,2020,0.002555,3,10,10,10,0,,,10,0,
478,84,38.75,-109.79,12.17,200.82,2020,0.0021575,1,10,10,10,0,,,10,0,
480,84,38.75,-109.79,12.17,200.82,2020,0.0021575,2,10,10,10,0,,,10,0,
481,84,38.75,-109.79,12.17,200.82,2020,0.0021575,3,10,10,10,0,,,10,0,
483,88,39.11,-112.74,10.49,242.12,2021,0.0018475,1,10,10,8,2,1,1,9,1,
484,88,39.11,-112.74,10.49,242.12,2021,0.0018475,2,10,10,9,1,1,0,10,0,
486,88,39.11,-112.74,10.49,242.12,2021,0.0018475,3,10,10,9,1,0,1,9,1,
489,89,44.59,-104.71,6.95,471.44,2020,0.0020575,1,10,10,10,0,,,10,0,
501,89,44.59,-104.71,6.95,471.44,2020,0.0020575,2,10,9,9,0,,,9,0,
507,89,44.59,-104.71,6.95,471.44,2020,0.0020575,3,10,10,8,2,0,2,8,2,
516,91,43.62,-103.47,8.13,525.43,2020,0.00302,1,10,10,9,1,1,0,10,0,
517,91,43.62,-103.47,8.13,525.43,2020,0.00302,2,10,8,2,6,6,0,8,0,
521,91,43.62,-103.47,8.13,525.43,2020,0.00302,3,10,10,6,4,2,2,8,2,
534,93,40.84,-119.56,10.27,270.62,2021,0.001505,1,10,10,10,0,,,10,0,
536,93,40.84,-119.56,10.27,270.62,2021,0.001505,2,10,10,9,1,1,0,10,0,
541,93,40.84,-119.56,10.27,270.62,2021,0.001505,3,10,10,0,10,2,8,2,8,
552,96,40.29092,-109.68361,8.69,193.45,2020,0.0025975,1,10,9,9,0,,,9,0,
559,96,40.29092,-109.68361,8.69,193.45,2020,0.0025975,2,10,10,9,1,0,1,9,1,
564,96,40.29092,-109.68361,8.69,193.45,2020,0.0025975,3,10,10,8,2,2,0,10,0,
572,101,34.06,-116.22,15.74,153.69,2020,0.004015,1,10,10,10,0,,,10,0,
581,101,34.06,-116.22,15.74,153.69,2020,0.004015,2,10,10,10,0,,,10,0,
584,101,34.06,-116.22,15.74,153.69,2020,0.004015,3,10,10,10,0,,,10,0,
594,104,43.4720833,-116.2338306,10.89,300.81,2020,0.002715,1,10,9,9,0,,,9,0,
596,104,43.4720833,-116.2338306,10.89,300.81,2020,0.002715,2,10,10,10,0,,,10,0,
600,104,43.4720833,-116.2338306,10.89,300.81,2020,0.002715,3,10,10,10,0,,,10,0,
