site_code,transect,treatment,distance_from_center,planting_date,emergence_census_date,emerged,BRTE_neighbors,final_census_date,seeds,seeds_produced,total_dry_mass,seed_mass,seed_drop,unfilled_seeds,smut_seeds,notes
SouthEden,W,control,2,9/15/2023,10/24/2023,Y,0,6/14/2024,N,,,,,,,
SouthEden,W,control,2.2,9/15/2023,10/24/2023,Y,3,6/14/2024,N,,,,,,,
SouthEden,W,control,2.4,9/15/2023,10/24/2023,Y,,6/14/2024,missing,,,,,,,
SouthEden,W,control,2.6,9/15/2023,10/24/2023,Y,8,6/14/2024,N,,,,,,,
SouthEden,W,control,2.8,9/15/2023,10/24/2023,N,8,6/14/2024,N,,,,,,,
SouthEden,W,control,3,9/15/2023,10/24/2023,Y,1,6/14/2024,N,,,,,,,
SouthEden,W,control,3.2,9/15/2023,10/24/2023,Y,1,6/14/2024,N,,,,,,,broken/trampled
SouthEden,W,control,3.4,9/15/2023,10/24/2023,N,,6/14/2024,missing,,,,,,,
SouthEden,W,control,3.6,9/15/2023,10/24/2023,Y,1,6/14/2024,Y,5,0.013,0.005,,5,,
SouthEden,W,control,3.8,9/15/2023,10/24/2023,Y,0,6/14/2024,N,,,,,,,
SouthEden,W,control,4,9/15/2023,10/24/2023,Y,5,6/14/2024,N,,,,,,,
SouthEden,W,control,4.2,9/15/2023,10/24/2023,Y,2,6/14/2024,Y,5,0.007,0.012,,0,,
SouthEden,W,control,4.4,9/15/2023,10/24/2023,Y,,6/14/2024,missing,,,,,,,broken
SouthEden,W,control,4.6,9/15/2023,10/24/2023,Y,,6/14/2024,missing,,,,,,,broken
SouthEden,W,control,4.8,9/15/2023,10/24/2023,N,,6/14/2024,missing,,,,,,,broken
SouthEden,W,control,5,9/15/2023,10/24/2023,Y,2,6/14/2024,Y,5,0.009,0.013,,1,,
SouthEden,W,control,5.2,9/15/2023,10/24/2023,Y,,6/14/2024,missing,,,,,,,
SouthEden,W,control,5.4,9/15/2023,10/24/2023,,,6/14/2024,missing,,,,,,,trampled
SouthEden,W,control,5.6,9/15/2023,10/24/2023,N,2,6/14/2024,N,,,,,,,
SouthEden,W,control,5.8,9/15/2023,10/24/2023,Y,4,6/14/2024,Y,68,0.109,0.132,,18,,
SouthEden,W,control,6,9/15/2023,10/24/2023,N,1,6/14/2024,,,,,,,,
SouthEden,W,control,6.2,9/15/2023,10/24/2023,Y,1,6/14/2024,N,,,,,,,
SouthEden,W,control,6.4,9/15/2023,10/24/2023,N,0,6/14/2024,,,,,,,,
SouthEden,W,control,6.6,9/15/2023,10/24/2023,N,2,6/14/2024,Y,8,0.034,0.016,,7,,
SouthEden,W,control,6.8,9/15/2023,10/24/2023,N,5,6/14/2024,,,,,,,,
SouthEden,W,control,7,9/15/2023,10/24/2023,Y,0,6/14/2024,N,,,,,,,
SouthEden,W,control,7.2,9/15/2023,10/24/2023,Y,0,6/14/2024,N,,,,,,,
SouthEden,W,control,7.4,9/15/2023,10/24/2023,Y,,6/14/2024,missing,,,,,,,broken
SouthEden,W,control,7.6,9/15/2023,10/24/2023,Y,2,6/14/2024,N,,,,,,,
SouthEden,W,control,7.8,9/15/2023,10/24/2023,Y,1,6/14/2024,Y,6,0.015,0.02,,0,,
SouthEden,W,control,8,9/15/2023,10/24/2023,Y,2,6/14/2024,N,,,,,,,
SouthEden,W,control,8.2,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,3,0.008,0.007,,0,,
SouthEden,W,control,8.4,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,1,0.006,0.001,,0,,
SouthEden,W,control,8.6,9/15/2023,10/24/2023,Y,1,6/14/2024,N,,,,,,,
SouthEden,W,control,8.8,9/15/2023,10/24/2023,Y,0,6/14/2024,N,,,,,,,
SouthEden,W,control,9,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,12,0.029,0.038,,1,,
SouthEden,W,control,9.2,9/15/2023,10/24/2023,Y,2,6/14/2024,N,,,,,,,
SouthEden,W,control,9.4,9/15/2023,10/24/2023,Y,2,6/14/2024,N,,,,,,,
SouthEden,W,control,9.6,9/15/2023,10/24/2023,N,7,6/14/2024,N,,,,,,,
SouthEden,W,control,9.8,9/15/2023,10/24/2023,Y,3,6/14/2024,N,,,,,,,
SouthEden,W,control,10,9/15/2023,10/24/2023,Y,5,6/14/2024,Y,1,0.005,0,,1,,
SouthEden,N,removal,2.2,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,16,0.042,0.047,,1,,
SouthEden,N,removal,2.4,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,38,0.087,0.113,,2,,
SouthEden,N,removal,2.6,9/15/2023,10/24/2023,Y,,6/14/2024,missing,,,,,,,
SouthEden,N,removal,2.8,9/15/2023,10/24/2023,Y,1,6/14/2024,N,,,,,,,
SouthEden,N,removal,3,9/15/2023,10/24/2023,N,0,6/14/2024,Y,5,0.007,0.012,,0,,
SouthEden,N,removal,3.2,9/15/2023,10/24/2023,Y,1,6/14/2024,N,,,,,,,
SouthEden,N,removal,3.4,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,6,0.009,0.01,,0,,
SouthEden,N,removal,3.6,9/15/2023,10/24/2023,Y,1,6/14/2024,Y,346,1.142,0.901,,17,,
SouthEden,N,removal,3.8,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,186,0.433,0.471,,10,,
SouthEden,N,removal,4,9/15/2023,10/24/2023,N,0,6/14/2024,N,,,,,,,
SouthEden,N,removal,4.2,9/15/2023,10/24/2023,,2,6/14/2024,N,,,,,,,trampled
SouthEden,N,removal,4.4,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,0,0.011,,,,,
SouthEden,N,removal,4.6,9/15/2023,10/24/2023,N,0,6/14/2024,N,,,,,,,
SouthEden,N,removal,4.8,9/15/2023,10/24/2023,Y,1,6/14/2024,Y,170,0.476,0.484,,3,,
SouthEden,N,removal,5,9/15/2023,10/24/2023,N,1,6/14/2024,N,,,,,,,
SouthEden,N,removal,5.2,9/15/2023,10/24/2023,Y,2,6/14/2024,N,,,,,,,
SouthEden,N,removal,5.4,9/15/2023,10/24/2023,N,0,6/14/2024,N,,,,,,,
SouthEden,N,removal,5.6,9/15/2023,10/24/2023,Y,0,6/14/2024,N,,,,,,,
SouthEden,N,removal,5.8,9/15/2023,10/24/2023,N,1,6/14/2024,N,,,,,,,
SouthEden,N,removal,6,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,264,0.685,0.691,,15,,
SouthEden,N,removal,6.2,9/15/2023,10/24/2023,N,2,6/14/2024,N,,,,,,,
SouthEden,N,removal,6.4,9/15/2023,10/24/2023,Y,1,6/14/2024,N,,,,,,,broken tiller
SouthEden,N,removal,6.6,9/15/2023,10/24/2023,,,6/14/2024,missing,,,,,,,trampled
SouthEden,N,removal,6.8,9/15/2023,10/24/2023,Y,1,6/14/2024,Y,52,0.164,0.172,,10,,
SouthEden,N,removal,7,9/15/2023,10/24/2023,Y,1,6/14/2024,Y,9,0.013,0.022,,1,,
SouthEden,E,removal,2.2,9/15/2023,10/24/2023,Y,1,6/14/2024,N,,,,,,,
SouthEden,E,removal,2.4,9/15/2023,10/24/2023,Y,1,6/14/2024,Y,72,0.141,0.12,,57,10,
SouthEden,E,removal,2.6,9/15/2023,10/24/2023,Y,2,6/14/2024,Y,171,0.498,0.416,,56,8,
SouthEden,E,removal,2.8,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,204,0.628,0.446,,42,,
SouthEden,E,removal,3,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,,,,,,,broken tillers
SouthEden,E,removal,3.2,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,22,0.129,0.043,,6,,"2 tillers, 1 broken"
SouthEden,E,removal,3.4,9/15/2023,10/24/2023,Y,2,6/14/2024,Y,35,0.1,0.085,,35,35,
SouthEden,E,removal,3.6,9/15/2023,10/24/2023,Y,4,6/14/2024,N,,,,,,,
SouthEden,E,removal,3.8,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,16,0.035,0.047,,0,,
SouthEden,E,removal,4,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,22,0.067,0.069,,2,,
SouthEden,E,removal,4.2,9/15/2023,10/24/2023,Y,0,6/14/2024,Y,37,0.072,0.083,,0,,
SouthEden,E,removal,4.4,9/15/2023,10/24/2023,Y,2,6/14/2024,Y,30,0.062,0.058,,30,30,
