SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Yes or No),BRTE neighbors ,Final census date,Seeds (Yes or No),Seeds produced,Total plant dry mass (g),Seed mass (g),Seed drop (Y or N),Unfilled seeds,Smut seeds,Notes (Herbivore damage? Disease?)
GreenCanyon,W,control,0.8,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,2,0.004,0.003,Y,0,0,
GreenCanyon,W,control,1,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,1.2,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,2,0.008,0.004,Y,0,0,
GreenCanyon,W,control,1.4,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,0,0.003,0.000,Y,0,0,dropped seeds likely
GreenCanyon,W,control,1.6,9/14/2021,10/29/2021,Y,2,6/22/2022,Y,2,0.004,0.004,Y,0,0,
GreenCanyon,W,control,1.8,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,2,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,8,0.015,0.016,N,0,0,under sagebrush
GreenCanyon,W,control,2.2,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,0,0.004,0.000,Y,0,0,under sagebrush; dropped seed
GreenCanyon,W,control,2.4,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,1,0.007,0.003,Y,0,0,
GreenCanyon,W,control,2.6,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,3,0.004,0.004,N,1,0,
GreenCanyon,W,control,2.8,9/14/2021,10/29/2021,Y,0,6/22/2022,dead,NA,,,,,,present but not harvested
GreenCanyon,W,control,3,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,0,0.003,0.000,Y,0,0,seed drop before harvest
GreenCanyon,W,control,3.2,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,3.4,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,3.6,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,3.8,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,4,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,4.2,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,4.4,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,3,0.008,0.011,N,0,0,
GreenCanyon,W,control,4.6,9/14/2021,10/29/2021,Y,2,6/22/2022,Y,2,0.011,0.006,Y,0,0,
GreenCanyon,W,control,4.8,9/14/2021,10/29/2021,Y,3,6/22/2022,Y,1,0.011,0.003,Y,,,
GreenCanyon,W,control,5,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,7,0.021,0.022,Y,0,0,
GreenCanyon,W,control,5.2,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,8,0.027,0.025,N,0,0,
GreenCanyon,W,control,5.4,9/14/2021,10/29/2021,Y,10,6/22/2022,Y,1,0.014,0.003,Y,0,0,
GreenCanyon,W,control,5.6,9/14/2021,10/29/2021,Y,6,6/22/2022,Y,1,0.005,0.003,Y,0,0,
GreenCanyon,W,control,5.8,9/14/2021,10/29/2021,Y,8,6/22/2022,Y,2,0.005,0.004,N,0,0,
GreenCanyon,W,control,6,9/14/2021,10/29/2021,Y,6,6/22/2022,Y,1,0.007,0.003,Y,0,0,
GreenCanyon,W,control,6.2,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,6.4,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,6.6,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,6.8,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,7,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,2,0.007,0.006,Y,0,0,
GreenCanyon,W,control,7.2,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,7.4,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,3,0.016,0.009,Y,0,0,
GreenCanyon,W,control,7.6,9/14/2021,10/29/2021,NA,NA,6/22/2022,NA,NA,,,,,,Was Bromus japonicus; data point thrown out
GreenCanyon,W,control,7.8,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,8,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,2,0.005,0.006,N,0,0,
GreenCanyon,W,control,8.2,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,8.4,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,8.6,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,8.8,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,2,0.003,0.004,N,0,0,
GreenCanyon,W,control,9,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,0,0.005,0.000,Y,0,0,
GreenCanyon,W,control,9.2,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,9.4,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,pick broken
GreenCanyon,W,control,9.6,9/14/2021,10/29/2021,Y,3,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,9.8,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,W,control,10,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,1,0.002,0.002,Y,0,0,
GreenCanyon,N,removal,2.2,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,N,removal,2.4,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,N,removal,2.6,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,N,removal,2.8,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,N,removal,3,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,
GreenCanyon,N,removal,3.2,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,N,removal,3.4,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,81,0.100,0.120,N,0,81,
GreenCanyon,N,removal,3.6,9/14/2021,10/29/2021,Y,2,6/22/2022,Y,11,0.020,0.028,N,0,0,
GreenCanyon,N,removal,3.8,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,pick broken
GreenCanyon,N,removal,4,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,123,0.421,0.233,N,0,75,
GreenCanyon,N,removal,4.2,9/14/2021,10/29/2021,Y,2,6/22/2022,Y,82,0.165,0.218,N,0,0,
GreenCanyon,N,removal,4.4,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,N,removal,4.6,9/14/2021,10/29/2021,N,0,6/22/2022,N,0,,,,,,accidentally tear off leaf
GreenCanyon,N,removal,4.8,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,57,0.197,0.151,N,1,0,
GreenCanyon,N,removal,5,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,23,0.073,0.035,Y,8,0,
GreenCanyon,N,removal,5.2,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,102,0.152,0.241,N,2,0,
GreenCanyon,N,removal,5.4,9/14/2021,10/29/2021,Y,2,6/22/2022,Y,97,0.312,0.235,N,6,0,
GreenCanyon,N,removal,5.6,9/14/2021,10/29/2021,Y,0,6/22/2022,N,0,,,,,,
GreenCanyon,N,removal,5.8,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,403,1.563,0.994,N,40,0,
GreenCanyon,N,removal,6,9/14/2021,10/29/2021,Y,1,6/22/2022,Y,5,0.011,0.002,N,0,0,pick bent
GreenCanyon,N,removal,6.2,9/14/2021,10/29/2021,Y,1,6/22/2022,N,0,,,,,,
GreenCanyon,N,removal,6.4,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,162,0.490,0.492,N,5,0,
GreenCanyon,N,removal,6.6,9/14/2021,10/29/2021,Y,0,6/22/2022,Y,145,0.367,0.357,N,1,0,
