SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Yes or No),BRTE neighbors ,Final census date,Seeds (Yes or No),Seeds produced,Total plant dry mass (g),Seed mass (g),Seed drop (Y or N),Unfilled seeds,Smut seeds,Notes (Herbivore damage? Disease?)
MPG_TH,S,control,4.9,9/16/2021,5/3/2022,N,3,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,5.1,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,5.3,9/16/2021,5/3/2022,N,0,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,5.5,9/16/2021,5/3/2022,Y,0,6/24/2022,Y,4,0.0263,,,,,DEAD
MPG_TH,S,control,5.7,9/16/2021,5/3/2022,N,0,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,5.9,9/16/2021,5/3/2022,N,0,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,6.1,9/16/2021,5/3/2022,Y,0,6/24/2022,Y,3,0.0213,,,,,DEAD
MPG_TH,S,control,6.3,9/16/2021,5/3/2022,N,2,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,6.5,9/16/2021,5/3/2022,Y,0,6/24/2022,Y,5,0.0354,,,,,
MPG_TH,S,control,6.7,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,6.9,9/16/2021,5/3/2022,Y,1,6/24/2022,Y,4,0.0171,,,,,
MPG_TH,S,control,7.1,9/16/2021,5/3/2022,N,6,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,7.3,9/16/2021,5/3/2022,Y,5,6/24/2022,Y,6,0.0186,,,,,
MPG_TH,S,control,7.5,9/16/2021,5/3/2022,Y,5,6/24/2022,Y,3,0.021,,,,,
MPG_TH,S,control,7.7,9/16/2021,5/3/2022,Y,4,6/24/2022,Y,2,0.0106,,,,,
MPG_TH,S,control,7.9,9/16/2021,5/3/2022,Y,2,6/24/2022,Y,1,0.0063,,,,,
MPG_TH,S,control,8.1,9/16/2021,5/3/2022,N,4,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,8.3,9/16/2021,5/3/2022,N,7,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,8.5,9/16/2021,5/3/2022,N,0,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,8.7,9/16/2021,5/3/2022,N,0,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,8.9,9/16/2021,5/3/2022,N,2,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,9.1,9/16/2021,5/3/2022,Y,3,6/24/2022,Y,4,0.015,,,,,DISEASED
MPG_TH,S,control,9.3,9/16/2021,5/3/2022,Y,2,6/24/2022,Y,6,0.0269,,,,,
MPG_TH,S,control,9.5,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,9.7,9/16/2021,5/3/2022,Y,0,6/24/2022,Y,3,0.0059,,,,,DISEASED
MPG_TH,S,control,9.9,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,S,control,10.1,9/16/2021,5/3/2022,N,0,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,2.3,9/16/2021,5/3/2022,Y,1,6/24/2022,Y,6,0.0189,,,,,
MPG_TH,W,removal,2.5,9/16/2021,5/3/2022,Y,0,6/24/2022,Y,5,0.0245,,,,,
MPG_TH,W,removal,2.7,9/16/2021,5/3/2022,Y,1,6/24/2022,Y,1,0.0042,,,,,
MPG_TH,W,removal,2.9,9/16/2021,5/3/2022,N,2,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,3.1,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,3.3,9/16/2021,5/3/2022,N,2,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,3.5,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,3.7,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,3.9,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,4.1,9/16/2021,5/3/2022,Y,1,6/24/2022,Y,12,0.0544,,,,,DISEASED
MPG_TH,W,removal,4.3,9/16/2021,5/3/2022,N,4,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,4.5,9/16/2021,5/3/2022,N,0,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,4.7,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,4.9,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,5.1,9/16/2021,5/3/2022,N,0,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,5.3,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,5.5,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,5.7,9/16/2021,5/3/2022,N,1,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,5.9,9/16/2021,5/3/2022,N,0,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,6.1,9/16/2021,5/3/2022,Y,0,6/24/2022,Y,2,0.0107,,,,,
MPG_TH,W,removal,6.3,9/16/2021,5/3/2022,Y,0,6/24/2022,Y,5,0.0229,,,,,
MPG_TH,W,removal,6.5,9/16/2021,5/3/2022,Y,0,6/24/2022,Y,7,0.0334,,,,,
MPG_TH,W,removal,6.7,9/16/2021,5/3/2022,N,0,6/24/2022,N,,,,,,,No Plant
MPG_TH,W,removal,6.9,9/16/2021,5/3/2022,Y,1,6/24/2022,Y,3,0.0192,,,,,
MPG_TH,W,removal,7.1,9/16/2021,5/3/2022,N,0,6/24/2022,N,,,,,,,No Plant
Peavine,S,control,0.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,0.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,0.6,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,5,0.007,,,,,NA
Peavine,S,control,0.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,1,10/22/2021,3/9/2022,Y,0,5/30/2022,N,0,-,,,,,No plant present
Peavine,S,control,1.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,1.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,1.6,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,4,0.012,,,,,NA
Peavine,S,control,1.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,2,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,4,0.012,,,,4,Disease - smut
Peavine,S,control,2.2,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,5,0.009,,,,,NA
Peavine,S,control,2.4,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,2,0.016,,,2,,˜2 unfilled seeds
Peavine,S,control,2.6,10/22/2021,3/9/2022,Y,7,5/30/2022,N,0,0.002,,,,,NA
Peavine,S,control,2.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,3,10/22/2021,3/9/2022,Y,6,5/30/2022,Y,2,0.004,,,,,NA
Peavine,S,control,3.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,3.4,10/22/2021,3/9/2022,Y,1,5/30/2022,Y,0,0.005,,,2,,˜2 unfilled seeds
Peavine,S,control,3.6,10/22/2021,3/9/2022,Y,3,5/30/2022,Y,3,0.007,,,,,NA
Peavine,S,control,3.8,10/22/2021,3/9/2022,Y,1,5/30/2022,N,0,0.004,,,,,NA
Peavine,S,control,4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,4.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,4.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,4.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,4.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,5,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,5.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,5.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,5.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,5.8,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,3,0.003,,,,3,Smut
Peavine,S,control,6,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,4,0.005,,,1,,˜1 unfilled seed
Peavine,S,control,6.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,6.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,6.6,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,3,0.010,,,,,NA
Peavine,S,control,6.8,10/22/2021,3/9/2022,Y,0,5/30/2022,N,0,0.014,,,,,NA
Peavine,S,control,7,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,7.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,7.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,7.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,7.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,8,10/22/2021,3/9/2022,Y,2,5/30/2022,Y,3,0.013,,,2,,˜2 unfilled seeds
Peavine,S,control,8.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,8.4,10/22/2021,3/9/2022,Y,3,5/30/2022,Y,2,0.008,,,1,,˜1 unfilled seed
Peavine,S,control,8.6,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,3,0.011,,,,,NA
Peavine,S,control,8.8,10/22/2021,3/9/2022,Y,5,5/30/2022,Y,0,0.006,,,1,,˜1 unfilled seed
Peavine,S,control,9,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,9.2,10/22/2021,3/9/2022,Y,12,5/30/2022,N,0,0.009,,,,,NA
Peavine,S,control,9.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,S,control,9.6,10/22/2021,3/9/2022,Y,3,5/30/2022,Y,5,0.013,,,,5,Smut
Peavine,S,control,9.8,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,5,0.010,,,,,NA
Peavine,N,removal,2.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,N,removal,2.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,N,removal,2.6,10/22/2021,3/9/2022,Y,1,5/30/2022,Y,0,0.006,,,1,,˜1 unfilled seed
Peavine,N,removal,2.8,10/22/2021,3/9/2022,Y,3,5/30/2022,Y,2,0.024,,,2,,˜2 unfilled seeds
Peavine,N,removal,3,10/22/2021,3/9/2022,Y,13,5/30/2022,N,0,-,,,,,No plant present
Peavine,N,removal,3.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,N,removal,3.4,10/22/2021,3/9/2022,Y,9,5/30/2022,Y,1,0.007,,,,,NA
Peavine,N,removal,3.6,10/22/2021,3/9/2022,Y,3,5/30/2022,Y,3,0.006,,,,,Seeds dispersed
Peavine,N,removal,3.8,10/22/2021,3/9/2022,Y,2,5/30/2022,Y,0,0.005,,,2,,˜2 unfilled seeds
Peavine,N,removal,4,10/22/2021,3/9/2022,Y,1,5/30/2022,N,0,-,,,,,No plant present
Peavine,N,removal,4.2,10/22/2021,3/9/2022,Y,3,5/30/2022,Y,5,0.011,,,,,Seeds dispersed
Peavine,N,removal,4.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,N,removal,4.6,10/22/2021,3/9/2022,Y,7,5/30/2022,N,0,0.006,,,,,NA
Peavine,N,removal,4.8,10/22/2021,3/9/2022,Y,4,5/30/2022,Y,4,0.014,,,3,,˜3 unfilled seeds
Peavine,N,removal,5,10/22/2021,3/9/2022,Y,2,5/30/2022,N,0,0.004,,,,,NA
Peavine,N,removal,5.2,10/22/2021,3/9/2022,Y,5,5/30/2022,N,0,0.002,,,,,NA
Peavine,N,removal,5.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,N,removal,5.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,N,removal,5.8,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,2,0.005,,,1,,˜1 unfilled seed
Peavine,N,removal,6,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,5,0.012,,,,,NA
Peavine,N,removal,6.2,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,3,0.009,,,1,,˜1 unfilled seed
Peavine,N,removal,6.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,N,removal,6.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,N,removal,6.8,10/22/2021,3/9/2022,Y,4,5/30/2022,Y,4,0.007,,,,,NA
Peavine,N,removal,7,10/22/2021,3/9/2022,Y,4,5/30/2022,Y,1,0.007,,,1,,˜1 unfilled seed
Peavine,E,removal,2.2,10/22/2021,3/9/2022,Y,6,5/30/2022,Y,1,0.007,,,,,Seed dispersed
Peavine,E,removal,2.4,10/22/2021,3/9/2022,Y,8,5/30/2022,Y,3,0.011,,,,,Seeds dispersed
Peavine,E,removal,2.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,2.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,3,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,3.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,3.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,3.6,10/22/2021,3/9/2022,Y,1,5/30/2022,Y,3,0.005,,,,,Seeds dispersed
Peavine,E,removal,3.8,10/22/2021,3/9/2022,Y,3,5/30/2022,N,0,0.005,,,,,NA
Peavine,E,removal,4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,4.2,10/22/2021,3/9/2022,Y,3,5/30/2022,Y,2,0.008,,,,,Seeds dispersed
Peavine,E,removal,4.4,10/22/2021,3/9/2022,Y,1,5/30/2022,Y,1,0.006,,,,,Seeds dispersed
Peavine,E,removal,4.6,10/22/2021,3/9/2022,Y,9,5/30/2022,Y,6,0.008,,,,5,5 seeds diseased with smut
Peavine,E,removal,4.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,5,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,5.2,10/22/2021,3/9/2022,Y,2,5/30/2022,Y,2,0.006,,,,,Seeds dispersed
Peavine,E,removal,5.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,5.6,10/22/2021,3/9/2022,Y,4,5/30/2022,Y,1,0.014,,,2,,˜2 unfilled seeds
Peavine,E,removal,5.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,6,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,2,0.005,,,,,NA
Peavine,E,removal,6.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,6.4,10/22/2021,3/9/2022,Y,3,5/30/2022,N,0,0.002,,,,,NA
Peavine,E,removal,6.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,E,removal,6.8,10/22/2021,3/9/2022,Y,8,5/30/2022,Y,0,0.001,,,3,,˜3 unfilled seeds
Peavine,E,removal,7,10/22/2021,3/9/2022,Y,15,5/30/2022,Y,1,0.005,,,,,Seed dispersed
Peavine,W,control,0.2,10/22/2021,3/9/2022,Y,0,5/30/2022,Y,2,0.006,,,,,NA
Peavine,W,control,0.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,0.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,0.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,1,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,1.2,10/22/2021,3/9/2022,Y,2,5/30/2022,Y,4,0.014,,,2,,˜2 unfilled seeds
Peavine,W,control,1.4,10/22/2021,3/9/2022,Y,1,5/30/2022,Y,8,0.013,,,,,NA
Peavine,W,control,1.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,1.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,2.2,10/22/2021,3/9/2022,Y,0,5/30/2022,N,0,0.003,,,,,NA
Peavine,W,control,2.4,10/22/2021,3/9/2022,Y,0,5/30/2022,N,0,0.003,,,,,Very small
Peavine,W,control,2.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,2.8,10/22/2021,3/9/2022,Y,1,5/30/2022,Y,0,0.005,,,1,,˜1 unfilled seed
Peavine,W,control,3,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,3.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,3.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,3.6,10/22/2021,3/9/2022,Y,9,5/30/2022,Y,0,0.005,,,3,,˜3 unfilled seeds
Peavine,W,control,3.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,4,10/22/2021,3/9/2022,Y,5,5/30/2022,Y,0,0.007,,,2,,˜2 unfilled seeds
Peavine,W,control,4.2,10/22/2021,3/9/2022,Y,21,5/30/2022,N,0,-,,,,,No plant present
Peavine,W,control,4.4,10/22/2021,3/9/2022,Y,15,5/30/2022,Y,1,0.002,,,,,Seed dispersed
Peavine,W,control,4.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,4.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,5,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,5.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,5.4,10/22/2021,3/9/2022,Y,11,5/30/2022,Y,1,0.003,,,,,NA
Peavine,W,control,5.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,5.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,6,10/22/2021,3/9/2022,Y,4,5/30/2022,Y,5,0.016,,,,5,Smut
Peavine,W,control,6.2,10/22/2021,3/9/2022,Y,8,5/30/2022,N,0,0.002,,,,,NA
Peavine,W,control,6.4,10/22/2021,3/9/2022,Y,4,5/30/2022,Y,1,0.007,,,,,NA
Peavine,W,control,6.6,10/22/2021,3/9/2022,Y,9,5/30/2022,Y,4,0.016,,,,,NA
Peavine,W,control,6.8,10/22/2021,3/9/2022,Y,1,5/30/2022,N,0,0.007,,,,,Small
Peavine,W,control,7,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,7.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,7.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,7.6,10/22/2021,3/9/2022,Y,2,5/30/2022,Y,1,0.009,,,,,NA
Peavine,W,control,7.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,8,10/22/2021,3/9/2022,Y,10,5/30/2022,Y,0,0.010,,,3,,˜3 unfilled seeds
Peavine,W,control,8.2,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,8.4,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,8.6,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,8.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Peavine,W,control,9,10/22/2021,3/9/2022,Y,5,5/30/2022,Y,4,0.004,,,,,Seeds dispersed
Peavine,W,control,9.2,10/22/2021,3/9/2022,Y,12,5/30/2022,Y,1,0.005,,,,,NA
Peavine,W,control,9.4,10/22/2021,3/9/2022,Y,7,5/30/2022,N,0,0.004,,,,,Small
Peavine,W,control,9.6,10/22/2021,3/9/2022,Y,8,5/30/2022,Y,2,0.005,,,,,Seeds dispersed
Peavine,W,control,9.8,10/22/2021,3/9/2022,N,NA,5/30/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,0.2,10/22/2021,3/11/2022,Y,4,5/26/2022,Y,27,0.056,,,,,NA
Plymouth,N,control,0.4,10/22/2021,3/11/2022,Y,6,5/26/2022,Y,4,0.061,,,,,NA
Plymouth,N,control,0.6,10/22/2021,3/11/2022,Y,16,5/26/2022,Y,0,0.010,,,10,,˜10 unfilled seeds
Plymouth,N,control,0.8,10/22/2021,3/11/2022,Y,25,5/26/2022,Y,1,0.005,,,,,NA
Plymouth,N,control,1,10/22/2021,3/11/2022,Y,7,5/26/2022,N,0,0.016,,,,,NA
Plymouth,N,control,1.2,10/22/2021,3/11/2022,Y,11,5/26/2022,Y,2,0.005,,,,,NA
Plymouth,N,control,1.4,10/22/2021,3/11/2022,N,4,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,1.6,10/22/2021,3/11/2022,Y,0,5/26/2022,Y,18,0.066,,,,,NA
Plymouth,N,control,1.8,10/22/2021,3/11/2022,N,2,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,2,10/22/2021,3/11/2022,Y,9,5/26/2022,Y,11,0.024,,,,,NA
Plymouth,N,control,2.2,10/22/2021,3/11/2022,Y,0,5/26/2022,N,0,0.009,,,,,NA
Plymouth,N,control,2.4,10/22/2021,3/11/2022,Y,6,5/26/2022,N,0,0.008,,,,,NA
Plymouth,N,control,2.6,10/22/2021,3/11/2022,Y,0,5/26/2022,N,0,0.014,,,,,NA
Plymouth,N,control,2.8,10/22/2021,3/11/2022,N,1,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,3,10/22/2021,3/11/2022,N,5,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,3.2,10/22/2021,3/11/2022,N,21,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,3.4,10/22/2021,3/11/2022,N,3,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,3.6,10/22/2021,3/11/2022,N,1,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,3.8,10/22/2021,3/11/2022,N,0,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,4,10/22/2021,3/11/2022,N,2,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,4.2,10/22/2021,3/11/2022,Y,2,5/26/2022,Y,12,0.033,,,,,NA
Plymouth,N,control,4.4,10/22/2021,3/11/2022,Y,0,5/26/2022,Y,12,0.035,,,,,NA
Plymouth,N,control,4.6,10/22/2021,3/11/2022,Y,0,5/26/2022,Y,49,0.173,,,,,NA
Plymouth,N,control,4.8,10/22/2021,3/11/2022,N,2,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,5,10/22/2021,3/11/2022,Y,15,5/26/2022,Y,2,0.009,,,,,NA
Plymouth,N,control,5.2,10/22/2021,3/11/2022,Y,7,5/26/2022,Y,5,0.019,,,,,NA
Plymouth,N,control,5.4,10/22/2021,3/11/2022,Y,10,5/26/2022,N,0,0.001,,,,,NA
Plymouth,N,control,5.6,10/22/2021,3/11/2022,Y,9,5/26/2022,Y,0,0.033,,,5,,˜5 unfilled seeds
Plymouth,N,control,5.8,10/22/2021,3/11/2022,Y,1,5/26/2022,Y,23,0.049,,,2,,˜2 unfilled seeds
Plymouth,N,control,6,10/22/2021,3/11/2022,Y,2,5/26/2022,Y,35,0.085,,,,,NA
Plymouth,N,control,6.2,10/22/2021,3/11/2022,Y,1,5/26/2022,Y,53,0.184,,,2,,˜2 unfilled seeds
Plymouth,N,control,6.4,10/22/2021,3/11/2022,Y,0,5/26/2022,Y,6,0.242,,,3,,˜3 unfilled seeds
Plymouth,N,control,6.6,10/22/2021,3/11/2022,Y,3,5/26/2022,Y,24,0.340,,,5,,˜5 unfilled seeds
Plymouth,N,control,6.8,10/22/2021,3/11/2022,N,17,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,7,10/22/2021,3/11/2022,Y,0,5/26/2022,N,0,0.494,,,,,Browsed
Plymouth,N,control,7.2,10/22/2021,3/11/2022,N,1,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,7.4,10/22/2021,3/11/2022,Y,6,5/26/2022,Y,20,0.057,,,,,NA
Plymouth,N,control,7.6,10/22/2021,3/11/2022,Y,3,5/26/2022,Y,60,0.224,,,,,NA
Plymouth,N,control,7.8,10/22/2021,3/11/2022,N,1,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,8,10/22/2021,3/11/2022,N,0,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,8.2,10/22/2021,3/11/2022,Y,5,5/26/2022,Y,25,0.061,,,,,NA
Plymouth,N,control,8.4,10/22/2021,3/11/2022,N,14,5/26/2022,NA,NA,NA,,,,,NA
Plymouth,N,control,8.6,10/22/2021,3/11/2022,Y,15,5/26/2022,Y,28,0.050,,,,,NA
Plymouth,N,control,8.8,10/22/2021,3/11/2022,Y,13,5/26/2022,Y,14,0.076,,,,,NA
Plymouth,N,control,9,10/22/2021,3/11/2022,N,7,5/26/2022,NA,NA,NA,,,,,NA
