SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Y/N),BRTE neighbors ,Final census date,Seeds (Y/N),Seeds produced,Total plant dry mass (g),Seed mass (g),Seed drop (Y/N),Unfilled seeds,Smut seeds,Notes (Herbivore damage? Disease?),,,,,,,,,
GreenCanyon,S,control,9.8,9/15/2022,10/31/2022,Y,NA,6/9/2023,not found,,,,not found,,,,,,,,,,,,
GreenCanyon,S,control,10,9/15/2022,10/31/2022,Y,NA,6/9/2023,not found,,,,not found,,,,,,,,,,,,
GreenCanyon,W,control,0.2,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,0.4,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,0.6,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,0.8,9/15/2022,10/31/2022,Y,1,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,1,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,1.2,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,1.4,9/15/2022,10/31/2022,Y,1,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,1.6,9/15/2022,10/31/2022,N,2,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,1.8,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,2,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,2.2,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,2.4,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,2.6,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,2.8,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,3,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,3.2,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,3.4,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,3.6,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,3.8,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,4,9/15/2022,10/31/2022,Y,1,6/9/2023,Y,7,0.008,0.013,N,,,,,,,,,,,,
GreenCanyon,W,control,4.2,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,W,control,4.4,9/15/2022,10/31/2022,Y,0,6/9/2023,Y,11,0.012,0.018,N,,,,,,,,,,,,
GreenCanyon,W,control,4.6,9/15/2022,10/31/2022,N,2,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,4.8,9/15/2022,10/31/2022,N,2,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,5,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,5.2,9/15/2022,10/31/2022,Y,1,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,5.4,9/15/2022,10/31/2022,Y,1,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,5.6,9/15/2022,10/31/2022,Y,2,6/9/2023,Y,3,0.004,0.003,N,1,,,,,,,,,,,
GreenCanyon,W,control,5.8,9/15/2022,10/31/2022,Y,2,6/9/2023,Y,3,0.012,0.007,N,,3,,,,,,,,,,
GreenCanyon,W,control,6,9/15/2022,10/31/2022,N,1,6/9/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.2,9/15/2022,10/31/2022,Y,5,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,6.4,9/15/2022,10/31/2022,Y,1,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,6.6,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,W,control,6.8,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,7,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.2,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,7.4,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,7.6,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,W,control,7.8,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,8,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,8.2,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,8.4,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,8.6,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,8.8,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,9,9/15/2022,10/31/2022,N,0,6/9/2023,N,,,,,,,,,,,,,,,,
GreenCanyon,W,control,9.2,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
GreenCanyon,W,control,9.4,9/15/2022,10/31/2022,Y,0,6/9/2023,N,,,,,,,no plant,,,,,,,,,
