SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Y/N),BRTE neighbors ,Final census date,Seeds (Y/N),Seeds produced,Total plant dry mass (g),Seed mass (g),Seed drop (Y/N),Unfilled seeds,Smut seeds,Notes (Herbivore damage? Disease?),,,,,,,,,
SSHigh,W,control,8.8,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,W,control,9,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,W,control,9.2,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,W,control,9.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,W,control,9.6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,W,control,9.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,W,control,10,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,0.2,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,0.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,0.6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,0.8,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,1,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,1.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,1.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,1.6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,1.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,2,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,2.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,2.4,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,2.6,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,2.8,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,3,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,3.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,3.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,3.6,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,3.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,4,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,4.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,4.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,4.6,9/21/2022,10/25/2022,Y,0,7/10/2023,Y,2,0.004,0.001,N,2,,,,,,,,,,,
SSHigh,N,control,4.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,5,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,5.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,5.4,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,5.6,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,5.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,6.2,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,6.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,6.6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,6.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,7,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,7.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,7.4,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,7.6,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,7.8,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,8,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,8.2,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,8.4,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,8.6,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,8.8,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,9,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,9.2,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,9.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,9.6,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,N,control,9.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,N,control,10,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,E,removal,2.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,2.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,2.6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,2.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,3,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,3.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,3.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,3.6,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,E,removal,3.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,4,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,E,removal,4.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,4.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,4.6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,4.8,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,E,removal,5,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,5.2,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,E,removal,5.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,5.6,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,E,removal,5.8,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,E,removal,6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,6.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,6.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,6.6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,6.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,E,removal,7,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,2.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,2.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,2.6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,2.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,3,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,3.2,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,S,removal,3.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,3.6,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,S,removal,3.8,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,S,removal,4,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,S,removal,4.2,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,4.4,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,S,removal,4.6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,4.8,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,S,removal,5,9/21/2022,10/25/2022,Y,0,7/10/2023,Y,3,0.005,0.004,N,1,,,,,,,,,,,
SSHigh,S,removal,5.2,9/21/2022,10/25/2022,Y,0,7/10/2023,Y,8,0.015,0.007,N,,,8 GREEN SEEDS,,,,,,,,,
SSHigh,S,removal,5.4,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,5.6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,5.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,6.2,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,S,removal,6.4,9/21/2022,10/25/2022,Y,0,7/10/2023,N,,,,,,,NP,,,,,,,,,
SSHigh,S,removal,6.6,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,6.8,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHigh,S,removal,7,9/21/2022,10/25/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,0.2,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,guess location,,,,,,,,,
SSHQ,W,control,0.4,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,0.6,9/21/2022,10/26/2022,N,1,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,0.8,9/21/2022,10/26/2022,N,2,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,1,9/21/2022,10/26/2022,N,1,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,1.2,9/21/2022,10/26/2022,Y,0,7/10/2023,Y,9,0.023,0.025,N,2,,,,,,,,,,,
SSHQ,W,control,1.4,9/21/2022,10/26/2022,N,5,7/10/2023,Y,6,0.018,0.02,N,,,,,,,,,,,,
SSHQ,W,control,1.6,9/21/2022,10/26/2022,N,1,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,1.8,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,2,9/21/2022,10/26/2022,Y,0,7/10/2023,Y,,0.001,,N,,,ALL SEEDS DROPPED,,,,,,,,,
SSHQ,W,control,2.2,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,2.4,9/21/2022,10/26/2022,N,1,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,2.6,9/21/2022,10/26/2022,N,1,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,2.8,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,3,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,3.2,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,3.4,9/21/2022,10/26/2022,N,1,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,3.6,9/21/2022,10/26/2022,N,1,7/10/2023,N,,,,,,,guess location,,,,,,,,,
SSHQ,W,control,3.8,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,4,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,4.2,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,4.4,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,4.6,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,4.8,9/21/2022,10/26/2022,Y,0,7/10/2023,Y,24,0.035,0.069,N,1,,,,,,,,,,,
SSHQ,W,control,5,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,5.2,9/21/2022,10/26/2022,N,2,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,5.4,9/21/2022,10/26/2022,N,2,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,5.6,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,5.8,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,6,9/21/2022,10/26/2022,N,1,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,6.2,9/21/2022,10/26/2022,N,2,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,6.4,9/21/2022,10/26/2022,N,2,7/10/2023,Y,32,0.034,0.08,N,1,,,,,,,,,,,
SSHQ,W,control,6.6,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,6.8,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,7,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,7.2,9/21/2022,10/26/2022,N,2,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,7.4,9/21/2022,10/26/2022,N,8,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,7.6,9/21/2022,10/26/2022,N,10,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,7.8,9/21/2022,10/26/2022,missing,NA,7/10/2023,not found,,,,not found,,,,,,,,,,,,
SSHQ,W,control,8,9/21/2022,10/26/2022,N,0,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,8.2,9/21/2022,10/26/2022,N,2,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,8.4,9/21/2022,10/26/2022,Y,12,7/10/2023,Y,46,0.091,0.128,N,2,,,,,,,,,,,
SSHQ,W,control,8.6,9/21/2022,10/26/2022,N,8,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,8.8,9/21/2022,10/26/2022,N,6,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,9,9/21/2022,10/26/2022,N,15,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,9.2,9/21/2022,10/26/2022,N,5,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,9.4,9/21/2022,10/26/2022,N,3,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,9.6,9/21/2022,10/26/2022,N,6,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,9.8,9/21/2022,10/26/2022,N,7,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,W,control,10,9/21/2022,10/26/2022,N,2,7/10/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,0.2,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,0.4,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,0.6,9/21/2022,10/26/2022,N,1,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,0.8,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,1,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,1.2,9/21/2022,10/26/2022,missing,0,7/11/2023,N,,,,,,,found toothpick,,,,,,,,,
SSHQ,N,control,1.4,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,1.6,9/21/2022,10/26/2022,N,1,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,1.8,9/21/2022,10/26/2022,Y,0,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,N,control,2,9/21/2022,10/26/2022,Y,1,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,N,control,2.2,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,2.4,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,2.6,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,2.8,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,3,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,3.2,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,3.4,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,3.6,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,3.8,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,4,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,4.2,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,4.4,9/21/2022,10/26/2022,Y,3,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,N,control,4.6,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,4.8,9/21/2022,10/26/2022,Y,1,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,N,control,5,9/21/2022,10/26/2022,Y,0,7/11/2023,Y,4,0.008,0.011,N,,,,,,,,,,,,
SSHQ,N,control,5.2,9/21/2022,10/26/2022,Y,0,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,N,control,5.4,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,5.6,9/21/2022,10/26/2022,Y,1,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,N,control,5.8,9/21/2022,10/26/2022,Y,0,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,N,control,6,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,6.2,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,6.4,9/21/2022,10/26/2022,N,2,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,6.6,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,6.8,9/21/2022,10/26/2022,N,1,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,7,9/21/2022,10/26/2022,N,0,7/11/2023,Y,3,0.005,0.007,N,,,,,,,,,,,,
SSHQ,N,control,7.2,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,7.4,9/21/2022,10/26/2022,Y,1,7/11/2023,Y,5,0.008,0.013,N,,,,,,,,,,,,
SSHQ,N,control,7.6,9/21/2022,10/26/2022,Y,0,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,N,control,7.8,9/21/2022,10/26/2022,N,1,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,8,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,8.2,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,8.4,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,8.6,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,8.8,9/21/2022,10/26/2022,N,1,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,9,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,9.2,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,9.4,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,9.6,9/21/2022,10/26/2022,Y,1,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,N,control,9.8,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,N,control,10,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,2.2,9/21/2022,10/26/2022,Y,4,7/11/2023,Y,13,0.03,0.042,N,,,,,,,,,,,,
SSHQ,E,removal,2.4,9/21/2022,10/26/2022,N,1,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,2.6,9/21/2022,10/26/2022,Y,5,7/11/2023,Y,10,0.029,0.035,N,1,,,,,,,,,,,
SSHQ,E,removal,2.8,9/21/2022,10/26/2022,N,2,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,3,9/21/2022,10/26/2022,Y,5,7/11/2023,Y,11,0.045,0.035,Y,1,,,,,,,,,,,
SSHQ,E,removal,3.2,9/21/2022,10/26/2022,Y,7,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,E,removal,3.4,9/21/2022,10/26/2022,N,2,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,3.6,9/21/2022,10/26/2022,Y,3,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,E,removal,3.8,9/21/2022,10/26/2022,N,2,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,4,9/21/2022,10/26/2022,N,5,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,4.2,9/21/2022,10/26/2022,Y,6,7/11/2023,Y,17,0.042,0.05,N,1,,,,,,,,,,,
SSHQ,E,removal,4.4,9/21/2022,10/26/2022,N,5,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,4.6,9/21/2022,10/26/2022,Y,5,7/11/2023,Y,19,0.045,0.058,N,,,,,,,,,,,,
SSHQ,E,removal,4.8,9/21/2022,10/26/2022,Y,11,7/11/2023,Y,10,0.025,0.028,N,,,,,,,,,,,,
SSHQ,E,removal,5,9/21/2022,10/26/2022,N,2,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,5.2,9/21/2022,10/26/2022,N,4,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,5.4,9/21/2022,10/26/2022,N,2,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,5.6,9/21/2022,10/26/2022,N,3,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,5.8,9/21/2022,10/26/2022,N,3,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,6,9/21/2022,10/26/2022,Y,1,7/11/2023,Y,4,0.006,0.008,N,,,,,,,,,,,,
SSHQ,E,removal,6.2,9/21/2022,10/26/2022,N,0,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,6.4,9/21/2022,10/26/2022,missing,NA,7/11/2023,not found,,,,not found,,,,,,,,,,,,
SSHQ,E,removal,6.6,9/21/2022,10/26/2022,N,1,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,6.8,9/21/2022,10/26/2022,N,2,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,E,removal,7,9/21/2022,10/26/2022,N,6,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,S,removal,2.2,9/21/2022,10/26/2022,N,4,7/11/2023,N,,,,,,,,,,,,,,,,
SSHQ,S,removal,2.4,9/21/2022,10/26/2022,Y,8,7/11/2023,N,,,,,,,NP,,,,,,,,,
SSHQ,S,removal,2.6,9/21/2022,10/26/2022,Y,11,7/11/2023,Y,6,0.026,0.018,Y,,,,,,,,,,,,
