Site code,Latitude (decimal degrees),Longitude (decimal degrees),Aspect (degrees),Slope (degrees),Grazing comments
SouthEden,41.926717,-111.275659,,,"Deer grazing, moderate"
SSHQ,44.246799,-112.213263,NA,NA,Ungrazed
SSHigh,44.295988,-112.096947,NA,NA,"Cattle grazing, moderate"
GoeblS1,39.550182,-105.095917,NA,NA,No current grazing 
dino,40.422908,-109.249642,NA,NA,ungrazed
Peavine,39.591003,-119.878406,160,8.00,Currently ungrazed
Plymouth,39.072101,-119.783711,NA,NA,Currently ungrazed; flat
