PopNum,tray,veg_biomass_mg,rep_biomass_mg,TotalDryBiomass_mg
219,4,1328.9,334.4,1663.3
219,8,853.7,128.6,982.3
219,11,726.1,302.2,1028.3
220,1,887.8,381.6,1269.4
220,8,285,224.3,509.3
220,12,734.2,499,1233.2
221,2,294.9,172.5,467.4
221,9,738.4,NA,665.2
221,14,459.6,33.5,493.1
222,3,785.8,606.6,1392.4
222,6,238.6,31.3,269.9
222,11,1002.2,452,1454.2
223,3,626.2,298.9,925.1
223,9,1069.9,235.6,1305.5
223,13,856.8,NA,856.8
224,1,235,162.6,397.6
224,9,1614.5,372.4,1986.9
224,13,1075.3,550.6,1625.9
